Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR7543039,RNA-Seq,200,7086127400,PRJNA481993,SAMN09693131,5080861604,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409402,GSM3293910,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:56:00Z,1,GSM3293910,Conventional psoriatic skin,SRP154474,skin
SRR7543040,RNA-Seq,200,6520451200,PRJNA481993,SAMN09693130,4657561447,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409403,GSM3293911,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:52:00Z,1,GSM3293911,Conventional psoriatic skin,SRP154474,skin
SRR7543041,RNA-Seq,200,6536197200,PRJNA481993,SAMN09693129,4658812825,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409404,GSM3293912,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:57:00Z,1,GSM3293912,Conventional psoriatic skin,SRP154474,skin
SRR7543042,RNA-Seq,200,6217773200,PRJNA481993,SAMN09693128,2285117305,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409405,GSM3293913,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:54:00Z,1,GSM3293913,Conventional psoriatic skin,SRP154474,skin
SRR7543043,RNA-Seq,200,5847616200,PRJNA481993,SAMN09693127,2150002870,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409406,GSM3293914,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T18:03:00Z,1,GSM3293914,Conventional psoriatic skin,SRP154474,skin
SRR7543044,RNA-Seq,200,4623649600,PRJNA481993,SAMN09693126,1826046974,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409407,GSM3293915,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:52:00Z,1,GSM3293915,Conventional psoriatic skin,SRP154474,skin
SRR7543045,RNA-Seq,200,4121996000,PRJNA481993,SAMN09693125,1621844613,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",psoriasis,SRX4409408,GSM3293916,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:49:00Z,1,GSM3293916,Conventional psoriatic skin,SRP154474,skin
SRR7543046,RNA-Seq,200,4976219400,PRJNA481993,SAMN09693124,3549586276,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409409,GSM3293917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:50:00Z,1,GSM3293917,Scalp psoriatic skin,SRP154474,skin
SRR7543047,RNA-Seq,200,5886378400,PRJNA481993,SAMN09693123,4195209525,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409410,GSM3293918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:55:00Z,1,GSM3293918,Scalp psoriatic skin,SRP154474,skin
SRR7543048,RNA-Seq,200,6027726200,PRJNA481993,SAMN09693122,4302170519,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409411,GSM3293919,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T18:01:00Z,1,GSM3293919,Scalp psoriatic skin,SRP154474,skin
SRR7543049,RNA-Seq,200,9254128200,PRJNA481993,SAMN09693121,6658456997,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409412,GSM3293920,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T18:08:00Z,1,GSM3293920,Scalp psoriatic skin,SRP154474,skin
SRR7543050,RNA-Seq,200,6900311800,PRJNA481993,SAMN09693120,4916776059,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409413,GSM3293921,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:56:00Z,1,GSM3293921,Scalp psoriatic skin,SRP154474,skin
SRR7543051,RNA-Seq,200,5694962400,PRJNA481993,SAMN09693119,2137829586,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409414,GSM3293922,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:53:00Z,1,GSM3293922,Scalp psoriatic skin,SRP154474,skin
SRR7543052,RNA-Seq,200,5782615400,PRJNA481993,SAMN09693118,2122956750,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409415,GSM3293923,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:52:00Z,1,GSM3293923,Scalp psoriatic skin,SRP154474,skin
SRR7543053,RNA-Seq,200,4541120400,PRJNA481993,SAMN09693145,1793762423,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",scalp psoriasis,SRX4409416,GSM3293924,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:59:00Z,1,GSM3293924,Scalp psoriatic skin,SRP154474,skin
