Gene_name,Rank
FABP5,16.145072051262154
SPRR2A,15.537119512941077
ADAMDEC1,14.51105081586512
LCE3C,13.875805209115066
LCE3A,13.683446091877126
AKR1B10,13.262985305015915
ENSG00000260673,13.260842723377182
CLEC7A,12.850288343649254
PI3,12.83673491525924
KYNU,12.731283599526916
GPR15LG,12.409568338647336
SPRR2D,11.974388823884858
ENSG00000301592,11.917352726954816
S100A9,11.83879838302598
HEPHL1,11.534529742121638
SPRR2B,11.4735953262871
ZIC1,11.376002877529324
LCE3E,11.349121915213724
SLC6A14,11.327453835941006
CHI3L2,11.124265001113438
HSPD1P3,11.1173822444033
ENSG00000296183,10.99980188748357
HERC6,10.813397239985116
VNN3P,10.781742257995688
PRSS27,10.77090581340928
SERPINB4,10.711000074194745
KLK13,10.682513494227438
IL36A,10.622759087889207
NT5C3A,10.606480507423248
DEFB4A,10.513632740919396
S100A7A,10.500715994214849
ENSG00000306606,10.438676512537876
HTR3A,10.391178432347097
GCNT4,10.15692088175442
AZGP1P1,10.095144365821618
PPIF,10.06865789729174
TCN1,10.050293009653016
S100A8,10.036606208824992
OASL,10.018008037503693
KRT3,10.010308326313591
TMPRSS11D,9.965103730711729
LCE3D,9.964414428559362
ENSG00000273132,9.956201456955116
SERPINB3,9.945469155750208
DSC2,9.874545974420558
S100A7,9.828656885444037
IL36G,9.77390484096979
DEFB4B,9.76735855131184
KLHDC7B-DT,9.744067927109889
FBXO45,9.687071831261958
CD24,9.445213068250045
GDA,9.42929034884082
PLA2G4D,9.423747760376743
POLR3G,9.368830870404189
ENSG00000302005,9.335466223533723
LITATS1,9.266804676206029
ADGRF1,9.15995454361882
GDPD3,9.05804409528493
LCE7A,9.057306929611352
IL19,9.000838673448971
PLBD1,8.991181995321618
FUT3,8.98457419392708
LCE3B,8.957430654398149
TRIM10,8.945709977582425
ABCG4,8.93317413813337
PPARD,8.82117721685777
KRT6C,8.770810571369434
LINC01269,8.692104274501714
KRT6A,8.640200022799673
LRP8,8.604978526277568
FCHSD1,8.5956904354752
MPZL2,8.581701374848755
PTTG1,8.56889559758692
SMOX,8.49724268212626
GBP5,8.491565391935419
ACP7,8.481976037189511
S100A15A,8.457503396399698
IFI27,8.378070480277348
MXD1,8.370310100578374
GM2A,8.352199228689223
HRNR,8.347260818753423
MPHOSPH6,8.334255524150299
AKR1B15,8.283167789887257
BMAL2,8.213592254369969
ENSG00000259093,8.199370059689805
ENKUR,8.197611850852494
SPRR1B,8.152946081125624
TEX101,8.143850078174582
PFKFB2,8.117665381664832
TMEM45B,8.10624930926169
OTOP2,8.086626581387412
SAMD9,8.084151083801718
CDH26,8.072206346191868
CLDN17,8.06380726327941
KLHDC7B,8.04548263214274
GJB2,8.044156640334752
HK2,8.040422888106708
PITX1,8.038655598533547
ENSG00000287426,8.010719721972222
RAB5A,8.005031194787957
RGS20,7.910493023308738
ADH7,7.8865405221165155
MMP12,7.885874417051088
LINC02159,7.883341256250389
KRT16,7.879439077580993
OAS1,7.856953476345791
LINC01215,7.830974673320249
SPRR2E,7.820481124655437
ICOS,7.785592536476543
BLNK,7.755598285870717
EHF,7.730471090505833
CD2,7.705790009966667
PRSS22,7.691298126154688
CBX2,7.688107824877389
SFXN1,7.661753382789182
SPRR3,7.648839968108041
CNNM4,7.648640568239191
OTUB2,7.619158635316084
SLC7A11,7.617069716403411
TNIP3,7.611300944050289
TMEM171,7.576026387281803
HPSE,7.568266523506359
CDK5R1,7.562539909233614
SLC25A5,7.531738817828947
SURF2,7.51911579417907
AUNIP,7.510891078668921
MX1,7.503778560465981
AURKA,7.480869409065655
TMC5,7.479519208491245
LRG1,7.476171548584333
LINC03078,7.468897215535991
PGM2,7.465274765188019
WFDC12,7.412747282035093
SQLE,7.408084260745731
ANKRD31,7.398139545638418
CLEC3A,7.393968893511225
BLACAT1,7.388954883270567
CCNE1,7.351649884332895
GFOD2,7.339534040191245
ENSG00000285806,7.3388217751942735
SPRR1A,7.321683171129438
HSPD1P2,7.310589636121079
FAM110C,7.301648271224715
TRG-AS1,7.29907135047605
ENSG00000287895,7.294216552442824
DEPDC1B,7.283418289712594
GGH,7.281702760964553
UBE2F,7.2758413166291485
DUSP14,7.273725693990077
FUT2,7.272160947405672
SPTSSA,7.27119229881289
TCAF2,7.256409152859367
RAB5IF,7.236112360974629
GPR68,7.225124197572158
STAT1,7.217576700633036
HYAL4,7.199387212370696
RRM2,7.196979738368503
SNHG3,7.192996150712265
GPR158,7.1197911176211575
SLC39A6,7.11973072866432
RSAD2,7.09788448071035
INA,7.065404032763191
CHRNA9,7.038796079515801
