Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR7543029	(1, 77.5435)	(2, 42.243399999999994)	(3, 51.278999999999996)	(4, 45.265)	(5, 43.342999999999996)	(6, 41.8865)	(7, 35.0954)	(8, 48.3401)	(9, 45.9037)	(10, 40.0068)	(11, 51.870000000000005)	(12, 47.9131)	(13, 44.3005)	(14, 44.7337)	(15, 46.528000000000006)	(16, 46.2361)	(17, 45.982299999999995)	(18, 46.5735)	(19, 46.6949)	(20, 46.2945)	(21, 46.18)	(22, 45.641)	(23, 45.6134)	(24, 46.5738)	(25, 46.601)	(26, 45.8953)	(27, 45.926)	(28, 45.9168)	(29, 45.9623)	(30, 46.0561)	(31, 46.1739)	(32, 46.0182)	(33, 46.123599999999996)	(34, 45.9606)	(35, 46.2439)	(36, 46.5499)	(37, 45.8842)	(38, 46.1227)	(39, 46.2371)	(40, 46.4272)	(41, 46.3352)	(42, 45.7331)	(43, 45.9558)	(44, 45.961600000000004)	(45, 45.6378)	(46, 46.3397)	(47, 46.5871)	(48, 46.4711)	(49, 46.2093)	(50, 46.5535)	(51, 46.8192)	(52, 46.517399999999995)	(53, 46.2408)	(54, 46.8373)	(55, 46.145199999999996)	(56, 46.6488)	(57, 46.7678)	(58, 46.456199999999995)	(59, 46.463300000000004)	(60, 46.2851)	(61, 46.503699999999995)	(62, 46.4971)	(63, 46.3776)	(64, 46.2132)	(65, 45.6074)	(66, 46.8498)	(67, 45.9324)	(68, 46.739000000000004)	(69, 46.5132)	(70, 46.718199999999996)	(71, 46.4875)	(72, 46.3744)	(73, 46.5863)	(74, 46.5553)	(75, 46.874900000000004)	(76, 46.2843)	(77, 46.0291)	(78, 47.0064)	(79, 46.4226)	(80, 46.0476)	(81, 45.7619)	(82, 46.5242)	(83, 46.1864)	(84, 46.6297)	(85, 46.3565)	(86, 46.354600000000005)	(87, 46.574)	(88, 46.3929)	(89, 46.2004)	(90, 46.249)	(91, 46.5939)	(92, 45.969)	(93, 46.5331)	(94, 46.4352)	(95, 45.6551)	(96, 46.4764)	(97, 46.643299999999996)	(98, 46.597100000000005)	(99, 46.4339)	(100, 46.4105)
SRR7543030	(1, 79.5138)	(2, 45.6749)	(3, 50.46810000000001)	(4, 46.7924)	(5, 44.5658)	(6, 43.4967)	(7, 36.755900000000004)	(8, 49.2521)	(9, 47.721599999999995)	(10, 41.4386)	(11, 53.002300000000005)	(12, 49.6226)	(13, 45.7058)	(14, 46.2924)	(15, 48.0419)	(16, 47.8113)	(17, 47.547)	(18, 48.2235)	(19, 47.9307)	(20, 47.8343)	(21, 47.8586)	(22, 47.2986)	(23, 47.3991)	(24, 48.121700000000004)	(25, 48.3099)	(26, 47.728300000000004)	(27, 47.5228)	(28, 47.2666)	(29, 47.5066)	(30, 47.794599999999996)	(31, 47.6835)	(32, 47.8692)	(33, 48.236200000000004)	(34, 47.6834)	(35, 48.0089)	(36, 48.3404)	(37, 47.7779)	(38, 47.8661)	(39, 48.1126)	(40, 48.0456)	(41, 48.0781)	(42, 47.2836)	(43, 47.591899999999995)	(44, 47.9046)	(45, 47.201)	(46, 48.0819)	(47, 48.4004)	(48, 48.1207)	(49, 47.671)	(50, 48.029500000000006)	(51, 48.491299999999995)	(52, 48.128)	(53, 47.7959)	(54, 48.5886)	(55, 47.855)	(56, 48.4454)	(57, 48.6249)	(58, 48.1651)	(59, 48.3987)	(60, 48.1)	(61, 48.321999999999996)	(62, 48.1946)	(63, 48.0501)	(64, 47.9559)	(65, 47.4422)	(66, 48.649300000000004)	(67, 47.4707)	(68, 48.3987)	(69, 48.2536)	(70, 48.2368)	(71, 48.201899999999995)	(72, 48.1299)	(73, 48.0788)	(74, 48.0158)	(75, 48.585699999999996)	(76, 47.6875)	(77, 47.6901)	(78, 48.3331)	(79, 47.929)	(80, 47.7271)	(81, 47.4954)	(82, 48.2545)	(83, 47.7325)	(84, 48.5354)	(85, 47.9473)	(86, 47.848)	(87, 48.274899999999995)	(88, 47.7126)	(89, 47.7382)	(90, 47.8868)	(91, 48.2823)	(92, 47.7629)	(93, 48.2774)	(94, 48.1484)	(95, 47.686299999999996)	(96, 48.1984)	(97, 48.2917)	(98, 48.443599999999996)	(99, 48.173)	(100, 48.1069)
SRR7543031	(1, 78.8293)	(2, 43.3721)	(3, 51.7466)	(4, 46.2646)	(5, 44.4216)	(6, 42.9444)	(7, 35.6297)	(8, 48.7318)	(9, 46.3808)	(10, 40.931400000000004)	(11, 52.8505)	(12, 48.9655)	(13, 45.1896)	(14, 45.6335)	(15, 47.402699999999996)	(16, 47.1244)	(17, 46.7459)	(18, 47.2834)	(19, 47.6852)	(20, 47.159)	(21, 47.2426)	(22, 46.487)	(23, 46.433600000000006)	(24, 47.4876)	(25, 47.4864)	(26, 46.8109)	(27, 46.839)	(28, 46.8288)	(29, 46.8989)	(30, 47.0041)	(31, 47.118300000000005)	(32, 46.8362)	(33, 46.949600000000004)	(34, 46.8698)	(35, 47.1208)	(36, 47.5116)	(37, 46.592800000000004)	(38, 47.1162)	(39, 47.1869)	(40, 47.326)	(41, 47.2273)	(42, 46.5248)	(43, 46.752700000000004)	(44, 46.8178)	(45, 46.5761)	(46, 47.2243)	(47, 47.497)	(48, 47.348)	(49, 47.1199)	(50, 47.4271)	(51, 47.9529)	(52, 47.6948)	(53, 47.1395)	(54, 47.8809)	(55, 47.0943)	(56, 47.6845)	(57, 47.5918)	(58, 47.2322)	(59, 47.3045)	(60, 47.1287)	(61, 47.5034)	(62, 47.4217)	(63, 47.2388)	(64, 47.261900000000004)	(65, 46.5123)	(66, 47.8188)	(67, 46.9392)	(68, 47.6121)	(69, 47.4728)	(70, 47.7651)	(71, 47.3188)	(72, 47.2843)	(73, 47.57)	(74, 47.4489)	(75, 47.849799999999995)	(76, 47.2192)	(77, 46.8507)	(78, 48.0683)	(79, 47.5163)	(80, 46.9521)	(81, 46.636)	(82, 47.483399999999996)	(83, 47.146100000000004)	(84, 47.6106)	(85, 47.2687)	(86, 47.2594)	(87, 47.483799999999995)	(88, 47.4186)	(89, 47.1424)	(90, 47.1218)	(91, 47.510400000000004)	(92, 46.8766)	(93, 47.4816)	(94, 47.377)	(95, 46.409800000000004)	(96, 47.4132)	(97, 47.478500000000004)	(98, 47.4328)	(99, 47.349799999999995)	(100, 47.341899999999995)
SRR7543032	(1, 77.6736)	(2, 42.748999999999995)	(3, 52.219300000000004)	(4, 48.226)	(5, 43.576100000000004)	(6, 41.2174)	(7, 35.52)	(8, 45.7039)	(9, 43.8508)	(10, 40.5272)	(11, 52.8035)	(12, 50.0366)	(13, 46.4962)	(14, 44.103500000000004)	(15, 46.5894)	(16, 46.775099999999995)	(17, 46.2701)	(18, 46.766000000000005)	(19, 47.5118)	(20, 46.706399999999995)	(21, 46.6225)	(22, 45.9038)	(23, 45.2881)	(24, 46.5017)	(25, 46.7908)	(26, 45.870400000000004)	(27, 45.9812)	(28, 46.6603)	(29, 45.9127)	(30, 46.2031)	(31, 46.5314)	(32, 46.023599999999995)	(33, 45.827600000000004)	(34, 46.2411)	(35, 46.8583)	(36, 47.090199999999996)	(37, 46.433099999999996)	(38, 46.6278)	(39, 46.7292)	(40, 47.0624)	(41, 46.733799999999995)	(42, 45.9096)	(43, 46.3716)	(44, 46.203300000000006)	(45, 45.665800000000004)	(46, 46.827400000000004)	(47, 46.8459)	(48, 46.8341)	(49, 46.6115)	(50, 46.9758)	(51, 47.2768)	(52, 47.0715)	(53, 46.475300000000004)	(54, 46.9334)	(55, 46.8572)	(56, 47.018100000000004)	(57, 46.962199999999996)	(58, 47.240500000000004)	(59, 46.6703)	(60, 46.3426)	(61, 46.957100000000004)	(62, 47.1508)	(63, 46.672599999999996)	(64, 46.529399999999995)	(65, 46.1301)	(66, 46.874500000000005)	(67, 46.4352)	(68, 47.0505)	(69, 46.5477)	(70, 47.2719)	(71, 46.719300000000004)	(72, 46.4976)	(73, 47.247699999999995)	(74, 47.2483)	(75, 47.1821)	(76, 46.9215)	(77, 46.2093)	(78, 47.510999999999996)	(79, 46.9273)	(80, 46.439099999999996)	(81, 46.497699999999995)	(82, 47.377399999999994)	(83, 46.9539)	(84, 46.8641)	(85, 46.835100000000004)	(86, 46.6952)	(87, 46.7723)	(88, 46.9505)	(89, 46.1597)	(90, 46.6145)	(91, 47.2652)	(92, 46.0395)	(93, 47.192499999999995)	(94, 46.733999999999995)	(95, 45.603300000000004)	(96, 46.6406)	(97, 47.0798)	(98, 47.5871)	(99, 47.008)	(100, 46.8783)
SRR7543033	(1, 77.2465)	(2, 43.1657)	(3, 52.047200000000004)	(4, 48.0615)	(5, 43.591800000000006)	(6, 41.1563)	(7, 35.8052)	(8, 46.0542)	(9, 44.2657)	(10, 40.3752)	(11, 52.900400000000005)	(12, 50.2293)	(13, 46.3348)	(14, 44.0354)	(15, 46.541199999999996)	(16, 46.712199999999996)	(17, 46.3031)	(18, 46.7363)	(19, 47.4138)	(20, 46.7675)	(21, 46.6012)	(22, 45.7213)	(23, 45.225)	(24, 46.5528)	(25, 46.7582)	(26, 45.8669)	(27, 45.9371)	(28, 46.5134)	(29, 46.0394)	(30, 46.2678)	(31, 46.3996)	(32, 45.8987)	(33, 45.832)	(34, 46.1751)	(35, 46.9456)	(36, 47.0046)	(37, 46.245599999999996)	(38, 46.5907)	(39, 46.7643)	(40, 46.8554)	(41, 46.7324)	(42, 45.8349)	(43, 46.0814)	(44, 46.2103)	(45, 45.7194)	(46, 46.7731)	(47, 46.9345)	(48, 46.7819)	(49, 46.5424)	(50, 47.0228)	(51, 47.2237)	(52, 47.0178)	(53, 46.4968)	(54, 46.7278)	(55, 46.758300000000006)	(56, 47.0136)	(57, 46.7334)	(58, 46.9829)	(59, 46.6158)	(60, 46.2018)	(61, 46.693400000000004)	(62, 47.039500000000004)	(63, 46.6847)	(64, 46.4029)	(65, 46.162)	(66, 46.8285)	(67, 46.4009)	(68, 46.991)	(69, 46.6279)	(70, 47.1866)	(71, 46.4722)	(72, 46.379)	(73, 47.0432)	(74, 47.1053)	(75, 47.142)	(76, 46.7042)	(77, 46.177099999999996)	(78, 47.3951)	(79, 46.697300000000006)	(80, 46.3804)	(81, 46.4581)	(82, 47.2706)	(83, 47.0013)	(84, 46.8883)	(85, 46.7281)	(86, 46.568599999999996)	(87, 46.6659)	(88, 46.726)	(89, 46.0321)	(90, 46.53)	(91, 47.1626)	(92, 46.0407)	(93, 47.104099999999995)	(94, 46.5277)	(95, 45.435199999999995)	(96, 46.5034)	(97, 46.905)	(98, 47.63)	(99, 46.951)	(100, 46.6008)
SRR7543034	(1, 78.1881)	(2, 44.851)	(3, 53.39509999999999)	(4, 49.1586)	(5, 44.555499999999995)	(6, 42.5747)	(7, 36.6985)	(8, 46.8609)	(9, 45.1453)	(10, 41.414699999999996)	(11, 53.63250000000001)	(12, 50.8023)	(13, 47.205799999999996)	(14, 45.2736)	(15, 47.2634)	(16, 47.7721)	(17, 47.2075)	(18, 47.5593)	(19, 48.2457)	(20, 47.5867)	(21, 47.4103)	(22, 46.6725)	(23, 46.1588)	(24, 47.556)	(25, 47.7294)	(26, 46.8496)	(27, 47.0043)	(28, 47.6787)	(29, 47.066599999999994)	(30, 47.369299999999996)	(31, 47.5781)	(32, 46.9572)	(33, 46.9499)	(34, 47.2675)	(35, 47.7354)	(36, 47.7847)	(37, 47.3767)	(38, 47.6006)	(39, 47.430099999999996)	(40, 47.8026)	(41, 47.5586)	(42, 46.7713)	(43, 47.1835)	(44, 47.014)	(45, 46.657399999999996)	(46, 47.5599)	(47, 47.7046)	(48, 47.4812)	(49, 47.4591)	(50, 47.917500000000004)	(51, 48.1775)	(52, 48.0142)	(53, 47.4547)	(54, 47.7078)	(55, 47.7488)	(56, 47.883700000000005)	(57, 47.692499999999995)	(58, 47.992000000000004)	(59, 47.5064)	(60, 47.0141)	(61, 47.6554)	(62, 47.8216)	(63, 47.5419)	(64, 47.5098)	(65, 47.1335)	(66, 47.7427)	(67, 47.438599999999994)	(68, 47.875499999999995)	(69, 47.6203)	(70, 48.1031)	(71, 47.5391)	(72, 47.4878)	(73, 48.0529)	(74, 47.9456)	(75, 48.041)	(76, 47.692800000000005)	(77, 47.1402)	(78, 48.3237)	(79, 47.8182)	(80, 47.295500000000004)	(81, 47.4453)	(82, 48.2722)	(83, 47.8414)	(84, 47.8103)	(85, 47.7424)	(86, 47.5107)	(87, 47.6268)	(88, 47.6841)	(89, 46.975899999999996)	(90, 47.4736)	(91, 48.1717)	(92, 46.939)	(93, 48.0306)	(94, 47.4276)	(95, 46.4721)	(96, 47.5775)	(97, 47.9239)	(98, 48.4965)	(99, 47.8543)	(100, 47.497099999999996)
SRR7543035	(1, 78.5351)	(2, 41.1348)	(3, 52.568400000000004)	(4, 48.1424)	(5, 45.2069)	(6, 43.3067)	(7, 38.2414)	(8, 48.9264)	(9, 47.334199999999996)	(10, 43.873200000000004)	(11, 55.7644)	(12, 53.2701)	(13, 49.406099999999995)	(14, 46.4037)	(15, 49.4467)	(16, 49.4107)	(17, 48.601499999999994)	(18, 49.4406)	(19, 50.0706)	(20, 48.8759)	(21, 48.9439)	(22, 48.051300000000005)	(23, 47.1789)	(24, 49.0674)	(25, 49.5975)	(26, 48.1521)	(27, 48.4765)	(28, 49.0015)	(29, 48.3883)	(30, 48.7072)	(31, 48.7534)	(32, 48.3885)	(33, 48.244)	(34, 48.4065)	(35, 49.2506)	(36, 49.5878)	(37, 48.2433)	(38, 48.4353)	(39, 48.7721)	(40, 49.0563)	(41, 48.8117)	(42, 47.949999999999996)	(43, 48.2808)	(44, 48.2599)	(45, 47.7641)	(46, 49.4038)	(47, 49.1127)	(48, 49.134299999999996)	(49, 49.0002)	(50, 49.2442)	(51, 50.163199999999996)	(52, 49.552099999999996)	(53, 48.8608)	(54, 49.5905)	(55, 49.0477)	(56, 49.3818)	(57, 49.016799999999996)	(58, 49.1934)	(59, 48.782)	(60, 48.5433)	(61, 48.993900000000004)	(62, 49.5562)	(63, 49.3677)	(64, 48.5798)	(65, 48.429899999999996)	(66, 49.478100000000005)	(67, 48.6981)	(68, 49.458200000000005)	(69, 48.8762)	(70, 49.7597)	(71, 48.8391)	(72, 48.7763)	(73, 49.3444)	(74, 49.696200000000005)	(75, 49.5557)	(76, 49.034)	(77, 48.5371)	(78, 49.8944)	(79, 48.8022)	(80, 48.3703)	(81, 48.579299999999996)	(82, 49.6674)	(83, 49.215399999999995)	(84, 49.3055)	(85, 49.0599)	(86, 48.7763)	(87, 49.0617)	(88, 48.893100000000004)	(89, 48.261199999999995)	(90, 48.8084)	(91, 49.3716)	(92, 47.8194)	(93, 49.5518)	(94, 48.7266)	(95, 46.9493)	(96, 48.8216)	(97, 49.2732)	(98, 49.9132)	(99, 49.167899999999996)	(100, 48.5794)
SRR7543036	(1, 77.9476)	(2, 45.4569)	(3, 53.235299999999995)	(4, 49.229099999999995)	(5, 45.2341)	(6, 42.8508)	(7, 37.0181)	(8, 47.6424)	(9, 45.7968)	(10, 42.0022)	(11, 54.2629)	(12, 51.5937)	(13, 47.7899)	(14, 45.3813)	(15, 47.8187)	(16, 47.9991)	(17, 47.7644)	(18, 47.9838)	(19, 48.6448)	(20, 48.172399999999996)	(21, 47.7233)	(22, 47.3146)	(23, 46.7671)	(24, 47.7213)	(25, 48.2014)	(26, 47.1429)	(27, 47.105999999999995)	(28, 47.7582)	(29, 47.3251)	(30, 47.667300000000004)	(31, 47.6017)	(32, 46.940599999999996)	(33, 46.9265)	(34, 47.4133)	(35, 47.9555)	(36, 48.3183)	(37, 47.7646)	(38, 48.0724)	(39, 48.1846)	(40, 48.296099999999996)	(41, 48.0867)	(42, 46.9814)	(43, 47.3992)	(44, 47.6748)	(45, 47.173300000000005)	(46, 48.4715)	(47, 48.4638)	(48, 48.1329)	(49, 47.8472)	(50, 48.3038)	(51, 48.5276)	(52, 48.5515)	(53, 47.8292)	(54, 48.4599)	(55, 48.0509)	(56, 48.2195)	(57, 48.2181)	(58, 48.2294)	(59, 48.0267)	(60, 47.8857)	(61, 48.5559)	(62, 48.667500000000004)	(63, 48.1523)	(64, 47.7637)	(65, 47.3451)	(66, 47.929300000000005)	(67, 47.5779)	(68, 48.273700000000005)	(69, 47.9373)	(70, 48.6477)	(71, 47.8125)	(72, 47.7642)	(73, 48.3242)	(74, 48.3589)	(75, 48.7736)	(76, 48.1158)	(77, 47.7049)	(78, 48.7889)	(79, 48.1597)	(80, 47.7176)	(81, 47.682)	(82, 48.6835)	(83, 48.335699999999996)	(84, 48.178399999999996)	(85, 48.0608)	(86, 48.0248)	(87, 47.984300000000005)	(88, 48.3716)	(89, 47.706700000000005)	(90, 48.1305)	(91, 48.7563)	(92, 47.5346)	(93, 48.4351)	(94, 47.9283)	(95, 46.672799999999995)	(96, 47.8585)	(97, 48.274)	(98, 48.9766)	(99, 48.3824)	(100, 47.8862)
SRR7543037	(1, 77.7045)	(2, 44.2155)	(3, 52.500800000000005)	(4, 48.248000000000005)	(5, 44.1683)	(6, 42.0921)	(7, 36.1227)	(8, 46.667199999999994)	(9, 44.6784)	(10, 40.8717)	(11, 53.2418)	(12, 50.35079999999999)	(13, 46.6657)	(14, 44.5298)	(15, 46.8931)	(16, 47.0422)	(17, 46.6035)	(18, 47.0998)	(19, 47.608200000000004)	(20, 47.0681)	(21, 46.7856)	(22, 46.0759)	(23, 45.7074)	(24, 46.909800000000004)	(25, 47.147299999999994)	(26, 46.2675)	(27, 46.276)	(28, 46.849000000000004)	(29, 46.3724)	(30, 46.5733)	(31, 46.7453)	(32, 46.3431)	(33, 46.199200000000005)	(34, 46.501)	(35, 47.1492)	(36, 47.2574)	(37, 46.5855)	(38, 46.9034)	(39, 46.9253)	(40, 47.1756)	(41, 47.0525)	(42, 46.1624)	(43, 46.4515)	(44, 46.4592)	(45, 46.042699999999996)	(46, 47.0819)	(47, 47.2114)	(48, 47.095)	(49, 46.9232)	(50, 47.369499999999995)	(51, 47.6017)	(52, 47.3123)	(53, 46.8296)	(54, 47.214)	(55, 47.031800000000004)	(56, 47.2632)	(57, 47.195)	(58, 47.329100000000004)	(59, 46.9615)	(60, 46.5717)	(61, 47.1575)	(62, 47.3621)	(63, 46.908100000000005)	(64, 46.6997)	(65, 46.3979)	(66, 47.1698)	(67, 46.7361)	(68, 47.4318)	(69, 46.925)	(70, 47.542899999999996)	(71, 46.946799999999996)	(72, 46.7771)	(73, 47.4183)	(74, 47.4267)	(75, 47.4383)	(76, 46.9938)	(77, 46.54)	(78, 47.7662)	(79, 47.0991)	(80, 46.7053)	(81, 46.7086)	(82, 47.5878)	(83, 47.272999999999996)	(84, 47.2579)	(85, 47.0958)	(86, 46.8857)	(87, 47.010200000000005)	(88, 47.0554)	(89, 46.4095)	(90, 46.8758)	(91, 47.5624)	(92, 46.4058)	(93, 47.4673)	(94, 46.8946)	(95, 45.7695)	(96, 46.8913)	(97, 47.377)	(98, 47.8668)	(99, 47.3106)	(100, 47.0166)
SRR7543038	(1, 77.8773)	(2, 46.6622)	(3, 53.416399999999996)	(4, 49.5379)	(5, 45.3339)	(6, 43.413000000000004)	(7, 37.0782)	(8, 47.6978)	(9, 45.8121)	(10, 42.237700000000004)	(11, 54.6889)	(12, 51.4812)	(13, 48.1509)	(14, 45.8929)	(15, 48.0004)	(16, 48.458)	(17, 47.8728)	(18, 48.3507)	(19, 49.0064)	(20, 48.442)	(21, 48.0964)	(22, 47.369499999999995)	(23, 47.031800000000004)	(24, 48.318)	(25, 48.6918)	(26, 47.6228)	(27, 47.63)	(28, 48.357099999999996)	(29, 47.7875)	(30, 47.9517)	(31, 48.4225)	(32, 47.8876)	(33, 47.6696)	(34, 48.1051)	(35, 48.6435)	(36, 48.7735)	(37, 48.111599999999996)	(38, 48.471)	(39, 48.3328)	(40, 48.7923)	(41, 48.3767)	(42, 47.3723)	(43, 47.8999)	(44, 47.8002)	(45, 47.1818)	(46, 48.6042)	(47, 48.6147)	(48, 48.4727)	(49, 48.4638)	(50, 48.8351)	(51, 49.0062)	(52, 48.9827)	(53, 48.2848)	(54, 48.5929)	(55, 48.6264)	(56, 48.818)	(57, 48.6104)	(58, 48.7836)	(59, 48.3153)	(60, 47.800799999999995)	(61, 48.6378)	(62, 48.7268)	(63, 48.376599999999996)	(64, 48.2939)	(65, 47.853)	(66, 48.625600000000006)	(67, 48.308800000000005)	(68, 48.86)	(69, 48.3465)	(70, 49.2282)	(71, 48.565599999999996)	(72, 48.1586)	(73, 48.8934)	(74, 48.9196)	(75, 48.8894)	(76, 48.4989)	(77, 47.9651)	(78, 49.2765)	(79, 48.537200000000006)	(80, 47.9914)	(81, 48.0948)	(82, 49.114799999999995)	(83, 48.7549)	(84, 48.6081)	(85, 48.5629)	(86, 48.3926)	(87, 48.448)	(88, 48.6589)	(89, 47.721799999999995)	(90, 48.3353)	(91, 49.1049)	(92, 47.8435)	(93, 48.8765)	(94, 48.4282)	(95, 47.030499999999996)	(96, 48.3653)	(97, 48.899100000000004)	(98, 49.467)	(99, 48.5893)	(100, 48.2176)
