Sample	Overrepresented sequences
SRR7543029	320227.0
SRR7543030	467232.0
SRR7543031	389650.0
SRR7543032	326235.0
SRR7543033	387563.0
SRR7543034	393987.0
SRR7543035	451415.0
SRR7543036	358536.0
SRR7543037	312959.0
SRR7543038	555538.0
SRR7543039	639940.0
SRR7543040	599650.0
SRR7543041	487470.0
SRR7543042	1498563.0
SRR7543043	1305628.0
SRR7543044	695842.0
SRR7543045	819507.0
