Sample	Overrepresented sequences
SRR7543029	301993.0
SRR7543030	434725.0
SRR7543031	359393.0
SRR7543032	284816.0
SRR7543033	343957.0
SRR7543034	334036.0
SRR7543035	362861.0
SRR7543036	305500.0
SRR7543037	277535.0
SRR7543038	446374.0
SRR7543039	501247.0
SRR7543040	510477.0
SRR7543041	410261.0
SRR7543042	1438120.0
SRR7543043	1254581.0
SRR7543044	666692.0
SRR7543045	743781.0
