Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR7543031_clean_1 - polya	(1, 0.024959870690597293)	(2, 0.028321972025255566)	(3, 0.03196484080752272)	(4, 0.03530561803223601)	(5, 0.03842960013917536)	(6, 0.04123372059694003)	(7, 0.04483038714099306)	(8, 0.04848036395990854)	(9, 0.05317877618445213)	(10, 0.05932367386693009)	(12, 0.0681785105215824)	(14, 0.07723948023903617)	(16, 0.0847633370312894)	(18, 0.09165280155267952)	(20, 0.09783323941839911)	(22, 0.1045734351701744)	(24, 0.11050864577152673)	(26, 0.1172008622759258)	(28, 0.12412942099888172)	(30, 0.1306883618161247)	(32, 0.13776796631785754)	(34, 0.1442966979793451)	(36, 0.15008797083856884)	(38, 0.15547586261800006)	(40, 0.1614874846133219)	(42, 0.16818325513604515)	(44, 0.17390522463794772)	(46, 0.17949214144353207)	(48, 0.18480895285648002)	(50, 0.1900742310037276)	(52, 0.19562738463523244)	(54, 0.20099572931388077)	(56, 0.20661818630270676)	(58, 0.21291768378228582)	(60, 0.21898617007079427)	(62, 0.22512218270746182)	(64, 0.23175042688202596)	(66, 0.23735689078839323)	(68, 0.2426648171555308)	(70, 0.2482446259244668)	(72, 0.2548835321540034)	(74, 0.2606019476375818)	(76, 0.26460377227058945)						
SRR7543031_clean_2 - polya	(1, 0.03804932017848991)	(2, 0.04579708012516542)	(3, 0.05730854547712962)	(4, 0.06337880877480016)	(5, 0.06927492517458671)	(6, 0.07401598561902026)	(7, 0.08016799133814655)	(8, 0.08563407152070936)	(9, 0.09229785587851512)	(10, 0.1000296227427319)	(12, 0.11059571922046874)	(14, 0.12030707429124433)	(16, 0.12822009608999343)	(18, 0.13544541534301696)	(20, 0.14213230081992978)	(22, 0.14927054662401135)	(24, 0.15572642090985356)	(26, 0.163886446982132)	(28, 0.17226149116302228)	(30, 0.17979778701941007)	(32, 0.18951269610850985)	(34, 0.19915119380364013)	(36, 0.20979370167534647)	(38, 0.2196756496256819)	(40, 0.2313257216922885)	(42, 0.24315171766594113)	(44, 0.25288084282833756)	(46, 0.26291383655744993)	(48, 0.27203522458641444)	(50, 0.2814995753836607)	(52, 0.2959040116514937)	(54, 0.30704230507942076)	(56, 0.3218092512163183)	(58, 0.337144840285082)	(60, 0.348890870846441)	(62, 0.35935034677445293)	(64, 0.36963034477709467)	(66, 0.3778596742066942)	(68, 0.3857336018038775)	(70, 0.39456356033026074)	(72, 0.4079106761466551)	(74, 0.41783882633520475)	(76, 0.4250996857714699)						
SRR7543032_1 - polya	(1, 0.018995565683648838)	(2, 0.025727878795075827)	(3, 0.028514141530964966)	(4, 0.034373148411740134)	(5, 0.037496719903383685)	(6, 0.040001121898162975)	(7, 0.04359600151428528)	(8, 0.05067486471724077)	(9, 0.06084495473663048)	(10, 0.07094111406982745)	(12, 0.07664763891033008)	(14, 0.08350239972076379)	(16, 0.08982578372418716)	(18, 0.09532668884371621)	(20, 0.10117876472266082)	(22, 0.10762228609114738)	(24, 0.1134350862930521)	(26, 0.12053243216755577)	(28, 0.12830439555356826)	(30, 0.13501822599344707)	(32, 0.14147791969953832)	(34, 0.14976277722101297)	(36, 0.15727598320535086)	(38, 0.1647591548484229)	(40, 0.1744325230699551)	(42, 0.18329265374336706)	(44, 0.1925224378477428)	(46, 0.20169446360353044)	(48, 0.21007173448274602)	(50, 0.2176611814872202)	(52, 0.2251281807926876)	(54, 0.23356552035443479)	(56, 0.2413305527386167)	(58, 0.2485110706350872)	(60, 0.255220280407079)	(62, 0.2618532491589345)	(64, 0.2687680786518998)	(66, 0.27500366996546927)	(68, 0.28117226159467656)	(70, 0.28789533337032946)	(72, 0.294634577483587)	(74, 0.30112892619883114)	(76, 0.3081823757284079)	(78, 0.31578106406865614)	(80, 0.3222962057893919)	(82, 0.3276908355475189)	(84, 0.3338386341712345)	(86, 0.3405316716056216)	(88, 0.3460140940536024)
SRR7543032_2 - polya	(1, 0.015922821538762805)	(2, 0.01937908111827371)	(3, 0.020663626790872684)	(4, 0.022992443405944203)	(5, 0.02457733249120121)	(6, 0.025986636196750443)	(7, 0.0274975945958147)	(8, 0.031896470424283126)	(9, 0.037214859162273836)	(10, 0.043464312479504455)	(12, 0.04711232977632779)	(14, 0.05222971946123198)	(16, 0.059759097783174515)	(18, 0.06514217587158389)	(20, 0.07084870071208652)	(22, 0.07622022713077825)	(24, 0.08059368928586792)	(26, 0.085798871660626)	(28, 0.09120505308847059)	(30, 0.09642871813477685)	(32, 0.10187879590754839)	(34, 0.10873817738586916)	(36, 0.11579855791727646)	(38, 0.12250083668743764)	(40, 0.1319223785091258)	(42, 0.14031582172594606)	(44, 0.1498066735659399)	(46, 0.16016621096869854)	(48, 0.1704425763494903)	(50, 0.1814628692600966)	(52, 0.19243926582577597)	(54, 0.20735940243304962)	(56, 0.21821335129972225)	(58, 0.22773885814886896)	(60, 0.2364164724407426)	(62, 0.24462970960996805)	(64, 0.2542383884810816)	(66, 0.2658778508885521)	(68, 0.27578456283838015)	(70, 0.2877867476749839)	(72, 0.29878162691221144)	(74, 0.3075932405728094)	(76, 0.3170263340642152)	(78, 0.3265680132509665)	(80, 0.3336769107951878)	(82, 0.3406933949816682)	(84, 0.35121465576047345)	(86, 0.3631128755696186)	(88, 0.3717350418468477)
SRR7543032_clean_1 - polya	(1, 0.02347624014543326)	(2, 0.026424287926564177)	(3, 0.029306510079408276)	(4, 0.03187841141318597)	(5, 0.03437978528808492)	(6, 0.03662255848042854)	(7, 0.03920386347539005)	(8, 0.04205787464468266)	(9, 0.04462507414786843)	(10, 0.048823808866448826)	(12, 0.05365493979964184)	(14, 0.05980258329857113)	(16, 0.06532253241347974)	(18, 0.07041696585981999)	(20, 0.07522458764005342)	(22, 0.08040130312175221)	(24, 0.08471993452042645)	(26, 0.08943116877352561)	(28, 0.09436103814914884)	(30, 0.0991945199976378)	(32, 0.10443471019232745)	(34, 0.10960672384343431)	(36, 0.11499502170176928)	(38, 0.12003773501159848)	(40, 0.12621829132467116)	(42, 0.133226369821921)	(44, 0.1400839897402295)	(46, 0.14654195405822523)	(48, 0.15250857707936577)	(50, 0.15905822709390383)	(52, 0.16530460903526334)	(54, 0.17115133537631008)	(56, 0.17723785507754447)	(58, 0.18379690875326637)	(60, 0.18986932296272502)	(62, 0.19615331954881987)	(64, 0.20319431086021306)	(66, 0.21006603627029732)	(68, 0.21566121467467658)	(70, 0.22072273530687342)	(72, 0.22726533257552362)	(74, 0.23277822894454436)	(76, 0.23667604650524215)						
SRR7543032_clean_2 - polya	(1, 0.018515808870962585)	(2, 0.021689544520505435)	(3, 0.025498027299956857)	(4, 0.02813575426202136)	(5, 0.030528986033306265)	(6, 0.032602493324340925)	(7, 0.035259027608773086)	(8, 0.03781212162018312)	(9, 0.04007840396548631)	(10, 0.04303350449250509)	(12, 0.046764407067189914)	(14, 0.05107598571997628)	(16, 0.055058436231328556)	(18, 0.05870705677065486)	(20, 0.0626307343996082)	(22, 0.06696582220535414)	(24, 0.07076960315421366)	(26, 0.07474970275026999)	(28, 0.07950560439399235)	(30, 0.08373255009612422)	(32, 0.08921958639688943)	(34, 0.0950522072461604)	(36, 0.10172410485608825)	(38, 0.10846652992489483)	(40, 0.11849083274685833)	(42, 0.12815779644383624)	(44, 0.1361861721795317)	(46, 0.14368324105834068)	(48, 0.1507641979297652)	(50, 0.15797680605776332)	(52, 0.168043425355054)	(54, 0.17666893357592273)	(56, 0.18663446351548726)	(58, 0.1968068740010961)	(60, 0.205752106702215)	(62, 0.21356890006127427)	(64, 0.22255644923772042)	(66, 0.22995713058939515)	(68, 0.2361188795801002)	(70, 0.24343492798112046)	(72, 0.25482041075944345)	(74, 0.2634435680650162)	(76, 0.2692456270154397)						
SRR7543033_1 - polya	(1, 0.028810799837338585)	(2, 0.0371513252862081)	(3, 0.04055104200470668)	(4, 0.04702870897768655)	(5, 0.050530036158506396)	(6, 0.053586817566670754)	(7, 0.05748611905824883)	(8, 0.06573773535258724)	(9, 0.07739330213468763)	(10, 0.0894341419197561)	(12, 0.09618700389485604)	(14, 0.10381625610747677)	(16, 0.11123593674155993)	(18, 0.11737278528883727)	(20, 0.12421455641846829)	(22, 0.13154321101338867)	(24, 0.13824526775732798)	(26, 0.1464862996285079)	(28, 0.15566299450689608)	(30, 0.1637897146079646)	(32, 0.17138721355110995)	(34, 0.1809703502787831)	(36, 0.18980834361610044)	(38, 0.19843676537488014)	(40, 0.20965413703822014)	(42, 0.2200014691179344)	(44, 0.230594359814925)	(46, 0.24094592566390266)	(48, 0.2500548802340766)	(50, 0.25863037987706405)	(52, 0.2672079964046832)	(54, 0.2772907179054358)	(56, 0.2859699448953762)	(58, 0.294039509111389)	(60, 0.30137663124483616)	(62, 0.30880689630207775)	(64, 0.3163557068986942)	(66, 0.3237965563790942)	(68, 0.33110404212769773)	(70, 0.33891534641864396)	(72, 0.34707170290455625)	(74, 0.35445539649990065)	(76, 0.3629546882961471)	(78, 0.3722880326372805)	(80, 0.3795087261159845)	(82, 0.3862150166291872)	(84, 0.39398821699676306)	(86, 0.4023075735993157)	(88, 0.4088762666114583)
SRR7543033_2 - polya	(1, 0.019162039686082943)	(2, 0.022777678637014194)	(3, 0.02401393926192277)	(4, 0.02653726574290055)	(5, 0.028027552523612262)	(6, 0.029369657380105475)	(7, 0.031075866393249846)	(8, 0.03591506466129952)	(9, 0.04180000393740541)	(10, 0.04842796971923548)	(12, 0.05240347905755449)	(14, 0.05817198967891729)	(16, 0.06638973581914862)	(18, 0.07217941528682834)	(20, 0.07861686145180605)	(22, 0.08483626849971941)	(24, 0.08987868769241159)	(26, 0.09585888677694365)	(28, 0.10201478728590622)	(30, 0.10789549279274874)	(32, 0.11399000364739222)	(34, 0.12154093112864033)	(36, 0.12897966372440872)	(38, 0.13610086362542317)	(40, 0.14676784528452305)	(42, 0.15587044920080195)	(44, 0.16649085939800456)	(46, 0.17846819264412228)	(48, 0.19017456465738328)	(50, 0.20280389837006235)	(52, 0.2152300111580989)	(54, 0.23216720509627276)	(56, 0.2444133826906154)	(58, 0.25433098719009606)	(60, 0.2640305525725123)	(62, 0.27263992236960677)	(64, 0.2841663591891739)	(66, 0.29797479764170587)	(68, 0.30919216930504584)	(70, 0.32295403629568054)	(72, 0.3353632140066635)	(74, 0.34534009127583154)	(76, 0.3564346836305333)	(78, 0.36734934079154125)	(80, 0.3755967233166163)	(82, 0.3836684044172608)	(84, 0.3955631791627425)	(86, 0.4092636564990581)	(88, 0.41873459834125154)
SRR7543033_clean_1 - polya	(1, 0.03265351673725234)	(2, 0.036115202847055994)	(3, 0.03981369584248054)	(4, 0.04263815615097705)	(5, 0.045522894575813426)	(6, 0.047942630388885125)	(7, 0.051107231496728016)	(8, 0.05443544463463625)	(9, 0.05747087835032229)	(10, 0.06204340403267487)	(12, 0.06775475555587704)	(14, 0.0748955595522817)	(16, 0.0813022622032616)	(18, 0.08720736481469904)	(20, 0.09271204851045024)	(22, 0.09870972108626677)	(24, 0.10345877553790038)	(26, 0.10893332017548166)	(28, 0.11465113006829167)	(30, 0.12021393909051345)	(32, 0.12617716702842147)	(34, 0.1318691434428001)	(36, 0.1375869533356101)	(38, 0.14348775036730899)	(40, 0.15089334751763522)	(42, 0.15927631126861497)	(44, 0.16687565950717645)	(46, 0.173885143321555)	(48, 0.18081497391077012)	(50, 0.18777709634802447)	(52, 0.19501908146828534)	(54, 0.2018132862957358)	(56, 0.20918228601828426)	(58, 0.21673427287972158)	(60, 0.2241506339793942)	(62, 0.23123761822906683)	(64, 0.24023627988266089)	(66, 0.24800139294115703)	(68, 0.25442531791109113)	(70, 0.26093104889605795)	(72, 0.26909442808037104)	(74, 0.275800368523181)	(76, 0.2806075483012852)						
SRR7543033_clean_2 - polya	(1, 0.02072275528169772)	(2, 0.024167219072547125)	(3, 0.028481409970586003)	(4, 0.03107767455293874)	(5, 0.0337944953679712)	(6, 0.03583103458431092)	(7, 0.03913771982352634)	(8, 0.04168231744901634)	(9, 0.044498166598035724)	(10, 0.04798568618627075)	(12, 0.05218147364149918)	(14, 0.057318030269603346)	(16, 0.061776458088884045)	(18, 0.06592703695685757)	(20, 0.07036608966731474)	(22, 0.07502257415456928)	(24, 0.07896217961535329)	(26, 0.08337755163724836)	(28, 0.08834619065554863)	(30, 0.09287996612025415)	(32, 0.0992694464522798)	(34, 0.10592802551796554)	(36, 0.11349292911861855)	(38, 0.12102554087123234)	(40, 0.13250636924410725)	(42, 0.14363844565815867)	(44, 0.15204078451796194)	(46, 0.16023645555031424)	(48, 0.16782503983952932)	(50, 0.17549543014377708)	(52, 0.18741758043985457)	(54, 0.197277358041161)	(56, 0.2087043666673039)	(58, 0.2200732499669762)	(60, 0.229836152024165)	(62, 0.23877238277154988)	(64, 0.24913806599213734)	(66, 0.2574801267356007)	(68, 0.26457787493461976)	(70, 0.27274986527840994)	(72, 0.28549653409442205)	(74, 0.2952852696300422)	(76, 0.30173072249866917)						
