Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR7543034_1 - polya	(1, 0.013236141873236445)	(2, 0.018947783609939622)	(3, 0.02157225643981917)	(4, 0.027022209411693317)	(5, 0.029840104372098667)	(6, 0.032529051245486815)	(7, 0.03595755332382657)	(8, 0.0431862313783792)	(9, 0.05314557480506083)	(10, 0.06293804423677903)	(12, 0.06854349343123274)	(14, 0.07478799417458054)	(16, 0.08048825813889984)	(18, 0.08526123365393368)	(20, 0.09057086076640675)	(22, 0.09705998361600776)	(24, 0.10296315118783944)	(26, 0.11048385873357808)	(28, 0.11844450681149307)	(30, 0.1253375405807215)	(32, 0.1315668709608908)	(34, 0.13906861555265632)	(36, 0.1465096786917079)	(38, 0.15371370490609546)	(40, 0.16282919688097333)	(42, 0.17143837798476896)	(44, 0.18000773688522104)	(46, 0.18879327346096664)	(48, 0.19659273643011013)	(50, 0.20387640705118482)	(52, 0.21105578142540732)	(54, 0.21922122940623198)	(56, 0.2267722776783276)	(58, 0.23347757820322218)	(60, 0.2394983160896872)	(62, 0.24594382414515004)	(64, 0.2526984283503747)	(66, 0.25872485512303167)	(68, 0.2649295336630359)	(70, 0.2714224491034315)	(72, 0.27851838648017235)	(74, 0.2848937316059346)	(76, 0.2917203950362572)	(78, 0.2992752358991474)	(80, 0.3053111441487909)	(82, 0.31061697867046933)	(84, 0.3165846202858097)	(86, 0.32279878030280046)	(88, 0.32793774082951543)
SRR7543034_2 - polya	(1, 0.013421978822173003)	(2, 0.016440881094693407)	(3, 0.017529354652750385)	(4, 0.019729057313632087)	(5, 0.021083012227312722)	(6, 0.022281470918413787)	(7, 0.023620255468915927)	(8, 0.027826238660153525)	(9, 0.032828665918262084)	(10, 0.03841515215874268)	(12, 0.04174694317181953)	(14, 0.04675885190691465)	(16, 0.05386047816984739)	(18, 0.05901460905974089)	(20, 0.06467505082071665)	(22, 0.07011741861100154)	(24, 0.07463439424739829)	(26, 0.08012037683182135)	(28, 0.08558360387147668)	(30, 0.09065240146849116)	(32, 0.09602650262447283)	(34, 0.10236202554689158)	(36, 0.10869565217391304)	(38, 0.11494394550805546)	(40, 0.1238754968293941)	(42, 0.13222109287296338)	(44, 0.1411981552838375)	(46, 0.15116318759671105)	(48, 0.1609632422100185)	(50, 0.171463029824934)	(52, 0.18147546952274035)	(54, 0.19493158166206498)	(56, 0.20500659910798263)	(58, 0.21380730604690676)	(60, 0.22182294669134378)	(62, 0.22988978731150822)	(64, 0.23944332352316516)	(66, 0.2504361479413817)	(68, 0.25983608422585636)	(70, 0.2720615006523256)	(72, 0.28287038441700296)	(74, 0.29175452835340876)	(76, 0.3011544646378834)	(78, 0.3099020753056828)	(80, 0.316465153675779)	(82, 0.3226868988743591)	(84, 0.33250970903243426)	(86, 0.34376422221547986)	(88, 0.3517153888164083)
SRR7543034_clean_1 - polya	(1, 0.018684787632637406)	(2, 0.02144219179307822)	(3, 0.024091613692690583)	(4, 0.026339958623511555)	(5, 0.028518886386657095)	(6, 0.030539697267875258)	(7, 0.032845889838425756)	(8, 0.03541046853310148)	(9, 0.03811388156312807)	(10, 0.042242274785158684)	(12, 0.04731744104409591)	(14, 0.05375781160064998)	(16, 0.05940759774756717)	(18, 0.06440177731088305)	(20, 0.06896209957622748)	(22, 0.074162602387912)	(24, 0.07851274489557247)	(26, 0.08309427796215106)	(28, 0.08824464615273667)	(30, 0.09280304016342344)	(32, 0.09785506736646885)	(34, 0.10300157904773916)	(36, 0.10808253007064933)	(38, 0.11308249439793816)	(40, 0.11924133977447518)	(42, 0.1261792000327032)	(44, 0.13269670077556328)	(46, 0.13858559050002922)	(48, 0.14438385225558553)	(50, 0.15069695800473465)	(52, 0.1566591214061913)	(54, 0.16247666570832411)	(56, 0.16835591415950174)	(58, 0.17524749630594613)	(60, 0.18150275441536573)	(62, 0.1875651870590202)	(64, 0.1946997292923286)	(66, 0.2013078580040983)	(68, 0.20659513227537712)	(70, 0.21168958108089087)	(72, 0.21789084805989622)	(74, 0.2230662835610313)	(76, 0.22673575217454098)						
SRR7543034_clean_2 - polya	(1, 0.015518593484774598)	(2, 0.01858066188112426)	(3, 0.022228919693399796)	(4, 0.024685516127247068)	(5, 0.027041843318896492)	(6, 0.029085793256006465)	(7, 0.031870192981654395)	(8, 0.03431907639687106)	(9, 0.036675403588520485)	(10, 0.03981653042583383)	(12, 0.04375788294607231)	(14, 0.04821215120524593)	(16, 0.05212457990561965)	(18, 0.055815259320363506)	(20, 0.05961392099593582)	(22, 0.06360155162795791)	(24, 0.06714375543406266)	(26, 0.07085371739538303)	(28, 0.07514601226331397)	(30, 0.07919341878972325)	(32, 0.0843225761790747)	(34, 0.08973133049378552)	(36, 0.09623147694472678)	(38, 0.10254843920319118)	(40, 0.11154760369044803)	(42, 0.12061232883606499)	(44, 0.12808431563446232)	(46, 0.13492576315980775)	(48, 0.14161295031254117)	(50, 0.14875134905516485)	(52, 0.15839262234341944)	(54, 0.16651250270678747)	(56, 0.17652014437999575)	(58, 0.1866589073699243)	(60, 0.1956349328012893)	(62, 0.20350992482313568)	(64, 0.21206559073913278)	(66, 0.21891282302845122)	(68, 0.22447583771577412)	(70, 0.23104347307973314)	(72, 0.24181856010668645)	(74, 0.2498073191533342)	(76, 0.25525463856119807)						
SRR7543035_1 - polya	(1, 0.010460624061418318)	(2, 0.01589298319168096)	(3, 0.017634337575461467)	(4, 0.021283683126159376)	(5, 0.022879230324695105)	(6, 0.02419566091147654)	(7, 0.025978674491041274)	(8, 0.029907136653493472)	(9, 0.035781083259068876)	(10, 0.041840413285884066)	(12, 0.04532937093281272)	(14, 0.04959318962132791)	(16, 0.05391741414373022)	(18, 0.057916696939015605)	(20, 0.062334654651932414)	(22, 0.06748164829107313)	(24, 0.07178087729600491)	(26, 0.07689454357851826)	(28, 0.08151038247141013)	(30, 0.0857700352403469)	(32, 0.09006509832570025)	(34, 0.09558910768668819)	(36, 0.10044240399555013)	(38, 0.10555190435848505)	(40, 0.11197366938862297)	(42, 0.11812673260595266)	(44, 0.12435478237569396)	(46, 0.1304370249601905)	(48, 0.13594853656244313)	(50, 0.1410830324428486)	(52, 0.14639041398575856)	(54, 0.1527413583830633)	(56, 0.1579591726550372)	(58, 0.16302493086239866)	(60, 0.16742205897742338)	(62, 0.17208164002588872)	(64, 0.1768911941791772)	(66, 0.18120500390263344)	(68, 0.185906244146883)	(70, 0.19072413013932835)	(72, 0.1954691125391513)	(74, 0.19998496936216104)	(76, 0.2048007723948172)	(78, 0.20909791843995978)	(80, 0.2129014030150593)	(82, 0.21678612302193806)	(84, 0.22127698432747728)	(86, 0.22560954068903644)	(88, 0.22918598264711193)
SRR7543035_2 - polya	(1, 0.00963577198489071)	(2, 0.011752059130729223)	(3, 0.012485260976531541)	(4, 0.013764198287107178)	(5, 0.014534893409115299)	(6, 0.015222270139554973)	(7, 0.01611794284891576)	(8, 0.018854952011939194)	(9, 0.022162692157206475)	(10, 0.025726636356546727)	(12, 0.028076214998776886)	(14, 0.031767219745259014)	(16, 0.036624681973699384)	(18, 0.04010322482168198)	(20, 0.044012940346031273)	(22, 0.04776851684597895)	(24, 0.05098460676052095)	(26, 0.054600624954591476)	(28, 0.05826871714339228)	(30, 0.06218468154710922)	(32, 0.06595067284600295)	(34, 0.07021449153451814)	(36, 0.07470326988026814)	(38, 0.07913997423128785)	(40, 0.0857887818784498)	(42, 0.09187935630210316)	(44, 0.09839277156296639)	(46, 0.10559356355426927)	(48, 0.11272770083231741)	(50, 0.12028676190736462)	(52, 0.12751254941613804)	(54, 0.13680879895538733)	(56, 0.14389502815828362)	(58, 0.15023555775664232)	(60, 0.15604076668917374)	(62, 0.1613481482320837)	(64, 0.1682115007375344)	(66, 0.17589137348035586)	(68, 0.18294427532662477)	(70, 0.1911428050569598)	(72, 0.19853314638908087)	(74, 0.20453207058200895)	(76, 0.21082677506500502)	(78, 0.21697775532254548)	(80, 0.22186021306845638)	(82, 0.2269509667932884)	(84, 0.23390388656967517)	(86, 0.24144420100661948)	(88, 0.24694321485013687)
SRR7543035_clean_1 - polya	(1, 0.010821195375153601)	(2, 0.012728070070382787)	(3, 0.014728377378741244)	(4, 0.01666498063269338)	(5, 0.01852089208439751)	(6, 0.020109246507595095)	(7, 0.022122294626834814)	(8, 0.024233022296164225)	(9, 0.0265348621287126)	(10, 0.0293399639910709)	(12, 0.03312186135432611)	(14, 0.03707575966447839)	(16, 0.040413852115369575)	(18, 0.04363515379984917)	(20, 0.04703482683666646)	(22, 0.05037504275603785)	(24, 0.05337338025009532)	(26, 0.05647576769968311)	(28, 0.05983084789841599)	(30, 0.06316044647538632)	(32, 0.06665355212533289)	(34, 0.07013391696439819)	(36, 0.07361428180346348)	(38, 0.07710314051644962)	(40, 0.08178751198379436)	(42, 0.08682862615581452)	(44, 0.09171472712877927)	(46, 0.09586398453911094)	(48, 0.10022346532898345)	(50, 0.10461904508301956)	(52, 0.1090252421794567)	(54, 0.11314689449954562)	(56, 0.11782701902992995)	(58, 0.12236062423517974)	(60, 0.12667763565544804)	(62, 0.13097978279635486)	(64, 0.13543694313631707)	(66, 0.1391020497331607)	(68, 0.14273318083432096)	(70, 0.14663186896398775)	(72, 0.15102320178106343)	(74, 0.15458425842237672)	(76, 0.15715365528343164)						
SRR7543035_clean_2 - polya	(1, 0.011254382945116579)	(2, 0.013445802416693995)	(3, 0.0158538156732529)	(4, 0.017573825142223547)	(5, 0.019068746952291864)	(6, 0.020368309662180797)	(7, 0.022275184357409984)	(8, 0.023965465267657683)	(9, 0.02557080743869695)	(10, 0.027679411639546153)	(12, 0.030337994176769918)	(14, 0.03315583685000948)	(16, 0.035946074433006306)	(18, 0.038789398728008406)	(20, 0.04150319144571765)	(22, 0.044393232047284376)	(24, 0.047090037017151934)	(26, 0.049859039915346653)	(28, 0.05328207110544626)	(30, 0.05632500143758816)	(32, 0.06021519569333412)	(34, 0.0642264276524521)	(36, 0.06877489713706335)	(38, 0.07337857680216009)	(40, 0.07972774755799)	(42, 0.0861300050258252)	(44, 0.09137709564042579)	(46, 0.09652650670493668)	(48, 0.10097304970249782)	(50, 0.10589100270266574)	(52, 0.11269034877630033)	(54, 0.11838124430326494)	(56, 0.12571995137087302)	(58, 0.13237490158785328)	(60, 0.13843528063037455)	(62, 0.14377792732658462)	(64, 0.14960260136780248)	(66, 0.15444198603420262)	(68, 0.15893099840136798)	(70, 0.1639084085189818)	(72, 0.1711919054061044)	(74, 0.17649632966967072)	(76, 0.18038864739389687)						
SRR7543036_1 - polya	(1, 0.013482533154735628)	(2, 0.019626200207706678)	(3, 0.022369139031916285)	(4, 0.027648651376946692)	(5, 0.030249714055076492)	(6, 0.03277768902158942)	(7, 0.03586027074095978)	(8, 0.04248115755801746)	(9, 0.05154403379850939)	(10, 0.06126040016639922)	(12, 0.0666903872118173)	(14, 0.07307266414683167)	(16, 0.07925502469418812)	(18, 0.08461837294372022)	(20, 0.09009350239925461)	(22, 0.09645213330992233)	(24, 0.10249906662692988)	(26, 0.10977989248711637)	(28, 0.11693603930983876)	(30, 0.12354187865685767)	(32, 0.1301778129439541)	(34, 0.13819811447461716)	(36, 0.1452403304527603)	(38, 0.15234273631105855)	(40, 0.16164852171074773)	(42, 0.17032876228453958)	(44, 0.17901760141263928)	(46, 0.1876741959620845)	(48, 0.19524952230731543)	(50, 0.20236482599707545)	(52, 0.21004118535542382)	(54, 0.21852795845728867)	(56, 0.22610113516394262)	(58, 0.23291119017577339)	(60, 0.2390957003617068)	(62, 0.24595519706080776)	(64, 0.25239551423740025)	(66, 0.25836721020421394)	(68, 0.26471724256057383)	(70, 0.2711532604600123)	(72, 0.2778450853501099)	(74, 0.2841456760191995)	(76, 0.2909342346452606)	(78, 0.29792700893613355)	(80, 0.30392665020444787)	(82, 0.309543655806062)	(84, 0.3154207676754892)	(86, 0.32165471954869285)	(88, 0.32699227213530135)
SRR7543036_2 - polya	(1, 0.012304531214557834)	(2, 0.015503193417084398)	(3, 0.01672418812880153)	(4, 0.01883083393422897)	(5, 0.020124916357562972)	(6, 0.02122553130896996)	(7, 0.02257120505815116)	(8, 0.02665551835438804)	(9, 0.03154809575556443)	(10, 0.036821159184863936)	(12, 0.040148799702008506)	(14, 0.04483286216121911)	(16, 0.05176759621051393)	(18, 0.05670746566038359)	(20, 0.06220624114026461)	(22, 0.06767062240291416)	(24, 0.07217411522165955)	(26, 0.07751166780826807)	(28, 0.08289651244356984)	(30, 0.08796106093090356)	(32, 0.09324487255308792)	(34, 0.09953256539071573)	(36, 0.10579231292684299)	(38, 0.11222188191055062)	(40, 0.1215857075518179)	(42, 0.1293308553446292)	(44, 0.13843887399523744)	(46, 0.14869479964594592)	(48, 0.15889053541649933)	(50, 0.16941301625075172)	(52, 0.17973128142019226)	(54, 0.19361794662739762)	(56, 0.20383947806087466)	(58, 0.21265944514216933)	(60, 0.221159116075496)	(62, 0.2291299759188888)	(64, 0.23893447746843427)	(66, 0.250662905544365)	(68, 0.2602352461275981)	(70, 0.2723957515574991)	(72, 0.28351583191614826)	(74, 0.2920670941753221)	(76, 0.3014008248765119)	(78, 0.31051959172000493)	(80, 0.3174156322749143)	(82, 0.32415904849085914)	(84, 0.3340710319692529)	(86, 0.34507288220616894)	(88, 0.35299000108513756)
SRR7543036_clean_1 - polya	(1, 0.01848965784247345)	(2, 0.02128913288841218)	(3, 0.02427232348424064)	(4, 0.0267699801267891)	(5, 0.02932887528596747)	(6, 0.03129288199788386)	(7, 0.03375117102259881)	(8, 0.036384427237684924)	(9, 0.03899581255397464)	(10, 0.04317315422408634)	(12, 0.04834562178943407)	(14, 0.05416984213891442)	(16, 0.05926576155847475)	(18, 0.06446228711249852)	(20, 0.06916453035372373)	(22, 0.074024244066283)	(24, 0.07801787018650497)	(26, 0.08262825565278531)	(28, 0.08735018270292727)	(30, 0.0919540068995687)	(32, 0.09705430049888833)	(34, 0.10203867833458705)	(36, 0.10671467649725658)	(38, 0.11177997665850198)	(40, 0.1181006664106605)	(42, 0.1252961921146749)	(44, 0.13180059741672318)	(46, 0.13779759786669504)	(48, 0.1439389462487231)	(50, 0.15012841060810328)	(52, 0.15604886291228776)	(54, 0.16166312263332272)	(56, 0.16788976752065674)	(58, 0.17407923188003688)	(60, 0.1802052706329075)	(62, 0.18616071637516624)	(64, 0.19297787553000295)	(66, 0.19897268889009517)	(68, 0.20454539390341697)	(70, 0.209667558401533)	(72, 0.2157039264693384)	(74, 0.22091138747276035)	(76, 0.2247934720091207)						
SRR7543036_clean_2 - polya	(1, 0.014859088642271662)	(2, 0.017807285800025885)	(3, 0.02135474558480137)	(4, 0.023786789530960643)	(5, 0.026021995387952346)	(6, 0.027802286549979006)	(7, 0.03051427800073215)	(8, 0.03299006374448422)	(9, 0.03539586261208781)	(10, 0.03841185955611086)	(12, 0.042202086317526345)	(14, 0.04656970480716669)	(16, 0.050366492838221096)	(18, 0.053843965746848105)	(20, 0.05753358637380017)	(22, 0.06140254837088268)	(24, 0.06490845344794502)	(26, 0.0689698793544358)	(28, 0.07325438842864984)	(30, 0.07716490513344551)	(32, 0.08258451385519251)	(34, 0.08836717949695971)	(36, 0.09476441739490563)	(38, 0.1013847384605748)	(40, 0.11080234748230305)	(42, 0.12030306591945761)	(44, 0.12764512664540786)	(46, 0.1349543810231635)	(48, 0.14171686293100927)	(50, 0.1485843251530777)	(52, 0.1588942668456989)	(54, 0.16731237579243186)	(56, 0.17735549251973706)	(58, 0.18775510489742353)	(60, 0.19650346441598204)	(62, 0.20425669803930452)	(64, 0.2126813682556764)	(66, 0.2199753130042746)	(68, 0.22576672700556033)	(70, 0.23255764108184138)	(72, 0.24326125895279774)	(74, 0.2510976019915465)	(76, 0.2565937588590809)						
SRR7543037_1 - polya	(1, 0.013878161234822177)	(2, 0.021057065755075807)	(3, 0.024066723964374502)	(4, 0.030365395698370896)	(5, 0.03340140818270723)	(6, 0.03657973375224683)	(7, 0.04044327047276512)	(8, 0.04830211528898991)	(9, 0.05892815898416709)	(10, 0.06964380721447225)	(12, 0.07566048820556588)	(14, 0.08261801681550332)	(16, 0.08926192955249282)	(18, 0.09487802556301428)	(20, 0.10063379923123525)	(22, 0.10801299624177496)	(24, 0.11489146202659947)	(26, 0.12333800717616368)	(28, 0.13205073050360805)	(30, 0.13956960517184727)	(32, 0.14639272697909272)	(34, 0.15450720826318265)	(36, 0.16273237750243064)	(38, 0.17016164763554187)	(40, 0.18056104456539535)	(42, 0.190019593876405)	(44, 0.200010499543175)	(46, 0.2102306874027725)	(48, 0.21896712957775075)	(50, 0.2270499857317955)	(52, 0.23510121675579507)	(54, 0.2444886095242031)	(56, 0.25265579935836824)	(58, 0.26018521573662257)	(60, 0.2673272242718235)	(62, 0.27394214730627153)	(64, 0.28086277993115627)	(66, 0.2876410994708378)	(68, 0.2942586579327896)	(70, 0.3015324378431788)	(72, 0.30900651024385395)	(74, 0.31628556100925065)	(76, 0.3247268353038073)	(78, 0.3333499540961238)	(80, 0.3399727834130831)	(82, 0.3461607671919214)	(84, 0.35355577676748373)	(86, 0.3609455154880385)	(88, 0.3671124158468467)
SRR7543037_2 - polya	(1, 0.01261315603301537)	(2, 0.01558064740225384)	(3, 0.016692797808842322)	(4, 0.018896015201989178)	(5, 0.020556334529360613)	(6, 0.021742276906054493)	(7, 0.02336570024837323)	(8, 0.028262324550367077)	(9, 0.03394430624848265)	(10, 0.040142831737336)	(12, 0.044156587825568853)	(14, 0.04975160041606021)	(16, 0.05801630106786468)	(18, 0.06357968852831086)	(20, 0.06951467126678781)	(22, 0.07546283114278357)	(24, 0.08055711250755973)	(26, 0.08657906435366088)	(28, 0.09247978653458888)	(30, 0.09840686299055453)	(32, 0.10390963561841413)	(34, 0.11110171727618659)	(36, 0.11834650748403432)	(38, 0.1254410783241675)	(40, 0.1356823496037951)	(42, 0.14452157345142017)	(44, 0.1545862710882956)	(46, 0.16572358771920298)	(48, 0.17679765409002007)	(50, 0.188164252913755)	(52, 0.1994570597673845)	(54, 0.2157624497331735)	(56, 0.22726609078710416)	(58, 0.2373360592789871)	(60, 0.24667601435232733)	(62, 0.2554124565273056)	(64, 0.2660305939399715)	(66, 0.27851197859779864)	(68, 0.2891169388729457)	(70, 0.302502275164564)	(72, 0.3145751685593077)	(74, 0.3239651967552195)	(76, 0.33436459368507293)	(78, 0.3443976661919032)	(80, 0.35186119688256334)	(82, 0.3594011549708327)	(84, 0.370203772308762)	(86, 0.38289335573938654)	(88, 0.39166669389941755)
SRR7543037_clean_1 - polya	(1, 0.01995916863123826)	(2, 0.02297581613174487)	(3, 0.026147850448440993)	(4, 0.028885873313021598)	(5, 0.03140421136850669)	(6, 0.03355283596478228)	(7, 0.03599080152913487)	(8, 0.038932434704584476)	(9, 0.0420723200248276)	(10, 0.04676875259000353)	(12, 0.05265737710697825)	(14, 0.05968729099803452)	(16, 0.06588668914738825)	(18, 0.07108946840669894)	(20, 0.07609935368729165)	(22, 0.0816959581531516)	(24, 0.08627183198162877)	(26, 0.0909896972111067)	(28, 0.0962139091347194)	(30, 0.1013202414046711)	(32, 0.10715260517785308)	(34, 0.11280547038750578)	(36, 0.11832973961134649)	(38, 0.12401207473441447)	(40, 0.13107413762192371)	(42, 0.13890509734126727)	(44, 0.1458894668206818)	(46, 0.1527077331517558)	(48, 0.1590705553664123)	(50, 0.16516546927729378)	(52, 0.17184710237344253)	(54, 0.1779152254539465)	(56, 0.18446826256428328)	(58, 0.19162677244115153)	(60, 0.1984048525266593)	(62, 0.20583127070730256)	(64, 0.21410427912787489)	(66, 0.2214583620664989)	(68, 0.22713801810652912)	(70, 0.23331598359158084)	(72, 0.2407986625160169)	(74, 0.24690697184208713)	(76, 0.25119618378552505)						
SRR7543037_clean_2 - polya	(1, 0.0157690827601971)	(2, 0.01919830904851723)	(3, 0.023495558241068394)	(4, 0.026163924946667493)	(5, 0.02868762116822809)	(6, 0.03081481310020167)	(7, 0.033751088109575784)	(8, 0.036242635334683374)	(9, 0.038873494877753975)	(10, 0.04227860941873436)	(12, 0.046642835687229274)	(14, 0.051467864238217205)	(16, 0.056030342651505624)	(18, 0.060022176377753284)	(20, 0.06401668918703868)	(22, 0.06852826502260986)	(24, 0.072364711932668)	(26, 0.07671018461989867)	(28, 0.0814387661815276)	(30, 0.08596373743228752)	(32, 0.09169965421611048)	(34, 0.09772759105104822)	(36, 0.10494236167170924)	(38, 0.11192137298504826)	(40, 0.12275558478970966)	(42, 0.13354157309969156)	(44, 0.14183869326760362)	(46, 0.1500607991104587)	(48, 0.15768814851893326)	(50, 0.16525655810057727)	(52, 0.1759621739194267)	(54, 0.18521036856574002)	(56, 0.19627498151164796)	(58, 0.2075699955988024)	(60, 0.2170887776319285)	(62, 0.22552788920084132)	(64, 0.23536548211545968)	(66, 0.24313750200797274)	(68, 0.24978162794159298)	(70, 0.2573018140285575)	(72, 0.2690924584776957)	(74, 0.2781129310658003)	(76, 0.2840899653230208)						
SRR7543038_1 - polya	(1, 0.011725070308709118)	(2, 0.016991492574147418)	(3, 0.019403247010220833)	(4, 0.023886986703952288)	(5, 0.026526265143428856)	(6, 0.028722630189613955)	(7, 0.031556062445327875)	(8, 0.03751719133449047)	(9, 0.0461418678901593)	(10, 0.054625479563718174)	(12, 0.05935342835443568)	(14, 0.06500967507903804)	(16, 0.07011683054209414)	(18, 0.07466124330339977)	(20, 0.07946958390865305)	(22, 0.08530178252922052)	(24, 0.09066528170277752)	(26, 0.09736965566972372)	(28, 0.10394054888800677)	(30, 0.10983342057614842)	(32, 0.11535466972539825)	(34, 0.12193314707712806)	(36, 0.1279185451933203)	(38, 0.1341299504862264)	(40, 0.14217671607325122)	(42, 0.1498154552808397)	(44, 0.1576468314779762)	(46, 0.16562382303729073)	(48, 0.1723570167113347)	(50, 0.1785729724843088)	(52, 0.1853349858654505)	(54, 0.1929934438200006)	(56, 0.19950669762408818)	(58, 0.20534951403148113)	(60, 0.21104064776993864)	(62, 0.21674543294860035)	(64, 0.22260948492964427)	(66, 0.22822932781370214)	(68, 0.2336626010149694)	(70, 0.23962979721088942)	(72, 0.24589277461123354)	(74, 0.25160211026996326)	(76, 0.25795306361828996)	(78, 0.26468929094571264)	(80, 0.2698343670760026)	(82, 0.27461540480084745)	(84, 0.2799986227213661)	(86, 0.2858141362483506)	(88, 0.2906694984809739)
SRR7543038_2 - polya	(1, 0.011357998249885365)	(2, 0.01374851711230782)	(3, 0.014688949659707516)	(4, 0.016600151288293997)	(5, 0.01785001648032198)	(6, 0.018923929776384858)	(7, 0.020237501689365726)	(8, 0.023647328087034302)	(9, 0.027830736096273595)	(10, 0.03249497816603822)	(12, 0.03556351855860207)	(14, 0.039897092410087445)	(16, 0.04612366596988705)	(18, 0.05074088641228168)	(20, 0.05530501792054892)	(22, 0.05950359419668176)	(24, 0.06336543494777794)	(26, 0.06774299677325457)	(28, 0.0722676907875986)	(30, 0.0764510987968379)	(32, 0.08102433126524126)	(34, 0.08670788087025201)	(36, 0.09208503148401317)	(38, 0.09755774217920367)	(40, 0.10541035394999113)	(42, 0.11203281927571221)	(44, 0.11960178445559042)	(46, 0.12810663170280026)	(48, 0.1368299019932771)	(50, 0.14615383565273832)	(52, 0.15491957709051707)	(54, 0.16682363294857)	(56, 0.17568796812115683)	(58, 0.18337524578280467)	(60, 0.19074247301299874)	(62, 0.19733763545831146)	(64, 0.20616860044373247)	(66, 0.21637077675632982)	(68, 0.22491202784408415)	(70, 0.23555863437666236)	(72, 0.24551356793889495)	(74, 0.2532053960806109)	(76, 0.261467551057524)	(78, 0.26904106671747025)	(80, 0.27499461147318605)	(82, 0.2808434951873364)	(84, 0.28968204430620426)	(86, 0.2992926582099534)	(88, 0.3061927028198263)
SRR7543038_clean_1 - polya	(1, 0.016888307942630548)	(2, 0.01914070027526459)	(3, 0.02160937170705416)	(4, 0.02375980389294345)	(5, 0.025947312495830835)	(6, 0.02770226290040715)	(7, 0.02981561866929835)	(8, 0.03226575189258888)	(9, 0.03474060272721147)	(10, 0.038320021818235524)	(12, 0.04317239789286071)	(14, 0.04842798000234014)	(16, 0.053158312871013275)	(18, 0.057423645676502016)	(20, 0.061468064830710475)	(22, 0.065446055404464)	(24, 0.06901002598840553)	(26, 0.07278564111937781)	(28, 0.0770926848939894)	(30, 0.08120353262865276)	(32, 0.08563416445992467)	(34, 0.09019147404927338)	(36, 0.0942173549949828)	(38, 0.09867733898971151)	(40, 0.10435621019325247)	(42, 0.11059122765176482)	(44, 0.11618667691706008)	(46, 0.12139127895316715)	(48, 0.12678589762638942)	(50, 0.132109453167032)	(52, 0.13768945392524473)	(54, 0.14274575029335942)	(56, 0.1480801197889598)	(58, 0.15400307740440486)	(60, 0.15955836055128553)	(62, 0.1649560689259243)	(64, 0.17152786383883598)	(66, 0.17706615362792588)	(68, 0.18168062269347995)	(70, 0.18619776616441408)	(72, 0.19175768386341951)	(74, 0.19662241874371073)	(76, 0.20008906373303226)						
SRR7543038_clean_2 - polya	(1, 0.014104486966357199)	(2, 0.016817244810050872)	(3, 0.019981099060554657)	(4, 0.022041929905365226)	(5, 0.024201631195504038)	(6, 0.02591332578024925)	(7, 0.028094654980303616)	(8, 0.02996083463587421)	(9, 0.031783758471613695)	(10, 0.034308044528900405)	(12, 0.03757694862756544)	(14, 0.04121970659762791)	(16, 0.044448444577878346)	(18, 0.04737902637143581)	(20, 0.050635571664434824)	(22, 0.05396472494072176)	(24, 0.0568659545708224)	(26, 0.06018583874285982)	(28, 0.06376680268459212)	(30, 0.06720255065974858)	(32, 0.07160692002898017)	(34, 0.076317169838446)	(36, 0.08207946298023266)	(38, 0.0876764570962362)	(40, 0.09557373391682963)	(42, 0.1035667914813348)	(44, 0.10998101162200458)	(46, 0.11630408557088737)	(48, 0.12202157804213469)	(50, 0.1281005655791134)	(52, 0.137094686402567)	(54, 0.1447864980789627)	(56, 0.15352262883413792)	(58, 0.16275774636807916)	(60, 0.1706318504280488)	(62, 0.1774492766035728)	(64, 0.18478886231848662)	(66, 0.1907782485143866)	(68, 0.19599675420686793)	(70, 0.20197841614922663)	(72, 0.21140818487240784)	(74, 0.21831675723971883)	(76, 0.22298993063218658)						
SRR7543039_1 - polya	(1, 0.013790325022945537)	(2, 0.01872390835084337)	(3, 0.021086270619407717)	(4, 0.02537069824626636)	(5, 0.02773306051483071)	(6, 0.03005873137420589)	(7, 0.03281058706339375)	(8, 0.038176000053287217)	(9, 0.046352539470289514)	(10, 0.05392367063567048)	(12, 0.05849598470385954)	(14, 0.06363137078229782)	(16, 0.06813312444820002)	(18, 0.07204217073489252)	(20, 0.07628849574451625)	(22, 0.08131945242756997)	(24, 0.08608369078997931)	(26, 0.09228030531881208)	(28, 0.09835273353961996)	(30, 0.10398204243406631)	(32, 0.10925149327684963)	(34, 0.11518280069308379)	(36, 0.12097580972083567)	(38, 0.12641742794519895)	(40, 0.13365551401178588)	(42, 0.14039121001409033)	(44, 0.1474627735312803)	(46, 0.15473190617487348)	(48, 0.1612559209703173)	(50, 0.16710396711185294)	(52, 0.17332457217746325)	(54, 0.1799501939522002)	(56, 0.186028267005191)	(58, 0.1917013233490552)	(60, 0.19702016647343937)	(62, 0.20248859765067165)	(64, 0.20798807540491016)	(66, 0.2128045284650118)	(68, 0.2178241954836996)	(70, 0.223308149949435)	(72, 0.22909551414500395)	(74, 0.23420549847861893)	(76, 0.23976848059491562)	(78, 0.24587477780882122)	(80, 0.2504964841586111)	(82, 0.2547089401751371)	(84, 0.25951269236282715)	(86, 0.26450978005278314)	(88, 0.2688181982164193)
