Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
SRR7543029	(1, 0.0)	(2, 0.0)	(3, 3.5185e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 3.5185e-06)	(16, 0.0)	(17, 0.0)	(18, 0.00483794)	(19, 0.0046409)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 3.5185e-06)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00332146)	(32, 0.000358887)	(33, 0.0)	(34, 0.000299073)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.00026740600000000003)	(40, 0.000577034)	(41, 0.0008972180000000001)	(42, 0.0)	(43, 0.0)	(44, 7.037e-06)	(45, 0.0)	(46, 0.007473499999999999)	(47, 0.00102041)	(48, 7.03737e-05)	(49, 0.000144268)	(50, 0.0015025099999999999)	(51, 0.00492279)	(52, 0.00019705399999999997)	(53, 0.000446894)	(54, 4.5745400000000004e-05)	(55, 1.05567e-05)	(56, 0.000348375)	(57, 0.00161168)	(58, 0.000981797)	(59, 8.09372e-05)	(60, 6.68616e-05)	(61, 0.00233313)	(62, 0.000109091)	(63, 0.0)	(64, 0.0)	(65, 0.0005665819999999999)	(66, 0.00189331)	(67, 0.0012282)	(68, 7.038430000000001e-06)	(69, 3.5192399999999995e-06)	(70, 0.0)	(71, 0.000232272)	(72, 0.00150978)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 7.086769999999999e-05)	(81, 0.0)	(82, 0.00030352900000000003)	(83, 0.000688459)	(84, 2.88077e-05)	(85, 2.5317300000000002e-05)	(86, 0.0)	(87, 0.000124156)
SRR7543030	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.7337699999999997e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.00473068)	(19, 0.00465601)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00351721)	(32, 0.00029870099999999996)	(33, 0.0)	(34, 0.000265097)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.000209091)	(40, 0.000556331)	(41, 0.000937176)	(42, 0.0)	(43, 0.0)	(44, 1.12013e-05)	(45, 0.0)	(46, 0.00715034)	(47, 0.0010791000000000002)	(48, 6.72111e-05)	(49, 0.000205369)	(50, 0.00150854)	(51, 0.00519406)	(52, 0.000257652)	(53, 0.000395816)	(54, 7.84171e-05)	(55, 7.468349999999999e-06)	(56, 0.00020911499999999998)	(57, 0.00160572)	(58, 0.000963437)	(59, 7.84198e-05)	(60, 5.2280299999999995e-05)	(61, 0.00237877)	(62, 0.00020538999999999998)	(63, 0.0)	(64, 0.0)	(65, 0.000578835)	(66, 0.00202407)	(67, 0.00107926)	(68, 3.73449e-06)	(69, 7.469039999999999e-06)	(70, 3.7345400000000002e-06)	(71, 0.000186728)	(72, 0.00130711)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 1.87821e-05)	(81, 0.0)	(82, 0.000336587)	(83, 0.000611116)	(84, 0.0)	(85, 1.91243e-05)	(86, 0.0)	(87, 0.00010417600000000001)
SRR7543031	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.00473751)	(19, 0.00470552)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0034083)	(32, 0.000337632)	(33, 0.0)	(34, 0.000294984)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.000334078)	(40, 0.000604183)	(41, 0.000881397)	(42, 0.0)	(43, 0.0)	(44, 7.10804e-06)	(45, 0.0)	(46, 0.007353460000000001)	(47, 0.00101294)	(48, 7.819250000000001e-05)	(49, 0.00019192900000000003)	(50, 0.00146792)	(51, 0.00490141)	(52, 0.00018127199999999998)	(53, 0.00043363500000000003)	(54, 4.62074e-05)	(55, 1.06633e-05)	(56, 0.000287913)	(57, 0.00155332)	(58, 0.00094906)	(59, 5.33184e-05)	(60, 3.55459e-05)	(61, 0.00227851)	(62, 0.000181286)	(63, 0.0)	(64, 0.0)	(65, 0.00046566600000000005)	(66, 0.00199776)	(67, 0.0010842)	(68, 7.10955e-06)	(69, 3.5548000000000003e-06)	(70, 7.10964e-06)	(71, 0.00024528399999999996)	(72, 0.00131886)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 5.3656099999999996e-05)	(81, 0.0)	(82, 0.000363871)	(83, 0.0007052159999999999)	(84, 2.17841e-05)	(85, 7.29054e-06)	(86, 0.0)	(87, 0.000128728)
SRR7543032	(1, 0.0)	(2, 5.17201e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.88073e-05)	(10, 0.0)	(11, 0.0019136499999999998)	(12, 5.6421999999999996e-05)	(13, 0.0)	(14, 0.0)	(15, 0.000268004)	(16, 0.0)	(17, 0.0)	(18, 0.00022568799999999998)	(19, 9.87384e-05)	(20, 2.35092e-05)	(21, 0.0)	(22, 0.00750412)	(23, 0.000742889)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00724552)	(29, 0.0)	(30, 9.40366e-06)	(31, 6.58256e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00015045899999999998)	(36, 0.000531307)	(37, 2.35092e-05)	(38, 0.0)	(39, 0.0)	(40, 1.88073e-05)	(41, 0.000733486)	(42, 0.00010814200000000001)	(43, 0.0)	(44, 0.000117546)	(45, 1.88076e-05)	(46, 0.0)	(47, 0.000888676)	(48, 0.0)	(49, 0.000197487)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.000474925)	(54, 0.0)	(55, 0.000159878)	(56, 0.0)	(57, 6.5833e-05)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 9.404980000000001e-06)	(63, 0.0)	(64, 5.6430499999999994e-05)	(65, 3.2918e-05)	(66, 3.76207e-05)	(67, 7.99445e-05)	(68, 0.0)	(69, 0.0)	(70, 6.58376e-05)	(71, 0.00039973)	(72, 0.00419954)	(73, 0.000808874)	(74, 0.0037199)	(75, 0.00270881)	(76, 0.00137323)	(77, 2.82171e-05)	(78, 0.00776445)	(79, 0.000189811)	(80, 0.0022516)	(81, 0.00270073)	(82, 0.0013645600000000001)	(83, 0.00254098)	(84, 0.00208562)	(85, 0.0020031)	(86, 1.53544e-05)	(87, 0.00095825)
SRR7543033	(1, 0.0)	(2, 2.58335e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.72223e-05)	(10, 0.0)	(11, 0.00204946)	(12, 5.597249999999999e-05)	(13, 0.0)	(14, 0.0)	(15, 0.000275557)	(16, 0.0)	(17, 0.0)	(18, 0.00042194699999999994)	(19, 0.000176529)	(20, 6.0278099999999995e-05)	(21, 0.0)	(22, 0.0076337900000000005)	(23, 0.0008998659999999999)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.007547679999999999)	(29, 0.0)	(30, 0.0)	(31, 7.75004e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00012916700000000002)	(36, 0.0004951420000000001)	(37, 3.87502e-05)	(38, 0.0)	(39, 0.0)	(40, 2.15279e-05)	(41, 0.000753476)	(42, 0.00012055599999999999)	(43, 4.30558e-06)	(44, 0.000159306)	(45, 1.72226e-05)	(46, 0.0)	(47, 0.000968796)	(48, 0.0)	(49, 0.000185152)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.000486582)	(54, 0.0)	(55, 0.000124877)	(56, 8.612279999999999e-06)	(57, 0.000120573)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 8.61262e-06)	(63, 0.0)	(64, 1.72254e-05)	(65, 3.0144700000000003e-05)	(66, 2.15321e-05)	(67, 6.02901e-05)	(68, 0.0)	(69, 0.0)	(70, 4.73716e-05)	(71, 0.000366055)	(72, 0.00400509)	(73, 0.000654599)	(74, 0.0038070400000000003)	(75, 0.00276485)	(76, 0.00134798)	(77, 4.73734e-05)	(78, 0.00760561)	(79, 0.000182651)	(80, 0.0021616499999999998)	(81, 0.00239461)	(82, 0.00142874)	(83, 0.00255441)	(84, 0.00163358)	(85, 0.00173266)	(86, 1.41504e-05)	(87, 0.0009506989999999999)
SRR7543034	(1, 0.0)	(2, 3.47086e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.15695e-05)	(10, 0.0)	(11, 0.0019938200000000003)	(12, 4.62781e-05)	(13, 0.0)	(14, 0.0)	(15, 0.000308521)	(16, 0.0)	(17, 0.0)	(18, 0.000347086)	(19, 0.00016583)	(20, 1.92825e-05)	(21, 0.0)	(22, 0.007782440000000001)	(23, 0.0008330060000000001)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00769759)	(29, 0.0)	(30, 0.0)	(31, 7.71302e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.000138834)	(36, 0.000512916)	(37, 2.6995600000000003e-05)	(38, 0.0)	(39, 0.0)	(40, 3.0852099999999996e-05)	(41, 0.000701885)	(42, 0.000107982)	(43, 7.71302e-06)	(44, 0.00015426)	(45, 1.92828e-05)	(46, 0.0)	(47, 0.000798325)	(48, 0.0)	(49, 0.000215976)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.00048982)	(54, 0.0)	(55, 0.000142706)	(56, 0.0)	(57, 8.48534e-05)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 3.85709e-06)	(63, 0.0)	(64, 2.31428e-05)	(65, 4.2428799999999996e-05)	(66, 3.47147e-05)	(67, 3.47149e-05)	(68, 0.0)	(69, 0.0)	(70, 3.0858199999999995e-05)	(71, 0.000304727)	(72, 0.0039846099999999995)	(73, 0.00072518)	(74, 0.00365678)	(75, 0.00270403)	(76, 0.00121123)	(77, 3.47169e-05)	(78, 0.00765319)	(79, 0.000144081)	(80, 0.0021277)	(81, 0.00240098)	(82, 0.0013581700000000001)	(83, 0.0024134900000000003)	(84, 0.00162021)	(85, 0.0018182800000000002)	(86, 8.42532e-06)	(87, 0.000861754)
SRR7543035	(1, 0.0)	(2, 2.54816e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 8.49387e-06)	(10, 0.0)	(11, 0.0019196200000000001)	(12, 3.39755e-05)	(13, 0.0)	(14, 0.0)	(15, 0.000254816)	(16, 0.0)	(17, 0.0)	(18, 0.00037373)	(19, 0.000144396)	(20, 2.54816e-05)	(21, 0.0)	(22, 0.00740241)	(23, 0.0007941770000000001)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.007215549999999999)	(29, 0.0)	(30, 0.0)	(31, 5.52102e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00019535899999999998)	(36, 0.000603065)	(37, 2.97286e-05)	(38, 0.0)	(39, 0.0)	(40, 2.54816e-05)	(41, 0.0007856829999999999)	(42, 0.000127408)	(43, 4.24694e-06)	(44, 0.000123161)	(45, 4.24697e-06)	(46, 0.0)	(47, 0.000887628)	(48, 0.0)	(49, 0.000199612)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0004969180000000001)	(54, 0.0)	(55, 0.00014440499999999998)	(56, 4.24723e-06)	(57, 0.000114676)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 3.39788e-05)	(63, 0.0)	(64, 1.2742199999999998e-05)	(65, 3.39792e-05)	(66, 2.97319e-05)	(67, 3.3979499999999995e-05)	(68, 0.0)	(69, 0.0)	(70, 6.79599e-05)	(71, 0.000361038)	(72, 0.0039502)	(73, 0.000700846)	(74, 0.0038313099999999997)	(75, 0.0027736799999999997)	(76, 0.00145268)	(77, 2.5485700000000002e-05)	(78, 0.0077307)	(79, 0.000145934)	(80, 0.00209124)	(81, 0.0025239200000000002)	(82, 0.00134523)	(83, 0.00251543)	(84, 0.0017922099999999998)	(85, 0.0017773200000000002)	(86, 4.66414e-06)	(87, 0.0010254700000000001)
SRR7543036	(1, 0.0)	(2, 4.8116e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.3122500000000002e-05)	(10, 0.0)	(11, 0.0020165)	(12, 5.68643e-05)	(13, 0.0)	(14, 0.0)	(15, 0.000266825)	(16, 0.0)	(17, 0.0)	(18, 0.00038930200000000006)	(19, 0.000174967)	(20, 2.62451e-05)	(21, 0.0)	(22, 0.00802225)	(23, 0.0009404490000000001)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00769856)	(29, 0.0)	(30, 8.74836e-06)	(31, 5.68643e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0001356)	(36, 0.000603637)	(37, 1.3122500000000002e-05)	(38, 0.0)	(39, 0.0)	(40, 3.06193e-05)	(41, 0.00082672)	(42, 0.000170593)	(43, 4.37418e-06)	(44, 0.0001356)	(45, 1.7496900000000002e-05)	(46, 4.37427e-06)	(47, 0.0008792359999999999)	(48, 0.0)	(49, 0.000183724)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.000555561)	(54, 0.0)	(55, 0.000170608)	(56, 4.37457e-06)	(57, 0.000109365)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 1.74988e-05)	(63, 0.0)	(64, 2.6248499999999998e-05)	(65, 3.93729e-05)	(66, 3.0623499999999996e-05)	(67, 6.99969e-05)	(68, 0.0)	(69, 0.0)	(70, 5.68733e-05)	(71, 0.00033249099999999997)	(72, 0.00407304)	(73, 0.000721863)	(74, 0.00393745)	(75, 0.00292686)	(76, 0.00158812)	(77, 4.37501e-05)	(78, 0.00796256)	(79, 0.000167978)	(80, 0.00213606)	(81, 0.00277112)	(82, 0.00136308)	(83, 0.0028473400000000003)	(84, 0.0021103000000000003)	(85, 0.00191391)	(86, 9.62408e-06)	(87, 0.00104343)
SRR7543037	(1, 0.0)	(2, 3.2149e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.0716300000000001e-05)	(10, 0.0)	(11, 0.00227722)	(12, 3.2149e-05)	(13, 0.0)	(14, 0.0)	(15, 0.000273266)	(16, 0.0)	(17, 0.0)	(18, 0.00038043)	(19, 0.000176819)	(20, 1.60745e-05)	(21, 0.0)	(22, 0.00805332)	(23, 0.000926963)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00801582)	(29, 0.0)	(30, 0.0)	(31, 8.03725e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00010180499999999999)	(36, 0.000600115)	(37, 2.1432700000000002e-05)	(38, 0.0)	(39, 0.0)	(40, 2.67908e-05)	(41, 0.0008144410000000001)	(42, 0.00011788)	(43, 0.0)	(44, 0.000128596)	(45, 0.0)	(46, 5.35828e-06)	(47, 0.0009162749999999999)	(48, 0.0)	(49, 0.000225054)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.000476915)	(54, 0.0)	(55, 0.00016076)	(56, 0.0)	(57, 6.96636e-05)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 5.35888e-06)	(63, 0.0)	(64, 3.21536e-05)	(65, 2.67948e-05)	(66, 1.0718e-05)	(67, 3.21541e-05)	(68, 0.0)	(69, 0.0)	(70, 2.6795499999999998e-05)	(71, 0.000348343)	(72, 0.00412655)	(73, 0.0007770809999999999)	(74, 0.0037728799999999997)	(75, 0.0028296799999999998)	(76, 0.00142021)	(77, 4.82336e-05)	(78, 0.007492329999999999)	(79, 0.000184033)	(80, 0.00212756)	(81, 0.0027322)	(82, 0.0013706999999999999)	(83, 0.00268907)	(84, 0.0018459400000000001)	(85, 0.0018746999999999998)	(86, 0.0)	(87, 0.00094672)
SRR7543038	(1, 0.0)	(2, 2.7807299999999997e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.0897000000000003e-06)	(9, 9.2691e-06)	(10, 0.0)	(11, 0.00204229)	(12, 2.4717600000000002e-05)	(13, 0.0)	(14, 6.1794000000000005e-06)	(15, 0.000271894)	(16, 0.0)	(17, 0.0)	(18, 0.000342957)	(19, 0.000145216)	(20, 2.4717600000000002e-05)	(21, 0.0)	(22, 0.00778605)	(23, 0.000797143)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00755123)	(29, 0.0)	(30, 9.2691e-06)	(31, 6.79734e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.000139037)	(36, 0.000583954)	(37, 1.54485e-05)	(38, 0.0)	(39, 0.0)	(40, 4.01661e-05)	(41, 0.000750797)	(42, 0.000114319)	(43, 6.1794000000000005e-06)	(44, 0.000139037)	(45, 1.54486e-05)	(46, 3.0897500000000004e-06)	(47, 0.000942382)	(48, 0.0)	(49, 0.000163761)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.000528374)	(54, 0.0)	(55, 0.000145227)	(56, 0.0)	(57, 8.03393e-05)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 3.09008e-05)	(65, 3.09009e-05)	(66, 1.54505e-05)	(67, 7.107270000000001e-05)	(68, 0.0)	(69, 0.0)	(70, 6.18032e-05)	(71, 0.000349189)	(72, 0.0038936300000000004)	(73, 0.000760189)	(74, 0.0037546100000000002)	(75, 0.00276575)	(76, 0.00144932)	(77, 3.39928e-05)	(78, 0.00771949)	(79, 0.000146705)	(80, 0.00210077)	(81, 0.00241451)	(82, 0.001345)	(83, 0.0024045399999999997)	(84, 0.00178697)	(85, 0.00189895)	(86, 3.38579e-06)	(87, 0.0008263900000000001)
