Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7543042_clean_1	(1.0, 25.39929296972557)	(2.0, 6.502642252539727)	(3.0, 2.4332554606823154)	(4.0, 1.2974506362143465)	(5.0, 0.7903236953900852)	(6.0, 0.6416186781815462)	(7.0, 0.4742734434326273)	(8.0, 0.4059540074573989)	(9.0, 0.3386565826420761)	('>10', 4.326642407074258)	('>50', 2.614633950495833)	('>100', 5.76215660157356)	('>500', 1.5106880822153188)	('>1k', 20.836402324058824)	('>5k', 22.862686859126352)	('>10k+', 3.8033220491901845)
SRR7543042_clean_2	(1.0, 27.21548311267036)	(2.0, 6.509233079983121)	(3.0, 2.5295096780767428)	(4.0, 1.3554419704021212)	(5.0, 0.8507116865987331)	(6.0, 0.6813317856544732)	(7.0, 0.5486137571682788)	(8.0, 0.41866805194110507)	(9.0, 0.3375603313514274)	('>10', 4.523181544437749)	('>50', 2.5688705719287728)	('>100', 5.598205126856365)	('>500', 1.4350724598983853)	('>1k', 21.793645759929895)	('>5k', 20.2116844544953)	('>10k+', 3.422786628607232)
SRR7543043_1	(1.0, 29.3983556603089)	(2.0, 7.5434083377982075)	(3.0, 2.795106926303233)	(4.0, 1.3977361407673705)	(5.0, 0.8615111008650563)	(6.0, 0.6122956235343684)	(7.0, 0.4983750710098401)	(8.0, 0.40362013169224925)	(9.0, 0.32378323289490624)	('>10', 4.280452080559487)	('>50', 2.448489061191665)	('>100', 4.669250453260386)	('>500', 1.4572636817300395)	('>1k', 24.471464089449587)	('>5k', 17.509394892185234)	('>10k+', 1.3294935164495252)
SRR7543043_2	(1.0, 31.795692469213666)	(2.0, 7.498431967732699)	(3.0, 2.777229002762438)	(4.0, 1.4483381788819158)	(5.0, 0.8893826726401677)	(6.0, 0.6638785784810145)	(7.0, 0.5204292103716365)	(8.0, 0.43423910179022074)	(9.0, 0.3544851894488438)	('>10', 4.500163582278448)	('>50', 2.4386407711941054)	('>100', 4.488275465058861)	('>500', 1.3682699403606748)	('>1k', 25.14964089696134)	('>5k', 14.55754657717617)	('>10k+', 1.1153563956476784)
SRR7543043_clean_1	(1.0, 28.982644707862654)	(2.0, 7.463315627139838)	(3.0, 2.7301533316005)	(4.0, 1.378243130264316)	(5.0, 0.834188405538434)	(6.0, 0.5930245737691329)	(7.0, 0.4802198763687497)	(8.0, 0.39489101400296595)	(9.0, 0.32860147127954287)	('>10', 4.023402352720145)	('>50', 2.3670968639720997)	('>100', 4.70486384271697)	('>500', 1.4826406213318566)	('>1k', 23.975083814046418)	('>5k', 18.641201982684418)	('>10k+', 1.620428384701985)
SRR7543043_clean_2	(1.0, 30.69558577918795)	(2.0, 7.445569861406944)	(3.0, 2.8461361216983536)	(4.0, 1.4653738517935686)	(5.0, 0.9126161834865492)	(6.0, 0.6851141937017535)	(7.0, 0.52659596261381)	(8.0, 0.42531854176630635)	(9.0, 0.3244795108659157)	('>10', 4.164524428182488)	('>50', 2.357729954713679)	('>100', 4.486050331410469)	('>500', 1.4276732751711592)	('>1k', 24.64125305891179)	('>5k', 16.17462517544237)	('>10k+', 1.4213537696468486)
SRR7543044_1	(1.0, 43.35262853736171)	(2.0, 6.822626483601713)	(3.0, 2.4029347763417395)	(4.0, 1.3618000820315341)	(5.0, 1.0063798194260776)	(6.0, 0.813375459642621)	(7.0, 0.6708541022988026)	(8.0, 0.5562442269575745)	(9.0, 0.47487481946042526)	('>10', 5.683139829681947)	('>50', 2.4428794782015504)	('>100', 6.849488690295324)	('>500', 2.931567779642735)	('>1k', 21.64118207649975)	('>5k', 2.738238645697652)	('>10k+', 0.25178519285870904)
SRR7543044_2	(1.0, 45.73670017585725)	(2.0, 6.7727282337002075)	(3.0, 2.457824213073379)	(4.0, 1.391158626958543)	(5.0, 1.0141334115997096)	(6.0, 0.7834726501637723)	(7.0, 0.665663012952741)	(8.0, 0.5374423672967096)	(9.0, 0.4980258323670849)	('>10', 5.587331580164891)	('>50', 2.5803792578982567)	('>100', 6.577608770548311)	('>500', 3.0703574412911485)	('>1k', 19.783009338981987)	('>5k', 2.3890160324268135)	('>10k+', 0.15514905471925297)
SRR7543044_clean_1	(1.0, 42.41534794846014)	(2.0, 6.855680436546609)	(3.0, 2.3852426675482734)	(4.0, 1.34790280523521)	(5.0, 0.9767280392456735)	(6.0, 0.7866129702847354)	(7.0, 0.6374005906754455)	(8.0, 0.5492434438636231)	(9.0, 0.4661583948569927)	('>10', 5.229856426966781)	('>50', 2.2975845294432267)	('>100', 7.170306584344134)	('>500', 3.0899174504619915)	('>1k', 22.364289045156244)	('>5k', 3.105314952265201)	('>10k+', 0.3224137146456559)
SRR7543044_clean_2	(1.0, 43.92326682468542)	(2.0, 6.884664804469202)	(3.0, 2.466491625063514)	(4.0, 1.3801851473316278)	(5.0, 0.999157233428009)	(6.0, 0.7971781618240324)	(7.0, 0.6449881211533441)	(8.0, 0.5553552581552932)	(9.0, 0.4709309310047442)	('>10', 5.247568280612547)	('>50', 2.3092081654141556)	('>100', 6.968938793382199)	('>500', 3.2081187718569715)	('>1k', 21.157317482657305)	('>5k', 2.76754477549763)	('>10k+', 0.21908562346402502)
SRR7543045_1	(1.0, 34.44899814779889)	(2.0, 6.9353533200844915)	(3.0, 2.7899361831513385)	(4.0, 1.6894255023492601)	(5.0, 1.15590511032282)	(6.0, 0.9476804345666855)	(7.0, 0.778826075658052)	(8.0, 0.6648529689674902)	(9.0, 0.5604742134679728)	('>10', 6.789539127407358)	('>50', 2.6411576882064947)	('>100', 7.309939845369098)	('>500', 3.5958157409487974)	('>1k', 25.29547490708492)	('>5k', 4.052907048702928)	('>10k+', 0.3437136859132193)
SRR7543045_2	(1.0, 37.535711224503885)	(2.0, 6.784648043355869)	(3.0, 2.7180397621697585)	(4.0, 1.6080107106190091)	(5.0, 1.2169950068974023)	(6.0, 0.9536022717978109)	(7.0, 0.7595225561622893)	(8.0, 0.6730642267026705)	(9.0, 0.5380223042042082)	('>10', 6.520087927105196)	('>50', 2.759456015675411)	('>100', 7.233174779417909)	('>500', 3.7363871494697674)	('>1k', 23.335168165993046)	('>5k', 3.3341418491605634)	('>10k+', 0.29396800676525736)
SRR7543045_clean_1	(1.0, 33.47838929708214)	(2.0, 6.923078638526673)	(3.0, 2.794229116424163)	(4.0, 1.668871523174554)	(5.0, 1.1434728502810754)	(6.0, 0.933135666607593)	(7.0, 0.7683954526090904)	(8.0, 0.63714914396042)	(9.0, 0.5213595025562721)	('>10', 6.188657401075536)	('>50', 2.404592893396466)	('>100', 7.454274709981392)	('>500', 3.7960389264370784)	('>1k', 26.45779428846576)	('>5k', 4.319244002858069)	('>10k+', 0.5113165865637437)
SRR7543045_clean_2	(1.0, 35.47284087804542)	(2.0, 6.897969673631678)	(3.0, 2.766754098023823)	(4.0, 1.6060706903465245)	(5.0, 1.2225098764068911)	(6.0, 0.9481766321160237)	(7.0, 0.7713732648455293)	(8.0, 0.6494303515073722)	(9.0, 0.5448966501300795)	('>10', 6.11072381414362)	('>50', 2.4465810013812375)	('>100', 7.369250830774929)	('>500', 3.8861181778394522)	('>1k', 25.07212373844365)	('>5k', 3.857306681938592)	('>10k+', 0.377873640425204)
