Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7543032_1	(1.0, 42.465899275984434)	(2.0, 9.59251478549456)	(3.0, 4.5035222146153275)	(4.0, 2.8314494626462254)	(5.0, 1.922640989189832)	(6.0, 1.5144757478010933)	(7.0, 1.1325805667928406)	(8.0, 0.9782654676493369)	(9.0, 0.7967132981284101)	('>10', 9.185695326330585)	('>50', 2.763654467975802)	('>100', 4.936608370382172)	('>500', 2.196309949003658)	('>1k', 6.291488232881972)	('>5k', 3.884714642564277)	('>10k+', 5.0034672025596025)
SRR7543032_2	(1.0, 43.80056234923076)	(2.0, 9.849590853209301)	(3.0, 4.5654526509213635)	(4.0, 2.7049651890378876)	(5.0, 1.8416200131422256)	(6.0, 1.3023197870695997)	(7.0, 1.10626867781019)	(8.0, 0.8663728443122451)	(9.0, 0.7321499313852375)	('>10', 8.735857884174852)	('>50', 2.535853291357102)	('>100', 4.073310784380313)	('>500', 2.17011059447623)	('>1k', 7.782094730792926)	('>5k', 4.332630585503086)	('>10k+', 3.6008398331967424)
SRR7543032_clean_1	(1.0, 40.9927380176036)	(2.0, 9.804360038821295)	(3.0, 4.610708605810261)	(4.0, 2.9067274460556676)	(5.0, 2.0616332534765434)	(6.0, 1.522271726192584)	(7.0, 1.2077802378775693)	(8.0, 1.0273647689179135)	(9.0, 0.7993317322272724)	('>10', 9.396458349819232)	('>50', 2.823553993280039)	('>100', 4.821829079189242)	('>500', 2.178912040610031)	('>1k', 6.598064225758658)	('>5k', 3.9848834450364983)	('>10k+', 5.263383039323452)
SRR7543032_clean_2	(1.0, 43.98089345874139)	(2.0, 9.915795541018854)	(3.0, 4.496706618171033)	(4.0, 2.6792864685187623)	(5.0, 1.827033021769562)	(6.0, 1.3278893992733627)	(7.0, 1.111182156699826)	(8.0, 0.875919918368092)	(9.0, 0.7448522290227864)	('>10', 8.689928274945444)	('>50', 2.529421193587887)	('>100', 4.09911485116806)	('>500', 2.1805211231625226)	('>1k', 7.79681659070383)	('>5k', 4.219874362019105)	('>10k+', 3.5247647928295267)
SRR7543033_1	(1.0, 46.01147148439445)	(2.0, 9.253540685219233)	(3.0, 3.991968888384835)	(4.0, 2.38082185194285)	(5.0, 1.6762488691584643)	(6.0, 1.2588811399356672)	(7.0, 1.0047099779239577)	(8.0, 0.8080109439613162)	(9.0, 0.6684261106096562)	('>10', 7.541014725703632)	('>50', 2.4325155885508507)	('>100', 4.818210505437408)	('>500', 2.2747736745298788)	('>1k', 6.631211094011076)	('>5k', 3.805666619399608)	('>10k+', 5.44252784083738)
SRR7543033_2	(1.0, 47.47822416247288)	(2.0, 9.4945131262396)	(3.0, 3.917746491788263)	(4.0, 2.2426857340313417)	(5.0, 1.4704732909449014)	(6.0, 1.0927834046034133)	(7.0, 0.8237895101863322)	(8.0, 0.6855840797172688)	(9.0, 0.5679179305026758)	('>10', 7.093007169139481)	('>50', 2.2516463231192936)	('>100', 4.196779129962067)	('>500', 2.242248543292944)	('>1k', 7.945717651566808)	('>5k', 4.43745154655457)	('>10k+', 4.059431905877959)
SRR7543033_clean_1	(1.0, 44.835289767328476)	(2.0, 9.443509600817059)	(3.0, 4.125832784858571)	(4.0, 2.4528868777849904)	(5.0, 1.6831004194943093)	(6.0, 1.2871064068658284)	(7.0, 1.045728453465573)	(8.0, 0.8403059629345853)	(9.0, 0.7068884888690732)	('>10', 7.577880388095163)	('>50', 2.4544021174122466)	('>100', 4.722763269733085)	('>500', 2.2567605837328024)	('>1k', 6.941376130179819)	('>5k', 3.806707497569703)	('>10k+', 5.819461250858678)
SRR7543033_clean_2	(1.0, 47.69248004622219)	(2.0, 9.48621529650663)	(3.0, 3.932330417653264)	(4.0, 2.242009402267409)	(5.0, 1.478422754237402)	(6.0, 1.0416643711631706)	(7.0, 0.8561180130194648)	(8.0, 0.6777405439294056)	(9.0, 0.5721737169461396)	('>10', 7.062047431353752)	('>50', 2.2257961271127082)	('>100', 4.210366201915855)	('>500', 2.2326532547925244)	('>1k', 7.962308435577088)	('>5k', 4.377855196853217)	('>10k+', 3.9498187904496462)
SRR7543034_1	(1.0, 39.336680824338316)	(2.0, 9.747463765121127)	(3.0, 4.671439293703395)	(4.0, 2.9344394049655613)	(5.0, 2.0050966688555065)	(6.0, 1.5612369477841352)	(7.0, 1.2094153979557076)	(8.0, 1.0422333612670616)	(9.0, 0.7992225216346543)	('>10', 9.20722756763118)	('>50', 3.1880544932088855)	('>100', 6.291187261364996)	('>500', 2.383717667643233)	('>1k', 6.5487866768736485)	('>5k', 3.419782081483618)	('>10k+', 5.654016066168819)
SRR7543034_2	(1.0, 41.001851071469666)	(2.0, 9.83571096832164)	(3.0, 4.704017382716292)	(4.0, 2.874332325240247)	(5.0, 1.8646595333590748)	(6.0, 1.383965830934717)	(7.0, 1.0798734551312503)	(8.0, 0.8460572934469895)	(9.0, 0.7312270770179019)	('>10', 8.810609790134551)	('>50', 3.0646193641310724)	('>100', 5.543242250191963)	('>500', 2.4015427018132063)	('>1k', 8.173185183523756)	('>5k', 3.959160372989276)	('>10k+', 3.7259453995785923)
