Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR7543031_clean_1	(1, 39.17936615149394)	(2, 39.154307052611735)	(3, 39.16425905026324)	(4, 39.17129522466105)	(5, 39.16448458826609)	(6, 39.17064970831283)	(7, 39.15349264931275)	(8, 39.16351288411608)	(9, 39.16689982803882)	(10, 39.146453827171285)	(12, 39.10862434079624)	(14, 39.12440640341698)	(16, 39.118522583920594)	(18, 39.11157902724031)	(20, 39.08285324765306)	(22, 39.0993567759936)	(24, 39.07887631891842)	(26, 39.07445419607839)	(28, 39.062807518099284)	(30, 39.073548614439304)	(32, 39.06592568938626)	(34, 39.05862253713194)	(36, 39.04859457233876)	(38, 39.04133566761257)	(40, 39.03710640357691)	(42, 39.02673974083743)	(44, 39.02001751555768)	(46, 39.002101046392795)	(48, 38.997370114715785)	(50, 38.99140934822526)	(52, 38.98790487859114)	(54, 38.981170395061184)	(56, 38.97065166756109)	(58, 38.962060740477675)	(60, 38.95178137633526)	(62, 38.94022546885208)	(64, 38.93578672163901)	(66, 38.92055025045221)	(68, 38.91188044784563)	(70, 38.903096472800556)	(72, 38.88845171065768)	(74, 38.879489318953375)	(76, 38.87427025662335)	(78, 38.86626298104533)	(80, 38.86065264104094)	(82, 38.83930226133727)	(84, 38.81884288823387)	(86, 38.790730050421246)							
SRR7543031_clean_2	(1, 38.884381742083825)	(2, 38.8970434654664)	(3, 38.88515705118124)	(4, 38.894218482921076)	(5, 38.8815050130317)	(6, 38.89497790555658)	(7, 38.8844640886884)	(8, 38.88681649341716)	(9, 38.8930460833563)	(10, 38.87794507726702)	(12, 38.881293726642326)	(14, 38.88826335204702)	(16, 38.86949719348058)	(18, 38.873407644302475)	(20, 38.85729955381077)	(22, 38.86023419559149)	(24, 38.85444605026839)	(26, 38.854418933108576)	(28, 38.82561498288829)	(30, 38.81379060399298)	(32, 38.80882597802586)	(34, 38.80007666017525)	(36, 38.78597932663081)	(38, 38.769526514131755)	(40, 38.747520992253484)	(42, 38.75085586980778)	(44, 38.74708522009588)	(46, 38.725226707638726)	(48, 38.72332592985272)	(50, 38.707091746640444)	(52, 38.71175354849092)	(54, 38.7052419405545)	(56, 38.6854504519243)	(58, 38.67087052983186)	(60, 38.65201577624568)	(62, 38.64456767039165)	(64, 38.60908230054889)	(66, 38.597129691859514)	(68, 38.596539789349336)	(70, 38.582589285392885)	(72, 38.56761502643646)	(74, 38.54778367713999)	(76, 38.540290020423456)	(78, 38.50526992208958)	(80, 38.471492254199546)	(82, 38.4771533814991)	(84, 38.4535054874201)	(86, 38.379297059239825)							
SRR7543032_1	(1, 32.403019273776096)	(2, 32.5747328110346)	(3, 32.598291055223314)	(4, 36.113421824976214)	(5, 36.06952843727672)	(6, 35.996348470995585)	(7, 36.00918450155908)	(8, 35.98365378666275)	(9, 37.72513541213793)	(10, 37.70436160552129)	(12, 37.666698148817204)	(14, 39.060869421173095)	(16, 39.04532373854727)	(18, 39.0435206153177)	(20, 39.03775982073287)	(22, 38.99039143664558)	(24, 38.956950346256676)	(26, 38.87280747576009)	(28, 38.82774328012803)	(30, 38.764904784438215)	(32, 38.71189909311538)	(34, 38.655540575863675)	(36, 38.59133420075591)	(38, 38.5137351432243)	(40, 38.43665295360253)	(42, 38.34840704553895)	(44, 38.27054708199509)	(46, 38.15153295508854)	(48, 38.03417020867814)	(50, 37.91647923312439)	(52, 37.76695009997508)	(54, 37.595972219250875)	(56, 37.41816247312562)	(58, 37.243311155821715)	(60, 37.01167330879974)	(62, 36.783611027002124)	(64, 36.530558209487495)	(66, 36.26640680184492)	(68, 35.95462573444939)	(70, 35.65989345294332)	(72, 35.35489751289317)	(74, 35.041975671906336)	(76, 34.72806230490096)	(78, 34.426271768370725)	(80, 34.14655989196509)	(82, 33.88253377373227)	(84, 33.659221977485984)	(86, 33.44334927171112)	(88, 33.27047109511169)	(90, 33.14395318838329)	(92, 32.997748140608586)	(94, 32.83704782663882)	(96, 32.67913271265134)	(98, 32.48644423110308)	(100, 32.34284417726305)
SRR7543032_2	(1, 32.013342825417354)	(2, 32.173681803158345)	(3, 32.21689562923169)	(4, 35.7524026202329)	(5, 35.75146286879803)	(6, 35.726585562547605)	(7, 35.71649088182813)	(8, 35.69915413591593)	(9, 37.39588787357927)	(10, 37.415909620290606)	(12, 37.353034367187746)	(14, 38.71817978214752)	(16, 38.69509111333283)	(18, 38.692547181524276)	(20, 38.692787571771106)	(22, 38.67262879915357)	(24, 38.60747666574269)	(26, 38.555232183247554)	(28, 38.495960889373215)	(30, 38.40867300748599)	(32, 38.336189352752086)	(34, 38.27126829894224)	(36, 38.19791517313203)	(38, 38.119743568642534)	(40, 38.03370121088761)	(42, 37.93912778332283)	(44, 37.838391539963716)	(46, 37.72363644437203)	(48, 37.609132505183354)	(50, 37.48994715942824)	(52, 37.349284348647316)	(54, 37.175180655407544)	(56, 36.97803401486182)	(58, 36.75483281430141)	(60, 36.499935449269614)	(62, 36.19622430902879)	(64, 35.90423081289608)	(66, 35.58704340234932)	(68, 35.259489246157905)	(70, 34.91178789212201)	(72, 34.566585094936016)	(74, 34.24290548428458)	(76, 33.905717281755344)	(78, 33.634470699952175)	(80, 33.31899910511525)	(82, 33.04264511426981)	(84, 32.81106876833741)	(86, 32.5715777496913)	(88, 32.35356433469106)	(90, 32.20488762235355)	(92, 32.02155144191869)	(94, 31.82286484828291)	(96, 31.629164810120812)	(98, 31.390757800161012)	(100, 31.181509676625794)
SRR7543032_clean_1	(1, 39.13066316687474)	(2, 39.14367294404934)	(3, 39.11910287003501)	(4, 39.12480332242634)	(5, 39.10419642141793)	(6, 39.13619021575384)	(7, 39.12617559870289)	(8, 39.104562270856285)	(9, 39.07352750890621)	(10, 39.05746873564766)	(12, 39.00036030127826)	(14, 38.94411154961428)	(16, 38.893657522045004)	(18, 38.84086781311089)	(20, 38.778891808621196)	(22, 38.72940924977968)	(24, 38.65721510950188)	(26, 38.587879987842946)	(28, 38.49681363993532)	(30, 38.429742120578254)	(32, 38.32660859498394)	(34, 38.21107878707065)	(36, 38.09397071568256)	(38, 37.965101015068804)	(40, 37.806269298663665)	(42, 37.645782467362714)	(44, 37.48159004546463)	(46, 37.28782177258909)	(48, 37.06989202898947)	(50, 36.85218546958155)	(52, 36.5964437501904)	(54, 36.32327375595695)	(56, 36.02778780330189)	(58, 35.73534386265513)	(60, 35.41666710706646)	(62, 35.11736226143812)	(64, 34.802065671485124)	(66, 34.52111948122251)	(68, 34.24771879766127)	(70, 33.9917434957576)	(72, 33.785602543773415)	(74, 33.58492478820978)	(76, 33.446266518709805)	(78, 33.318246599785496)	(80, 33.177911143818704)	(82, 33.031776131325174)	(84, 32.86578751432677)	(86, 32.70651579495694)							
SRR7543032_clean_2	(1, 38.85045950050009)	(2, 38.83457605850431)	(3, 38.82335706754725)	(4, 38.81872679881695)	(5, 38.7756453356524)	(6, 38.85949115284748)	(7, 38.8251558468768)	(8, 38.810744924185805)	(9, 38.80850295030466)	(10, 38.773194247855685)	(12, 38.70863848997513)	(14, 38.65345338642766)	(16, 38.59154964907417)	(18, 38.52865763394857)	(20, 38.43250334112082)	(22, 38.374378911687955)	(24, 38.29947367238171)	(26, 38.23672047880434)	(28, 38.12652894127188)	(30, 38.042474198234444)	(32, 37.9366703384829)	(34, 37.81871558495098)	(36, 37.720728095393746)	(38, 37.5757650630666)	(40, 37.42981984183794)	(42, 37.27648284922658)	(44, 37.07541002104467)	(46, 36.87209654502308)	(48, 36.629832320329584)	(50, 36.38022681073774)	(52, 36.10233277467958)	(54, 35.81072197512216)	(56, 35.50120930692521)	(58, 35.15670914699606)	(60, 34.84069763217591)	(62, 34.51072846896869)	(64, 34.21127416236364)	(66, 33.92007450515132)	(68, 33.61912456193224)	(70, 33.36507547832704)	(72, 33.14083587832644)	(74, 32.87953009451551)	(76, 32.71841866465714)	(78, 32.55830146647075)	(80, 32.37905106077597)	(82, 32.17498124666258)	(84, 31.98433881722444)	(86, 31.727204076791658)							
SRR7543033_1	(1, 32.43478062618718)	(2, 32.60421120327321)	(3, 32.629145563973)	(4, 36.13644083529727)	(5, 36.091277736745496)	(6, 36.01793115594814)	(7, 36.02980869925272)	(8, 36.00611424021941)	(9, 37.752978192066216)	(10, 37.73222586396942)	(12, 37.69496505341006)	(14, 39.10280766642471)	(16, 39.08356736551379)	(18, 39.08085191058364)	(20, 39.07409134314848)	(22, 39.022081646970115)	(24, 38.98586496858649)	(26, 38.897843212093)	(28, 38.84521320521101)	(30, 38.776962643125216)	(32, 38.71735953359104)	(34, 38.65782420670278)	(36, 38.59051413412115)	(38, 38.51135592176249)	(40, 38.427654007061506)	(42, 38.33415984976893)	(44, 38.26180867046309)	(46, 38.14648841651314)	(48, 38.02787204617857)	(50, 37.91216141753369)	(52, 37.771359884570515)	(54, 37.59918218396024)	(56, 37.4305088376758)	(58, 37.26112514958436)	(60, 37.038399609815826)	(62, 36.813937801272374)	(64, 36.572858130837446)	(66, 36.311768629590276)	(68, 36.001047095814215)	(70, 35.72079646514137)	(72, 35.420510728053785)	(74, 35.11001758496064)	(76, 34.79470480361344)	(78, 34.49089972465681)	(80, 34.21155050579783)	(82, 33.94165666967899)	(84, 33.71317290734841)	(86, 33.48985825975572)	(88, 33.3188475553052)	(90, 33.18434017658628)	(92, 33.02559199207946)	(94, 32.862383404640596)	(96, 32.71044657163125)	(98, 32.51854477729633)	(100, 32.372089934573445)
SRR7543033_2	(1, 32.104074389019466)	(2, 32.23082158621129)	(3, 32.29554181979681)	(4, 35.838183856934165)	(5, 35.83294439811995)	(6, 35.81350445381942)	(7, 35.7908073014738)	(8, 35.779576466424196)	(9, 37.49352345497587)	(10, 37.5023599876628)	(12, 37.43333875255799)	(14, 38.818405803820255)	(16, 38.803444107789225)	(18, 38.81017573741147)	(20, 38.78981454608807)	(22, 38.767072431112865)	(24, 38.685637869203205)	(26, 38.6411686854337)	(28, 38.579711184962164)	(30, 38.484870075147285)	(32, 38.40678975927423)	(34, 38.338168509520585)	(36, 38.253039454707455)	(38, 38.17662770963879)	(40, 38.09743238829253)	(42, 37.997944356840705)	(44, 37.899798980635374)	(46, 37.78917776602201)	(48, 37.67794803175242)	(50, 37.572112987447085)	(52, 37.434850377535795)	(54, 37.26926467683745)	(56, 37.075203554333974)	(58, 36.86336568144739)	(60, 36.61720307464792)	(62, 36.32615629001573)	(64, 36.0462377985416)	(66, 35.73633653639147)	(68, 35.41728698795471)	(70, 35.07467909616647)	(72, 34.73942464769218)	(74, 34.417887971501656)	(76, 34.08271457853991)	(78, 33.80404595925886)	(80, 33.49186496054233)	(82, 33.201976090634844)	(84, 32.95748059398936)	(86, 32.70877050705526)	(88, 32.47966253895332)	(90, 32.32146667081576)	(92, 32.12340237129183)	(94, 31.917056755582173)	(96, 31.71495911343178)	(98, 31.480096288614355)	(100, 31.271954305775093)
SRR7543033_clean_1	(1, 39.16975066732181)	(2, 39.18082591008331)	(3, 39.15405088747471)	(4, 39.15889651607988)	(5, 39.137177105200294)	(6, 39.17083696508984)	(7, 39.15909483108263)	(8, 39.137339124165855)	(9, 39.102745470142615)	(10, 39.08408110489443)	(12, 39.022846439431945)	(14, 38.96279384935879)	(16, 38.90366635614826)	(18, 38.84456084292229)	(20, 38.778200987562215)	(22, 38.725773729901334)	(24, 38.651537978916096)	(26, 38.578058610651425)	(28, 38.481539740759324)	(30, 38.41232638395541)	(32, 38.316698812125)	(34, 38.2021366138062)	(36, 38.08476465873372)	(38, 37.96311868382216)	(40, 37.8069409260682)	(42, 37.653245055170835)	(44, 37.49467236042909)	(46, 37.31181920437419)	(48, 37.09857361595385)	(50, 36.887562894246386)	(52, 36.643263011311376)	(54, 36.366804316246935)	(56, 36.08513724734415)	(58, 35.80031622783186)	(60, 35.483694411917405)	(62, 35.18492675863289)	(64, 34.86913943756957)	(66, 34.585933515214606)	(68, 34.310573317100264)	(70, 34.049375387916115)	(72, 33.83575495296206)	(74, 33.63231859646069)	(76, 33.492180732823826)	(78, 33.35269237252678)	(80, 33.203909873272565)	(82, 33.06231260688767)	(84, 32.897158416703114)	(86, 32.73875913841526)							
SRR7543033_clean_2	(1, 38.932250023637636)	(2, 38.936209047263034)	(3, 38.926126585077654)	(4, 38.91484342587057)	(5, 38.88569331631079)	(6, 38.967207369981395)	(7, 38.92378516776002)	(8, 38.888802719886385)	(9, 38.89549824082623)	(10, 38.85209715747348)	(12, 38.780310872329395)	(14, 38.73322358841138)	(16, 38.6634283540337)	(18, 38.59560242724474)	(20, 38.49139478222291)	(22, 38.427224507910985)	(24, 38.346526124793954)	(26, 38.291584387037865)	(28, 38.179714338562206)	(30, 38.093367745248834)	(32, 37.992421297016286)	(34, 37.87621576655078)	(36, 37.7897245272861)	(38, 37.652409880341054)	(40, 37.513557560176075)	(42, 37.36477358075606)	(44, 37.17136309854922)	(46, 36.97700903531387)	(48, 36.744964615965465)	(50, 36.50247728107381)	(52, 36.238297037855105)	(54, 35.9476844366381)	(56, 35.64621100812035)	(58, 35.30738444074764)	(60, 34.994478512419406)	(62, 34.66835928255878)	(64, 34.36423401702541)	(66, 34.073479547465055)	(68, 33.76623813214543)	(70, 33.5002250205109)	(72, 33.260893764701876)	(74, 32.99600558917223)	(76, 32.81889778600524)	(78, 32.64906496921758)	(80, 32.4617792210462)	(82, 32.24990210611358)	(84, 32.05958842226715)	(86, 31.81017526956788)							
