Sample	Overrepresented sequences
SRR7543029	327631.0
SRR7543030	417742.0
SRR7543031	399219.0
SRR7543032	295224.0
SRR7543033	341782.0
SRR7543034	376759.0
SRR7543035	378611.0
SRR7543036	340261.0
SRR7543037	300688.0
SRR7543038	562372.0
SRR7543039	685144.0
SRR7543040	571838.0
SRR7543041	469551.0
SRR7543042	1392973.0
SRR7543043	1183586.0
SRR7543044	643665.0
SRR7543045	722895.0
