Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
SRR7543029	(1, 39.185)	(2, 39.159)	(3, 39.1691)	(4, 39.1762)	(5, 39.1677)	(6, 39.1733)	(7, 39.158)	(8, 39.1683)	(9, 39.1705)	(10, 39.1628)	(11, 39.1366)	(12, 39.1109)	(13, 39.1181)	(14, 39.1271)	(15, 39.1267)	(16, 39.1247)	(17, 39.1174)	(18, 39.1158)	(19, 39.1104)	(20, 39.077)	(21, 39.0929)	(22, 39.1033)	(23, 39.1017)	(24, 39.1008)	(25, 39.0628)	(26, 39.0696)	(27, 39.0831)	(28, 39.0602)	(29, 39.0685)	(30, 39.0758)	(31, 39.0754)	(32, 39.0686)	(33, 39.0683)	(34, 39.0624)	(35, 39.0594)	(36, 39.0552)	(37, 39.0482)	(38, 39.045)	(39, 39.0419)	(40, 39.0381)	(41, 39.0423)	(42, 39.0283)	(43, 39.0299)	(44, 39.0233)	(45, 39.0187)	(46, 39.0073)	(47, 39.0009)	(48, 39.0009)	(49, 38.9981)	(50, 38.9959)	(51, 38.9899)	(52, 38.9895)	(53, 38.9917)	(54, 38.9873)	(55, 38.98)	(56, 38.9796)	(57, 38.9681)	(58, 38.9634)	(59, 38.9666)	(60, 38.954)	(61, 38.9548)	(62, 38.9487)	(63, 38.9376)	(64, 38.9408)	(65, 38.9329)	(66, 38.9258)	(67, 38.9175)	(68, 38.918)	(69, 38.9083)	(70, 38.8976)	(71, 38.9098)	(72, 38.8848)	(73, 38.8917)	(74, 38.8775)	(75, 38.8793)	(76, 38.8816)	(77, 38.865)	(78, 38.8678)	(79, 38.8616)	(80, 38.8643)	(81, 38.8561)	(82, 38.8411)	(83, 38.8352)	(84, 38.8232)	(85, 38.8156)	(86, 38.7975)	(87, 38.7832)
SRR7543030	(1, 39.1561)	(2, 39.1303)	(3, 39.1394)	(4, 39.1465)	(5, 39.1377)	(6, 39.1432)	(7, 39.1282)	(8, 39.1381)	(9, 39.1389)	(10, 39.1311)	(11, 39.1054)	(12, 39.0767)	(13, 39.0856)	(14, 39.0943)	(15, 39.0949)	(16, 39.0922)	(17, 39.0873)	(18, 39.0846)	(19, 39.0781)	(20, 39.0429)	(21, 39.0579)	(22, 39.0693)	(23, 39.0672)	(24, 39.0681)	(25, 39.0283)	(26, 39.0362)	(27, 39.0479)	(28, 39.026)	(29, 39.034)	(30, 39.0411)	(31, 39.0403)	(32, 39.0346)	(33, 39.0348)	(34, 39.0297)	(35, 39.028)	(36, 39.0209)	(37, 39.0135)	(38, 39.0095)	(39, 39.0084)	(40, 39.0019)	(41, 39.0045)	(42, 38.9898)	(43, 38.9928)	(44, 38.988)	(45, 38.9824)	(46, 38.97)	(47, 38.9648)	(48, 38.9643)	(49, 38.9599)	(50, 38.9573)	(51, 38.9515)	(52, 38.9501)	(53, 38.9518)	(54, 38.9468)	(55, 38.9391)	(56, 38.9403)	(57, 38.9288)	(58, 38.9255)	(59, 38.9258)	(60, 38.9133)	(61, 38.9127)	(62, 38.9048)	(63, 38.8928)	(64, 38.8973)	(65, 38.8912)	(66, 38.8815)	(67, 38.8758)	(68, 38.8785)	(69, 38.8671)	(70, 38.8555)	(71, 38.8685)	(72, 38.84)	(73, 38.8478)	(74, 38.8336)	(75, 38.8357)	(76, 38.8413)	(77, 38.8235)	(78, 38.8219)	(79, 38.8168)	(80, 38.8189)	(81, 38.8087)	(82, 38.7948)	(83, 38.7865)	(84, 38.7724)	(85, 38.7634)	(86, 38.7437)	(87, 38.7238)
SRR7543031	(1, 39.1794)	(2, 39.1543)	(3, 39.1643)	(4, 39.1713)	(5, 39.1645)	(6, 39.1706)	(7, 39.1535)	(8, 39.1635)	(9, 39.1669)	(10, 39.1592)	(11, 39.1337)	(12, 39.1037)	(13, 39.1135)	(14, 39.1244)	(15, 39.1244)	(16, 39.1215)	(17, 39.1155)	(18, 39.1147)	(19, 39.1085)	(20, 39.0752)	(21, 39.0905)	(22, 39.1003)	(23, 39.0984)	(24, 39.0969)	(25, 39.0609)	(26, 39.0675)	(27, 39.0814)	(28, 39.0587)	(29, 39.067)	(30, 39.0739)	(31, 39.0732)	(32, 39.0662)	(33, 39.0656)	(34, 39.0595)	(35, 39.0578)	(36, 39.0522)	(37, 39.045)	(38, 39.0426)	(39, 39.0401)	(40, 39.0355)	(41, 39.0387)	(42, 39.0262)	(43, 39.0273)	(44, 39.0222)	(45, 39.0178)	(46, 39.0047)	(47, 38.9995)	(48, 38.9988)	(49, 38.9959)	(50, 38.9943)	(51, 38.9885)	(52, 38.9859)	(53, 38.9899)	(54, 38.9854)	(55, 38.9769)	(56, 38.9772)	(57, 38.9641)	(58, 38.9596)	(59, 38.9645)	(60, 38.952)	(61, 38.9515)	(62, 38.9457)	(63, 38.9347)	(64, 38.9399)	(65, 38.9317)	(66, 38.9252)	(67, 38.9159)	(68, 38.9169)	(69, 38.9069)	(70, 38.896)	(71, 38.9102)	(72, 38.8857)	(73, 38.8912)	(74, 38.8794)	(75, 38.8796)	(76, 38.8825)	(77, 38.866)	(78, 38.8683)	(79, 38.8642)	(80, 38.8655)	(81, 38.8558)	(82, 38.8416)	(83, 38.837)	(84, 38.8222)	(85, 38.8154)	(86, 38.7989)	(87, 38.7826)
SRR7543032	(1, 39.1307)	(2, 39.1437)	(3, 39.1191)	(4, 39.1248)	(5, 39.1042)	(6, 39.1362)	(7, 39.1262)	(8, 39.1046)	(9, 39.0735)	(10, 39.0669)	(11, 39.048)	(12, 39.0289)	(13, 38.9718)	(14, 38.9537)	(15, 38.9346)	(16, 38.9085)	(17, 38.8788)	(18, 38.8473)	(19, 38.8345)	(20, 38.7893)	(21, 38.7684)	(22, 38.7468)	(23, 38.712)	(24, 38.6796)	(25, 38.6349)	(26, 38.608)	(27, 38.5677)	(28, 38.5244)	(29, 38.4692)	(30, 38.4497)	(31, 38.4098)	(32, 38.3589)	(33, 38.2944)	(34, 38.239)	(35, 38.1832)	(36, 38.1191)	(37, 38.0688)	(38, 37.9998)	(39, 37.9304)	(40, 37.8484)	(41, 37.7641)	(42, 37.6912)	(43, 37.6004)	(44, 37.5195)	(45, 37.4437)	(46, 37.3477)	(47, 37.228)	(48, 37.1262)	(49, 37.0135)	(50, 36.9114)	(51, 36.7929)	(52, 36.6553)	(53, 36.5376)	(54, 36.4081)	(55, 36.2385)	(56, 36.0995)	(57, 35.9561)	(58, 35.8041)	(59, 35.6666)	(60, 35.493)	(61, 35.3403)	(62, 35.1993)	(63, 35.0355)	(64, 34.8795)	(65, 34.7246)	(66, 34.5904)	(67, 34.4519)	(68, 34.3048)	(69, 34.1906)	(70, 34.04)	(71, 33.9435)	(72, 33.8422)	(73, 33.729)	(74, 33.6276)	(75, 33.5423)	(76, 33.4737)	(77, 33.4188)	(78, 33.35)	(79, 33.2865)	(80, 33.2159)	(81, 33.1399)	(82, 33.0679)	(83, 32.9957)	(84, 32.9167)	(85, 32.8149)	(86, 32.7535)	(87, 32.6596)
SRR7543033	(1, 39.1698)	(2, 39.1808)	(3, 39.1541)	(4, 39.1589)	(5, 39.1372)	(6, 39.1708)	(7, 39.1591)	(8, 39.1373)	(9, 39.1027)	(10, 39.0938)	(11, 39.0744)	(12, 39.0531)	(13, 38.9926)	(14, 38.9751)	(15, 38.9505)	(16, 38.9194)	(17, 38.8879)	(18, 38.8527)	(19, 38.8364)	(20, 38.7895)	(21, 38.7669)	(22, 38.7442)	(23, 38.7074)	(24, 38.6743)	(25, 38.6287)	(26, 38.6012)	(27, 38.5549)	(28, 38.5104)	(29, 38.4527)	(30, 38.4297)	(31, 38.395)	(32, 38.3482)	(33, 38.2852)	(34, 38.2308)	(35, 38.1735)	(36, 38.1099)	(37, 38.0597)	(38, 37.9951)	(39, 37.9311)	(40, 37.852)	(41, 37.7619)	(42, 37.6956)	(43, 37.6108)	(44, 37.5317)	(45, 37.4577)	(46, 37.3686)	(47, 37.2551)	(48, 37.1533)	(49, 37.0439)	(50, 36.9431)	(51, 36.832)	(52, 36.7022)	(53, 36.5843)	(54, 36.4547)	(55, 36.2789)	(56, 36.1542)	(57, 36.0161)	(58, 35.8676)	(59, 35.733)	(60, 35.5592)	(61, 35.4082)	(62, 35.2687)	(63, 35.1012)	(64, 34.9483)	(65, 34.79)	(66, 34.6549)	(67, 34.517)	(68, 34.3705)	(69, 34.2506)	(70, 34.0991)	(71, 33.9996)	(72, 33.8945)	(73, 33.7771)	(74, 33.6739)	(75, 33.5908)	(76, 33.5224)	(77, 33.462)	(78, 33.3871)	(79, 33.3183)	(80, 33.2423)	(81, 33.1655)	(82, 33.0957)	(83, 33.0289)	(84, 32.9468)	(85, 32.8475)	(86, 32.7862)	(87, 32.6913)
SRR7543034	(1, 39.1607)	(2, 39.1672)	(3, 39.1423)	(4, 39.1435)	(5, 39.1241)	(6, 39.1545)	(7, 39.1455)	(8, 39.1207)	(9, 39.0896)	(10, 39.0797)	(11, 39.0605)	(12, 39.0364)	(13, 38.9712)	(14, 38.9492)	(15, 38.9222)	(16, 38.897)	(17, 38.8608)	(18, 38.8222)	(19, 38.8003)	(20, 38.7516)	(21, 38.7352)	(22, 38.7068)	(23, 38.666)	(24, 38.6293)	(25, 38.5855)	(26, 38.5544)	(27, 38.51)	(28, 38.4623)	(29, 38.405)	(30, 38.3806)	(31, 38.3453)	(32, 38.3005)	(33, 38.2378)	(34, 38.1818)	(35, 38.1227)	(36, 38.0607)	(37, 38.0135)	(38, 37.9451)	(39, 37.8809)	(40, 37.8031)	(41, 37.7155)	(42, 37.6443)	(43, 37.5544)	(44, 37.4705)	(45, 37.3988)	(46, 37.2997)	(47, 37.1897)	(48, 37.0906)	(49, 36.9805)	(50, 36.8772)	(51, 36.7654)	(52, 36.6352)	(53, 36.5183)	(54, 36.3937)	(55, 36.2192)	(56, 36.0931)	(57, 35.9544)	(58, 35.8088)	(59, 35.6715)	(60, 35.496)	(61, 35.3469)	(62, 35.2107)	(63, 35.0487)	(64, 34.901)	(65, 34.746)	(66, 34.6104)	(67, 34.4753)	(68, 34.335)	(69, 34.2168)	(70, 34.0674)	(71, 33.971)	(72, 33.8678)	(73, 33.7566)	(74, 33.6543)	(75, 33.574)	(76, 33.5095)	(77, 33.4487)	(78, 33.3756)	(79, 33.3096)	(80, 33.2419)	(81, 33.1613)	(82, 33.0976)	(83, 33.0345)	(84, 32.9528)	(85, 32.8567)	(86, 32.7977)	(87, 32.7032)
SRR7543035	(1, 39.1913)	(2, 39.2039)	(3, 39.171)	(4, 39.1726)	(5, 39.1534)	(6, 39.1807)	(7, 39.1656)	(8, 39.1477)	(9, 39.1072)	(10, 39.1004)	(11, 39.0745)	(12, 39.0542)	(13, 38.9932)	(14, 38.9733)	(15, 38.9461)	(16, 38.9152)	(17, 38.8691)	(18, 38.8326)	(19, 38.8103)	(20, 38.7497)	(21, 38.7271)	(22, 38.7034)	(23, 38.6659)	(24, 38.6244)	(25, 38.5803)	(26, 38.5488)	(27, 38.4991)	(28, 38.4468)	(29, 38.3799)	(30, 38.3575)	(31, 38.3107)	(32, 38.2489)	(33, 38.1776)	(34, 38.1152)	(35, 38.0428)	(36, 37.9661)	(37, 37.9083)	(38, 37.8324)	(39, 37.7584)	(40, 37.6566)	(41, 37.558)	(42, 37.4711)	(43, 37.3732)	(44, 37.2852)	(45, 37.2032)	(46, 37.1011)	(47, 36.9627)	(48, 36.8468)	(49, 36.7303)	(50, 36.6189)	(51, 36.4957)	(52, 36.3612)	(53, 36.2324)	(54, 36.0932)	(55, 35.9248)	(56, 35.7901)	(57, 35.6494)	(58, 35.4898)	(59, 35.362)	(60, 35.1964)	(61, 35.0462)	(62, 34.9162)	(63, 34.7579)	(64, 34.6137)	(65, 34.4647)	(66, 34.3542)	(67, 34.2392)	(68, 34.111)	(69, 34.0179)	(70, 33.8783)	(71, 33.7977)	(72, 33.7134)	(73, 33.5974)	(74, 33.5168)	(75, 33.4525)	(76, 33.4028)	(77, 33.3618)	(78, 33.3001)	(79, 33.244)	(80, 33.1763)	(81, 33.1119)	(82, 33.0452)	(83, 32.9899)	(84, 32.9055)	(85, 32.8099)	(86, 32.7631)	(87, 32.667)
SRR7543036	(1, 39.1915)	(2, 39.199)	(3, 39.1731)	(4, 39.1763)	(5, 39.1577)	(6, 39.1874)	(7, 39.1787)	(8, 39.1513)	(9, 39.1155)	(10, 39.1029)	(11, 39.0844)	(12, 39.0621)	(13, 39.0001)	(14, 38.9771)	(15, 38.9496)	(16, 38.9191)	(17, 38.8814)	(18, 38.8419)	(19, 38.8194)	(20, 38.7675)	(21, 38.7446)	(22, 38.719)	(23, 38.6811)	(24, 38.6474)	(25, 38.5951)	(26, 38.566)	(27, 38.5159)	(28, 38.4703)	(29, 38.4046)	(30, 38.3834)	(31, 38.3443)	(32, 38.2946)	(33, 38.2321)	(34, 38.1722)	(35, 38.1068)	(36, 38.0472)	(37, 37.9896)	(38, 37.9226)	(39, 37.8535)	(40, 37.7657)	(41, 37.6809)	(42, 37.6038)	(43, 37.5129)	(44, 37.4289)	(45, 37.3467)	(46, 37.2555)	(47, 37.14)	(48, 37.0333)	(49, 36.9152)	(50, 36.8084)	(51, 36.695)	(52, 36.5626)	(53, 36.4419)	(54, 36.3063)	(55, 36.1402)	(56, 36.0105)	(57, 35.8734)	(58, 35.7206)	(59, 35.5804)	(60, 35.4097)	(61, 35.2562)	(62, 35.1202)	(63, 34.9587)	(64, 34.8086)	(65, 34.6584)	(66, 34.5302)	(67, 34.4029)	(68, 34.2615)	(69, 34.15)	(70, 34.005)	(71, 33.9092)	(72, 33.8126)	(73, 33.6997)	(74, 33.6072)	(75, 33.5356)	(76, 33.4694)	(77, 33.411)	(78, 33.3429)	(79, 33.2781)	(80, 33.2048)	(81, 33.1324)	(82, 33.0665)	(83, 33.002)	(84, 32.9245)	(85, 32.8302)	(86, 32.7727)	(87, 32.674)
SRR7543037	(1, 39.1823)	(2, 39.192)	(3, 39.1663)	(4, 39.1686)	(5, 39.1493)	(6, 39.1803)	(7, 39.1714)	(8, 39.148)	(9, 39.1149)	(10, 39.1079)	(11, 39.0914)	(12, 39.0705)	(13, 39.0116)	(14, 38.9933)	(15, 38.969)	(16, 38.939)	(17, 38.9049)	(18, 38.8675)	(19, 38.8475)	(20, 38.7994)	(21, 38.779)	(22, 38.7562)	(23, 38.7211)	(24, 38.6868)	(25, 38.6384)	(26, 38.6114)	(27, 38.5681)	(28, 38.5258)	(29, 38.4704)	(30, 38.4513)	(31, 38.413)	(32, 38.363)	(33, 38.2991)	(34, 38.2419)	(35, 38.185)	(36, 38.123)	(37, 38.0727)	(38, 38.0058)	(39, 37.9386)	(40, 37.8577)	(41, 37.7718)	(42, 37.7007)	(43, 37.6107)	(44, 37.5317)	(45, 37.4584)	(46, 37.3657)	(47, 37.2533)	(48, 37.1492)	(49, 37.0345)	(50, 36.9298)	(51, 36.818)	(52, 36.6834)	(53, 36.5662)	(54, 36.4368)	(55, 36.2665)	(56, 36.133)	(57, 35.9922)	(58, 35.841)	(59, 35.7029)	(60, 35.5266)	(61, 35.3705)	(62, 35.2319)	(63, 35.0676)	(64, 34.9137)	(65, 34.7587)	(66, 34.6229)	(67, 34.4864)	(68, 34.3407)	(69, 34.2233)	(70, 34.072)	(71, 33.975)	(72, 33.8685)	(73, 33.751)	(74, 33.6547)	(75, 33.574)	(76, 33.508)	(77, 33.4471)	(78, 33.376)	(79, 33.3099)	(80, 33.235)	(81, 33.158)	(82, 33.0871)	(83, 33.0192)	(84, 32.9384)	(85, 32.8379)	(86, 32.7823)	(87, 32.6894)
SRR7543038	(1, 39.1615)	(2, 39.1746)	(3, 39.1459)	(4, 39.1491)	(5, 39.1287)	(6, 39.1585)	(7, 39.1474)	(8, 39.124)	(9, 39.0867)	(10, 39.0804)	(11, 39.0586)	(12, 39.0362)	(13, 38.9762)	(14, 38.9563)	(15, 38.9305)	(16, 38.9035)	(17, 38.8613)	(18, 38.8225)	(19, 38.8006)	(20, 38.7456)	(21, 38.7248)	(22, 38.7026)	(23, 38.6635)	(24, 38.6252)	(25, 38.578)	(26, 38.5446)	(27, 38.4981)	(28, 38.4478)	(29, 38.3898)	(30, 38.3678)	(31, 38.3243)	(32, 38.2698)	(33, 38.2024)	(34, 38.1408)	(35, 38.0782)	(36, 38.008)	(37, 37.9515)	(38, 37.8809)	(39, 37.8129)	(40, 37.7198)	(41, 37.6278)	(42, 37.5473)	(43, 37.4533)	(44, 37.3653)	(45, 37.2865)	(46, 37.1824)	(47, 37.061)	(48, 36.9524)	(49, 36.8363)	(50, 36.726)	(51, 36.6092)	(52, 36.4791)	(53, 36.3569)	(54, 36.2274)	(55, 36.0559)	(56, 35.9203)	(57, 35.7822)	(58, 35.6282)	(59, 35.4947)	(60, 35.3231)	(61, 35.1776)	(62, 35.0499)	(63, 34.8906)	(64, 34.7399)	(65, 34.5917)	(66, 34.4639)	(67, 34.3386)	(68, 34.207)	(69, 34.0972)	(70, 33.9548)	(71, 33.8658)	(72, 33.7708)	(73, 33.664)	(74, 33.5753)	(75, 33.506)	(76, 33.4483)	(77, 33.397)	(78, 33.3273)	(79, 33.2649)	(80, 33.1977)	(81, 33.1262)	(82, 33.0584)	(83, 32.9947)	(84, 32.9127)	(85, 32.818)	(86, 32.7643)	(87, 32.6686)
