Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR7543031_clean_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.004721513343650649)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0017041517864361956)	(32, 0.00016881587039774618)	(34, 0.0001474917604527677)	(36, 0.0)	(38, 0.00016703886123566465)	(40, 0.0007427898297500833)	(42, 0.0)	(44, 3.554044091684244e-06)	(46, 0.00418321931957823)	(48, 0.00013506050124008644)	(50, 0.0031846528168627364)	(52, 0.0003074530056303709)	(54, 2.8435457828732063e-05)	(56, 0.0009206129505005255)	(58, 0.0005011912266866768)	(60, 0.0011570217293834946)	(62, 9.064343938603893e-05)	(64, 0.00023283230132637453)	(66, 0.0015409800996017018)	(68, 5.332177885933305e-06)	(70, 0.00012619653870266545)	(72, 0.0006594299414787032)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 2.687504020058097e-05)	(82, 0.0005342171402450479)	(84, 1.4551846245483607e-05)	(86, 6.4216608565314e-05)							
SRR7543031_clean_2	(1, 0.0)	(2, 7.463438480742463e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 8.707344894199541e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 4.7979247376201543e-05)	(26, 0.0)	(28, 0.0)	(30, 2.843214659330462e-05)	(32, 5.331027486244616e-06)	(34, 1.7770091620815387e-06)	(36, 8.885045810407693e-06)	(38, 0.0022105993976294343)	(40, 0.0018942917667789203)	(42, 0.0)	(44, 0.0004318163571396357)	(46, 0.007799553778092121)	(48, 0.001441237717180396)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0025450149519628427)	(58, 0.0)	(60, 0.0005402989335369929)	(62, 0.0004603264862938055)	(64, 0.0005047662105090868)	(66, 0.0008335866974777372)	(68, 0.0002719410721825985)	(70, 0.0025896951674617406)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 3.8529965139188394e-05)							
SRR7543032_1	(1, 0.06492038381300563)	(2, 0.000896409570087053)	(3, 9.241335774093329e-06)	(4, 0.0)	(5, 0.00641348702722077)	(6, 0.0)	(7, 9.241335774093329e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 2.7724007322279987e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 9.241335774093329e-06)	(24, 0.0010396502745854996)	(26, 0.0)	(28, 0.00013862003661139994)	(30, 0.00011320636323264329)	(32, 6.006868253160664e-05)	(34, 0.003936809039763759)	(36, 0.00038351543462487316)	(38, 0.0)	(40, 0.003853637017796918)	(42, 4.6206678870466645e-06)	(44, 3.6965343096373316e-05)	(46, 0.0)	(48, 0.00034886042547202316)	(50, 1.1551669717616662e-05)	(52, 1.1551669717616662e-05)	(54, 0.00043434278138238647)	(56, 6.006868253160664e-05)	(58, 9.241335774093329e-06)	(60, 0.00045282545293057316)	(62, 9.93443595715033e-05)	(64, 0.0)	(66, 0.00024720573195699655)	(68, 8.317202196683996e-05)	(70, 3.927567703989665e-05)	(72, 0.0)	(74, 4.6206678870466645e-06)	(76, 2.7724007322279987e-05)	(78, 3.4655009152849986e-05)	(80, 4.158601098341998e-05)	(82, 3.4655009152849986e-05)	(84, 0.0023704026260549385)	(86, 0.0023195752792974254)	(88, 0.002079300549170999)	(90, 0.0039668433810295615)	(92, 0.0012360286597849829)	(94, 0.0021208865601544187)	(96, 0.002384264629716079)	(98, 0.0010280986048678829)	(100, 0.0009610989205057062)
SRR7543032_2	(1, 0.007166655892809376)	(2, 0.0008086168802331663)	(3, 0.005457008774602111)	(4, 0.011625600403809408)	(5, 0.015035653304449847)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.234467520932665e-05)	(12, 0.0)	(14, 3.6965343096373316e-05)	(16, 2.3103339435233322e-06)	(18, 4.6206678870466645e-06)	(20, 0.0019291288428419826)	(22, 0.004572150874232675)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0006353418344689164)	(32, 3.927567703989665e-05)	(34, 0.0017396814594730693)	(36, 0.00021024038886062322)	(38, 0.0009310645792399029)	(40, 0.0019961285272041595)	(42, 0.0)	(44, 0.0005775834858808331)	(46, 0.0)	(48, 0.0)	(50, 4.6206678870466645e-06)	(52, 0.0)	(54, 6.46893504186533e-05)	(56, 0.0)	(58, 0.0001848267154818666)	(60, 0.00043434278138238647)	(62, 0.0)	(64, 0.00011782703111968994)	(66, 4.158601098341998e-05)	(68, 4.6206678870466645e-06)	(70, 0.0005498594785585531)	(72, 0.0013723383624528592)	(74, 0.00021717139069119324)	(76, 0.0002587574016746132)	(78, 6.931001830569997e-06)	(80, 4.389634492694331e-05)	(82, 4.851701281398998e-05)	(84, 0.0002934124108274632)	(86, 0.00010858569534559662)	(88, 3.234467520932665e-05)	(90, 1.1551669717616662e-05)	(92, 0.0004666874565917131)	(94, 0.0002864814089968932)	(96, 0.00031651575026269655)	(98, 0.0001848267154818666)	(100, 6.931001830569997e-05)
SRR7543032_clean_1	(1, 0.0)	(2, 5.172013651106868e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.8807322367661338e-05)	(10, 0.0009568225254547705)	(12, 2.8210983551492003e-05)	(14, 0.00013400217186958704)	(16, 0.0)	(18, 0.00016221315542107903)	(20, 1.1754576479788335e-05)	(22, 0.004123505429109747)	(24, 0.0)	(26, 0.0)	(28, 0.0036227604710707645)	(30, 3.7614644735322676e-05)	(32, 0.0)	(34, 7.522928947064535e-05)	(36, 0.0002774080049230047)	(38, 0.0)	(40, 0.00037614644735322673)	(42, 5.407105180702634e-05)	(44, 6.817696511462275e-05)	(46, 0.0004443357872345337)	(48, 9.874317570043296e-05)	(50, 0.0)	(52, 0.0002374616599341192)	(54, 7.993876502507867e-05)	(56, 3.291640706789557e-05)	(58, 0.0)	(60, 0.0)	(62, 4.7025054008274525e-06)	(64, 4.4674270838895574e-05)	(66, 5.878255865993824e-05)	(68, 0.0)	(70, 0.00023278340409517737)	(72, 0.0025042114252330173)	(74, 0.003214358414413192)	(76, 0.0007007228473482566)	(78, 0.003994127711087996)	(80, 0.0024750143926420614)	(82, 0.0019496200478175663)	(84, 0.002044593926419315)	(86, 0.000483982359254905)							
SRR7543032_clean_2	(1, 2.8210983551492003e-05)	(2, 3.7614644735322676e-05)	(3, 0.0)	(4, 4.7018305919153344e-06)	(5, 9.403661183830669e-06)	(6, 0.0)	(7, 0.0037144461676131136)	(8, 0.0)	(9, 0.008651368289124215)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0005971324851732474)	(18, 1.645640707170367e-05)	(20, 0.0005924306545813321)	(22, 0.0011425448338354262)	(24, 0.0010861228667324422)	(26, 0.0018971886438378374)	(28, 7.052745887873001e-06)	(30, 0.0)	(32, 0.0005759742475096284)	(34, 0.0)	(36, 4.7018305919153344e-06)	(38, 0.0)	(40, 6.582562828681468e-05)	(42, 0.0)	(44, 7.052789494616147e-06)	(46, 0.0005971496823151935)	(48, 2.351027992867451e-06)	(50, 0.00011520243006595339)	(52, 3.5266583158532556e-05)	(54, 2.3511401477964315e-06)	(56, 1.8809375467368895e-05)	(58, 0.0018527462660696936)	(60, 0.00021396180734714281)	(62, 0.00022807151194013147)	(64, 2.5864051538307966e-05)	(66, 0.0)	(68, 3.7621184300773845e-05)	(70, 0.0003221346097074677)	(72, 7.524391136850381e-05)	(74, 3.997373302488974e-05)	(76, 3.7622703213329215e-05)	(78, 0.00040862453815388724)	(80, 0.00018538531929322835)	(82, 0.0003048586203396951)	(84, 0.00023136856239923363)	(86, 0.00013644183532186152)							
SRR7543033_1	(1, 0.06631776174167106)	(2, 0.0010372734695294568)	(3, 0.0)	(4, 0.0)	(5, 0.00645226435739956)	(6, 0.0)	(7, 2.5402615580313227e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.4818192421849382e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 8.467538526771076e-06)	(24, 0.0010859618160583904)	(26, 0.0)	(28, 0.00013759750106003)	(30, 0.00021592223243266246)	(32, 0.0001227793086381806)	(34, 0.003979743107582406)	(36, 0.0004593639650773309)	(38, 0.0)	(40, 0.0039691586844239415)	(42, 0.0)	(44, 3.8103923370469845e-05)	(46, 0.0)	(48, 0.00032388334864899364)	(50, 1.9051961685234923e-05)	(52, 1.0584423158463845e-05)	(54, 0.0004403120033920959)	(56, 8.467538526771076e-05)	(58, 8.467538526771076e-06)	(60, 0.0004953510038161079)	(62, 9.314292379448183e-05)	(64, 0.0)	(66, 0.00025402615580313225)	(68, 6.774030821416861e-05)	(70, 6.562342358247584e-05)	(72, 0.0)	(74, 4.233769263385538e-06)	(76, 8.467538526771076e-06)	(78, 2.7519500212005994e-05)	(80, 2.9636384843698764e-05)	(82, 2.3285730948620456e-05)	(84, 0.0022311964018041784)	(86, 0.00226294967127957)	(88, 0.0021105339777976904)	(90, 0.00391411968399993)	(92, 0.001181221624484565)	(94, 0.0019771702460010462)	(96, 0.0021486379011681606)	(98, 0.0009293123533131256)	(100, 0.0009568318535251315)
SRR7543033_2	(1, 0.007574213212196728)	(2, 0.0008594551604672641)	(3, 0.005567406581351983)	(4, 0.011795281167792108)	(5, 0.01546595911914737)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.3870154107084305e-05)	(12, 4.233769263385538e-06)	(14, 4.233769263385538e-05)	(16, 0.0)	(18, 2.116884631692769e-06)	(20, 0.001879793552943179)	(22, 0.0047502891135185734)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0007028056977219992)	(32, 3.175326947539153e-05)	(34, 0.0016935077053542153)	(36, 0.00017781830906219258)	(38, 0.0010203383924759146)	(40, 0.002161339208958317)	(42, 0.0)	(44, 0.0005440393503450416)	(46, 0.0)	(48, 2.116884631692769e-06)	(50, 4.233769263385538e-06)	(52, 0.0)	(54, 6.985719284586137e-05)	(56, 0.0)	(58, 0.0001757014244304998)	(60, 0.0004233769263385538)	(62, 0.0)	(64, 0.00012701307790156612)	(66, 3.8103923370469845e-05)	(68, 1.2701307790156613e-05)	(70, 0.0005821432737155114)	(72, 0.0014542997419729324)	(74, 0.00018416896295727088)	(76, 0.00025614304043482505)	(78, 4.233769263385538e-06)	(80, 5.0805231160626453e-05)	(82, 5.503900042401199e-05)	(84, 0.0002815456560151383)	(86, 7.832473137263245e-05)	(88, 2.7519500212005994e-05)	(90, 1.0584423158463845e-05)	(92, 0.0005482731196084272)	(94, 0.00041914315707516827)	(96, 0.0003746885798096201)	(98, 0.0002328573094862046)	(100, 7.620784674093969e-05)
SRR7543033_clean_1	(1, 0.0)	(2, 2.583347843137052e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.7222318954247015e-05)	(10, 0.0010247279777776974)	(12, 2.7986268300651403e-05)	(14, 0.00013777855163397612)	(16, 0.0)	(18, 0.0002992377918300419)	(20, 3.0139058169932274e-05)	(22, 0.004266829520914698)	(24, 0.0)	(26, 0.0)	(28, 0.0037738406408493767)	(30, 3.875021764705578e-05)	(32, 0.0)	(34, 6.45836960784263e-05)	(36, 0.00026694594379082873)	(38, 0.0)	(40, 0.00038750217647055786)	(42, 6.243090620914543e-05)	(44, 8.826506109793641e-05)	(46, 0.0004843948120841995)	(48, 9.257558053393031e-05)	(50, 0.0)	(52, 0.00024328976157237355)	(54, 6.243833138253021e-05)	(56, 6.459234104928321e-05)	(58, 0.0)	(60, 0.0)	(62, 4.3063231486853025e-06)	(64, 2.3685045565828957e-05)	(66, 4.091103007234168e-05)	(68, 0.0)	(70, 0.0002067127600233887)	(72, 0.002329850852293679)	(74, 0.003285945307787456)	(76, 0.0006976784147816178)	(78, 0.0039122052668323064)	(80, 0.002277483862336947)	(82, 0.0019883172803073215)	(84, 0.0016828207816931692)	(86, 0.00047943726786454466)							
SRR7543033_clean_2	(1, 3.0139058169932274e-05)	(2, 4.736137712417929e-05)	(3, 0.0)	(4, 0.0)	(5, 4.305579738561754e-06)	(6, 0.0)	(7, 0.0036769650967317376)	(8, 0.0)	(9, 0.009071856509149615)	(10, 1.5069529084966137e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0006781288088234762)	(18, 8.611159477123508e-06)	(20, 0.0005618781558823088)	(22, 0.0011280618915031795)	(24, 0.0011538953699345498)	(26, 0.0020752894339867655)	(28, 8.611159477123508e-06)	(30, 0.0)	(32, 0.0005381974673202192)	(34, 2.152789869280877e-06)	(36, 4.305579738561754e-06)	(38, 0.0)	(40, 5.812532647058367e-05)	(42, 6.45836960784263e-06)	(44, 2.1528063682423516e-06)	(46, 0.0005705094453436128)	(48, 4.305840955066526e-06)	(50, 0.000127025083944742)	(52, 3.014209435409938e-05)	(54, 6.459137729227263e-06)	(56, 3.6602326594593817e-05)	(58, 0.0019571773472030676)	(60, 0.00017225108265188295)	(62, 0.00023254145002900634)	(64, 1.291911576317943e-05)	(66, 2.1532121090706148e-06)	(68, 4.521792553120135e-05)	(70, 0.00031006914003508303)	(72, 6.244517071766792e-05)	(74, 2.1533062305291323e-05)	(76, 3.229992661026008e-05)	(78, 0.0004608958638469476)	(80, 0.0002628715612202683)	(82, 0.0004112201647908324)	(84, 0.0002685106061573695)	(86, 0.0001732619829411473)							
