Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR7543031_clean_1	(13.0, 2.0)	(14.0, 5.0)	(15.0, 36.0)	(16.0, 146.0)	(17.0, 316.0)	(18.0, 758.0)	(19.0, 1260.0)	(20.0, 1988.0)	(21.0, 3369.0)	(22.0, 5994.0)	(23.0, 11391.0)	(24.0, 20482.0)	(25.0, 33609.0)	(26.0, 52317.0)	(27.0, 76126.0)	(28.0, 104197.0)	(29.0, 137322.0)	(30.0, 173509.0)	(31.0, 214864.0)	(32.0, 263438.0)	(33.0, 321897.0)	(34.0, 395131.0)	(35.0, 500760.0)	(36.0, 665512.0)	(37.0, 972642.0)	(38.0, 1754439.0)	(39.0, 18615151.0)	(40.0, 3810504.0)			
SRR7543031_clean_2	(11.0, 2.0)	(12.0, 51.0)	(13.0, 346.0)	(14.0, 1138.0)	(15.0, 2161.0)	(16.0, 3418.0)	(17.0, 4746.0)	(18.0, 6904.0)	(19.0, 12343.0)	(20.0, 21948.0)	(21.0, 32594.0)	(22.0, 44238.0)	(23.0, 55970.0)	(24.0, 70380.0)	(25.0, 84901.0)	(26.0, 100746.0)	(27.0, 119577.0)	(28.0, 142221.0)	(29.0, 166070.0)	(30.0, 195368.0)	(31.0, 229296.0)	(32.0, 273590.0)	(33.0, 329431.0)	(34.0, 406257.0)	(35.0, 518783.0)	(36.0, 698156.0)	(37.0, 1039979.0)	(38.0, 1946121.0)	(39.0, 19677514.0)	(40.0, 1952916.0)	
SRR7543032_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 14.0)	(14.0, 257.0)	(15.0, 2048.0)	(16.0, 7079.0)	(17.0, 12517.0)	(18.0, 17033.0)	(19.0, 21675.0)	(20.0, 27018.0)	(21.0, 31802.0)	(22.0, 37308.0)	(23.0, 45533.0)	(24.0, 58584.0)	(25.0, 78344.0)	(26.0, 109089.0)	(27.0, 153008.0)	(28.0, 212608.0)	(29.0, 287740.0)	(30.0, 379516.0)	(31.0, 487163.0)	(32.0, 620474.0)	(33.0, 796995.0)	(34.0, 1077343.0)	(35.0, 1620985.0)	(36.0, 2591682.0)	(37.0, 4516269.0)	(38.0, 6011060.0)	(39.0, 2426631.0)	(40.0, 12116.0)	
SRR7543032_2	(12.0, 39.0)	(13.0, 1456.0)	(14.0, 9122.0)	(15.0, 25013.0)	(16.0, 39543.0)	(17.0, 47521.0)	(18.0, 52335.0)	(19.0, 57906.0)	(20.0, 64170.0)	(21.0, 72459.0)	(22.0, 81364.0)	(23.0, 95698.0)	(24.0, 118305.0)	(25.0, 143614.0)	(26.0, 179155.0)	(27.0, 222992.0)	(28.0, 274304.0)	(29.0, 336393.0)	(30.0, 413841.0)	(31.0, 510453.0)	(32.0, 645242.0)	(33.0, 831275.0)	(34.0, 1121857.0)	(35.0, 1641856.0)	(36.0, 2567127.0)	(37.0, 4414814.0)	(38.0, 5706442.0)	(39.0, 1961303.0)	(40.0, 6294.0)		
SRR7543032_clean_1	(14.0, 1.0)	(15.0, 11.0)	(16.0, 109.0)	(17.0, 600.0)	(18.0, 3265.0)	(19.0, 9633.0)	(20.0, 16923.0)	(21.0, 23568.0)	(22.0, 31354.0)	(23.0, 41001.0)	(24.0, 55583.0)	(25.0, 76099.0)	(26.0, 106341.0)	(27.0, 146647.0)	(28.0, 201238.0)	(29.0, 269757.0)	(30.0, 353927.0)	(31.0, 453544.0)	(32.0, 578715.0)	(33.0, 745232.0)	(34.0, 1022694.0)	(35.0, 1520782.0)	(36.0, 2329377.0)	(37.0, 3849217.0)	(38.0, 5302682.0)	(39.0, 3763926.0)	(40.0, 366074.0)	(41.0, 12.0)			
SRR7543032_clean_2	(14.0, 7.0)	(15.0, 140.0)	(16.0, 1334.0)	(17.0, 7404.0)	(18.0, 21583.0)	(19.0, 37476.0)	(20.0, 49839.0)	(21.0, 60299.0)	(22.0, 73186.0)	(23.0, 90499.0)	(24.0, 113657.0)	(25.0, 145492.0)	(26.0, 178444.0)	(27.0, 219967.0)	(28.0, 269964.0)	(29.0, 329190.0)	(30.0, 398694.0)	(31.0, 493089.0)	(32.0, 617707.0)	(33.0, 791136.0)	(34.0, 1072623.0)	(35.0, 1533902.0)	(36.0, 2312645.0)	(37.0, 3731475.0)	(38.0, 5259186.0)	(39.0, 3186508.0)	(40.0, 272862.0)	(41.0, 4.0)			
SRR7543033_1	(12.0, 2.0)	(13.0, 19.0)	(14.0, 338.0)	(15.0, 2472.0)	(16.0, 7803.0)	(17.0, 13531.0)	(18.0, 18804.0)	(19.0, 24202.0)	(20.0, 30285.0)	(21.0, 35338.0)	(22.0, 41407.0)	(23.0, 50329.0)	(24.0, 64671.0)	(25.0, 86772.0)	(26.0, 119909.0)	(27.0, 165819.0)	(28.0, 229408.0)	(29.0, 309315.0)	(30.0, 407463.0)	(31.0, 521628.0)	(32.0, 663723.0)	(33.0, 854155.0)	(34.0, 1163389.0)	(35.0, 1791325.0)	(36.0, 2789864.0)	(37.0, 4787905.0)	(38.0, 6593075.0)	(39.0, 2830191.0)	(40.0, 16473.0)		
SRR7543033_2	(12.0, 42.0)	(13.0, 1438.0)	(14.0, 9070.0)	(15.0, 25071.0)	(16.0, 39426.0)	(17.0, 47922.0)	(18.0, 52845.0)	(19.0, 59790.0)	(20.0, 67146.0)	(21.0, 75982.0)	(22.0, 85395.0)	(23.0, 101033.0)	(24.0, 125332.0)	(25.0, 151808.0)	(26.0, 188700.0)	(27.0, 233311.0)	(28.0, 288151.0)	(29.0, 352066.0)	(30.0, 435623.0)	(31.0, 539507.0)	(32.0, 680360.0)	(33.0, 878545.0)	(34.0, 1192687.0)	(35.0, 1768294.0)	(36.0, 2709388.0)	(37.0, 4704978.0)	(38.0, 6370179.0)	(39.0, 2426148.0)	(40.0, 9378.0)		
SRR7543033_clean_1	(14.0, 2.0)	(15.0, 26.0)	(16.0, 168.0)	(17.0, 756.0)	(18.0, 3560.0)	(19.0, 10654.0)	(20.0, 18849.0)	(21.0, 26147.0)	(22.0, 34488.0)	(23.0, 45894.0)	(24.0, 62037.0)	(25.0, 85203.0)	(26.0, 116684.0)	(27.0, 160061.0)	(28.0, 218424.0)	(29.0, 292706.0)	(30.0, 380610.0)	(31.0, 487397.0)	(32.0, 620555.0)	(33.0, 800994.0)	(34.0, 1108946.0)	(35.0, 1685750.0)	(36.0, 2500415.0)	(37.0, 4072039.0)	(38.0, 5736727.0)	(39.0, 4307470.0)	(40.0, 449101.0)	(41.0, 13.0)			
SRR7543033_clean_2	(14.0, 10.0)	(15.0, 184.0)	(16.0, 1725.0)	(17.0, 8095.0)	(18.0, 22012.0)	(19.0, 38881.0)	(20.0, 51344.0)	(21.0, 63196.0)	(22.0, 77260.0)	(23.0, 95701.0)	(24.0, 121178.0)	(25.0, 152554.0)	(26.0, 188621.0)	(27.0, 229710.0)	(28.0, 282384.0)	(29.0, 345012.0)	(30.0, 421029.0)	(31.0, 518409.0)	(32.0, 651227.0)	(33.0, 834802.0)	(34.0, 1142736.0)	(35.0, 1647743.0)	(36.0, 2439671.0)	(37.0, 3964916.0)	(38.0, 5769542.0)	(39.0, 3797069.0)	(40.0, 360665.0)				
