Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR7543036_clean_1	(15.0, 25.0)	(16.0, 232.0)	(17.0, 939.0)	(18.0, 3942.0)	(19.0, 10836.0)	(20.0, 18542.0)	(21.0, 25644.0)	(22.0, 33852.0)	(23.0, 44881.0)	(24.0, 60333.0)	(25.0, 83046.0)	(26.0, 114509.0)	(27.0, 158175.0)	(28.0, 216252.0)	(29.0, 288526.0)	(30.0, 378644.0)	(31.0, 485951.0)	(32.0, 620053.0)	(33.0, 803685.0)	(34.0, 1130858.0)	(35.0, 1741634.0)	(36.0, 2558721.0)	(37.0, 4135139.0)	(38.0, 5650836.0)	(39.0, 3921062.0)	(40.0, 375101.0)	(41.0, 11.0)				
SRR7543036_clean_2	(14.0, 10.0)	(15.0, 251.0)	(16.0, 2143.0)	(17.0, 9561.0)	(18.0, 24556.0)	(19.0, 41908.0)	(20.0, 54665.0)	(21.0, 66723.0)	(22.0, 80920.0)	(23.0, 100959.0)	(24.0, 126730.0)	(25.0, 160018.0)	(26.0, 195812.0)	(27.0, 238750.0)	(28.0, 290806.0)	(29.0, 355429.0)	(30.0, 433420.0)	(31.0, 529865.0)	(32.0, 664042.0)	(33.0, 847368.0)	(34.0, 1157230.0)	(35.0, 1668778.0)	(36.0, 2460308.0)	(37.0, 3993554.0)	(38.0, 5662766.0)	(39.0, 3392647.0)	(40.0, 302209.0)	(41.0, 1.0)			
SRR7543037_1	(13.0, 18.0)	(14.0, 271.0)	(15.0, 2012.0)	(16.0, 6562.0)	(17.0, 11086.0)	(18.0, 15290.0)	(19.0, 19483.0)	(20.0, 24177.0)	(21.0, 28860.0)	(22.0, 33820.0)	(23.0, 40846.0)	(24.0, 51992.0)	(25.0, 70420.0)	(26.0, 96503.0)	(27.0, 134247.0)	(28.0, 184469.0)	(29.0, 247442.0)	(30.0, 324992.0)	(31.0, 416191.0)	(32.0, 529725.0)	(33.0, 679509.0)	(34.0, 929145.0)	(35.0, 1424080.0)	(36.0, 2236031.0)	(37.0, 3884958.0)	(38.0, 5335171.0)	(39.0, 2233423.0)	(40.0, 11531.0)			
SRR7543037_2	(12.0, 34.0)	(13.0, 1103.0)	(14.0, 6821.0)	(15.0, 19130.0)	(16.0, 30918.0)	(17.0, 37181.0)	(18.0, 41859.0)	(19.0, 46243.0)	(20.0, 52184.0)	(21.0, 58352.0)	(22.0, 66001.0)	(23.0, 78051.0)	(24.0, 96865.0)	(25.0, 117580.0)	(26.0, 146394.0)	(27.0, 182150.0)	(28.0, 224753.0)	(29.0, 274948.0)	(30.0, 340447.0)	(31.0, 423753.0)	(32.0, 537647.0)	(33.0, 694304.0)	(34.0, 945420.0)	(35.0, 1406936.0)	(36.0, 2172677.0)	(37.0, 3814431.0)	(38.0, 5223100.0)	(39.0, 1926057.0)	(40.0, 6915.0)		
SRR7543037_clean_1	(14.0, 2.0)	(15.0, 21.0)	(16.0, 186.0)	(17.0, 785.0)	(18.0, 3356.0)	(19.0, 8969.0)	(20.0, 15712.0)	(21.0, 21657.0)	(22.0, 28513.0)	(23.0, 37196.0)	(24.0, 50255.0)	(25.0, 68796.0)	(26.0, 94855.0)	(27.0, 129706.0)	(28.0, 175773.0)	(29.0, 234667.0)	(30.0, 304365.0)	(31.0, 390368.0)	(32.0, 496386.0)	(33.0, 638115.0)	(34.0, 886115.0)	(35.0, 1339194.0)	(36.0, 2004153.0)	(37.0, 3299068.0)	(38.0, 4654985.0)	(39.0, 3431136.0)	(40.0, 348761.0)	(41.0, 7.0)			
SRR7543037_clean_2	(14.0, 3.0)	(15.0, 157.0)	(16.0, 1420.0)	(17.0, 6586.0)	(18.0, 17141.0)	(19.0, 30166.0)	(20.0, 39613.0)	(21.0, 48171.0)	(22.0, 59352.0)	(23.0, 74758.0)	(24.0, 93674.0)	(25.0, 119225.0)	(26.0, 146263.0)	(27.0, 178628.0)	(28.0, 220251.0)	(29.0, 270020.0)	(30.0, 329453.0)	(31.0, 408206.0)	(32.0, 515010.0)	(33.0, 661355.0)	(34.0, 906051.0)	(35.0, 1312459.0)	(36.0, 1955118.0)	(37.0, 3206378.0)	(38.0, 4734499.0)	(39.0, 3045390.0)	(40.0, 283751.0)	(41.0, 4.0)			
SRR7543038_1	(12.0, 2.0)	(13.0, 36.0)	(14.0, 483.0)	(15.0, 3459.0)	(16.0, 11156.0)	(17.0, 19180.0)	(18.0, 26382.0)	(19.0, 33126.0)	(20.0, 40932.0)	(21.0, 48461.0)	(22.0, 57060.0)	(23.0, 69262.0)	(24.0, 89006.0)	(25.0, 119769.0)	(26.0, 167658.0)	(27.0, 234245.0)	(28.0, 326451.0)	(29.0, 439835.0)	(30.0, 581686.0)	(31.0, 748657.0)	(32.0, 955861.0)	(33.0, 1229821.0)	(34.0, 1694535.0)	(35.0, 2644795.0)	(36.0, 4137623.0)	(37.0, 7088512.0)	(38.0, 8887761.0)	(39.0, 3292037.0)	(40.0, 15764.0)		
SRR7543038_2	(12.0, 74.0)	(13.0, 2083.0)	(14.0, 13639.0)	(15.0, 38817.0)	(16.0, 62640.0)	(17.0, 75047.0)	(18.0, 83106.0)	(19.0, 92151.0)	(20.0, 103259.0)	(21.0, 118865.0)	(22.0, 133150.0)	(23.0, 154793.0)	(24.0, 191185.0)	(25.0, 233566.0)	(26.0, 289860.0)	(27.0, 350377.0)	(28.0, 427489.0)	(29.0, 521373.0)	(30.0, 635263.0)	(31.0, 785705.0)	(32.0, 992985.0)	(33.0, 1279448.0)	(34.0, 1752231.0)	(35.0, 2613610.0)	(36.0, 4028649.0)	(37.0, 6825868.0)	(38.0, 8487926.0)	(39.0, 2661845.0)	(40.0, 8551.0)		
SRR7543038_clean_1	(14.0, 2.0)	(15.0, 45.0)	(16.0, 349.0)	(17.0, 1426.0)	(18.0, 5666.0)	(19.0, 15397.0)	(20.0, 26104.0)	(21.0, 36788.0)	(22.0, 48061.0)	(23.0, 63123.0)	(24.0, 85333.0)	(25.0, 117728.0)	(26.0, 163664.0)	(27.0, 225854.0)	(28.0, 309209.0)	(29.0, 414954.0)	(30.0, 542976.0)	(31.0, 698341.0)	(32.0, 892614.0)	(33.0, 1152961.0)	(34.0, 1622365.0)	(35.0, 2493733.0)	(36.0, 3707397.0)	(37.0, 6054919.0)	(38.0, 7933560.0)	(39.0, 5267105.0)	(40.0, 485904.0)	(41.0, 9.0)			
SRR7543038_clean_2	(13.0, 1.0)	(14.0, 13.0)	(15.0, 349.0)	(16.0, 2728.0)	(17.0, 12894.0)	(18.0, 34653.0)	(19.0, 60752.0)	(20.0, 79760.0)	(21.0, 97073.0)	(22.0, 119078.0)	(23.0, 148120.0)	(24.0, 188234.0)	(25.0, 232983.0)	(26.0, 284122.0)	(27.0, 344956.0)	(28.0, 419745.0)	(29.0, 508799.0)	(30.0, 616188.0)	(31.0, 760911.0)	(32.0, 954775.0)	(33.0, 1225763.0)	(34.0, 1689448.0)	(35.0, 2444957.0)	(36.0, 3638438.0)	(37.0, 5795658.0)	(38.0, 7920881.0)	(39.0, 4424602.0)	(40.0, 359706.0)			
SRR7543039_1	(11.0, 1.0)	(12.0, 2.0)	(13.0, 27.0)	(14.0, 460.0)	(15.0, 3448.0)	(16.0, 11085.0)	(17.0, 19725.0)	(18.0, 27252.0)	(19.0, 34490.0)	(20.0, 42434.0)	(21.0, 50558.0)	(22.0, 59620.0)	(23.0, 72242.0)	(24.0, 93321.0)	(25.0, 125696.0)	(26.0, 176064.0)	(27.0, 250616.0)	(28.0, 349120.0)	(29.0, 477332.0)	(30.0, 634178.0)	(31.0, 821853.0)	(32.0, 1050939.0)	(33.0, 1357219.0)	(34.0, 1893949.0)	(35.0, 2999010.0)	(36.0, 4522935.0)	(37.0, 7600146.0)	(38.0, 9365189.0)	(39.0, 3376905.0)	(40.0, 14821.0)	
SRR7543039_2	(11.0, 1.0)	(12.0, 73.0)	(13.0, 2531.0)	(14.0, 16703.0)	(15.0, 47072.0)	(16.0, 76659.0)	(17.0, 91507.0)	(18.0, 100790.0)	(19.0, 111043.0)	(20.0, 122947.0)	(21.0, 137717.0)	(22.0, 155253.0)	(23.0, 184490.0)	(24.0, 225472.0)	(25.0, 272488.0)	(26.0, 336899.0)	(27.0, 412507.0)	(28.0, 503327.0)	(29.0, 606591.0)	(30.0, 736518.0)	(31.0, 905944.0)	(32.0, 1128994.0)	(33.0, 1445501.0)	(34.0, 1959422.0)	(35.0, 2885225.0)	(36.0, 4310407.0)	(37.0, 7201585.0)	(38.0, 8847914.0)	(39.0, 2597605.0)	(40.0, 7452.0)	
SRR7543039_clean_1	(14.0, 1.0)	(15.0, 61.0)	(16.0, 450.0)	(17.0, 1601.0)	(18.0, 5879.0)	(19.0, 15552.0)	(20.0, 27035.0)	(21.0, 37995.0)	(22.0, 49592.0)	(23.0, 65633.0)	(24.0, 88379.0)	(25.0, 122349.0)	(26.0, 172261.0)	(27.0, 239135.0)	(28.0, 329029.0)	(29.0, 446940.0)	(30.0, 589969.0)	(31.0, 763076.0)	(32.0, 978663.0)	(33.0, 1272589.0)	(34.0, 1817725.0)	(35.0, 2830750.0)	(36.0, 4046467.0)	(37.0, 6494006.0)	(38.0, 8427256.0)	(39.0, 5460375.0)	(40.0, 479286.0)	(41.0, 9.0)			
SRR7543039_clean_2	(14.0, 18.0)	(15.0, 465.0)	(16.0, 3949.0)	(17.0, 16764.0)	(18.0, 44140.0)	(19.0, 74554.0)	(20.0, 97216.0)	(21.0, 118462.0)	(22.0, 144937.0)	(23.0, 178494.0)	(24.0, 221816.0)	(25.0, 276882.0)	(26.0, 336052.0)	(27.0, 408858.0)	(28.0, 495877.0)	(29.0, 594654.0)	(30.0, 715477.0)	(31.0, 875647.0)	(32.0, 1087002.0)	(33.0, 1386684.0)	(34.0, 1890841.0)	(35.0, 2696174.0)	(36.0, 3891798.0)	(37.0, 6122755.0)	(38.0, 8313655.0)	(39.0, 4437661.0)	(40.0, 331228.0)	(41.0, 3.0)			
SRR7543040_1	(12.0, 2.0)	(13.0, 27.0)	(14.0, 509.0)	(15.0, 3483.0)	(16.0, 11494.0)	(17.0, 19897.0)	(18.0, 26984.0)	(19.0, 34635.0)	(20.0, 42712.0)	(21.0, 50309.0)	(22.0, 59154.0)	(23.0, 71817.0)	(24.0, 92338.0)	(25.0, 123813.0)	(26.0, 171442.0)	(27.0, 239599.0)	(28.0, 331948.0)	(29.0, 446662.0)	(30.0, 586969.0)	(31.0, 751040.0)	(32.0, 954584.0)	(33.0, 1228677.0)	(34.0, 1695576.0)	(35.0, 2653317.0)	(36.0, 4060124.0)	(37.0, 6865517.0)	(38.0, 8755867.0)	(39.0, 3307894.0)	(40.0, 15866.0)		
SRR7543040_2	(12.0, 71.0)	(13.0, 2010.0)	(14.0, 12916.0)	(15.0, 37009.0)	(16.0, 59875.0)	(17.0, 72313.0)	(18.0, 80759.0)	(19.0, 90383.0)	(20.0, 100658.0)	(21.0, 112391.0)	(22.0, 126697.0)	(23.0, 151434.0)	(24.0, 186283.0)	(25.0, 225854.0)	(26.0, 280077.0)	(27.0, 344275.0)	(28.0, 424060.0)	(29.0, 514650.0)	(30.0, 630409.0)	(31.0, 782370.0)	(32.0, 984133.0)	(33.0, 1274643.0)	(34.0, 1738785.0)	(35.0, 2587591.0)	(36.0, 3917122.0)	(37.0, 6661139.0)	(38.0, 8470293.0)	(39.0, 2725519.0)	(40.0, 8537.0)		
SRR7543040_clean_1	(14.0, 2.0)	(15.0, 53.0)	(16.0, 420.0)	(17.0, 1567.0)	(18.0, 5904.0)	(19.0, 16197.0)	(20.0, 27681.0)	(21.0, 38183.0)	(22.0, 50028.0)	(23.0, 65975.0)	(24.0, 88662.0)	(25.0, 121065.0)	(26.0, 168146.0)	(27.0, 231649.0)	(28.0, 316012.0)	(29.0, 421081.0)	(30.0, 550232.0)	(31.0, 702398.0)	(32.0, 893575.0)	(33.0, 1153348.0)	(34.0, 1627644.0)	(35.0, 2500782.0)	(36.0, 3637638.0)	(37.0, 5859728.0)	(38.0, 7800103.0)	(39.0, 5255120.0)	(40.0, 492656.0)	(41.0, 7.0)			
SRR7543040_clean_2	(14.0, 12.0)	(15.0, 402.0)	(16.0, 3037.0)	(17.0, 13263.0)	(18.0, 34248.0)	(19.0, 58648.0)	(20.0, 76931.0)	(21.0, 94196.0)	(22.0, 116810.0)	(23.0, 145162.0)	(24.0, 182012.0)	(25.0, 228543.0)	(26.0, 279062.0)	(27.0, 340506.0)	(28.0, 415208.0)	(29.0, 503918.0)	(30.0, 612045.0)	(31.0, 755036.0)	(32.0, 946425.0)	(33.0, 1220154.0)	(34.0, 1676553.0)	(35.0, 2416703.0)	(36.0, 3533263.0)	(37.0, 5635751.0)	(38.0, 7867516.0)	(39.0, 4497525.0)	(40.0, 372922.0)	(41.0, 5.0)			
SRR7543041_1	(12.0, 4.0)	(13.0, 28.0)	(14.0, 458.0)	(15.0, 3262.0)	(16.0, 10513.0)	(17.0, 18354.0)	(18.0, 25394.0)	(19.0, 32192.0)	(20.0, 39903.0)	(21.0, 47716.0)	(22.0, 55992.0)	(23.0, 68304.0)	(24.0, 87216.0)	(25.0, 118111.0)	(26.0, 162488.0)	(27.0, 228690.0)	(28.0, 317448.0)	(29.0, 428122.0)	(30.0, 561852.0)	(31.0, 724185.0)	(32.0, 921266.0)	(33.0, 1190908.0)	(34.0, 1636717.0)	(35.0, 2541717.0)	(36.0, 3883819.0)	(37.0, 6681713.0)	(38.0, 9082772.0)	(39.0, 3791684.0)	(40.0, 20158.0)		
SRR7543041_2	(12.0, 64.0)	(13.0, 2127.0)	(14.0, 13407.0)	(15.0, 37163.0)	(16.0, 60227.0)	(17.0, 72560.0)	(18.0, 80590.0)	(19.0, 88577.0)	(20.0, 98871.0)	(21.0, 109722.0)	(22.0, 123866.0)	(23.0, 146724.0)	(24.0, 180995.0)	(25.0, 219173.0)	(26.0, 271984.0)	(27.0, 335020.0)	(28.0, 409846.0)	(29.0, 501207.0)	(30.0, 615694.0)	(31.0, 762759.0)	(32.0, 960207.0)	(33.0, 1240887.0)	(34.0, 1685589.0)	(35.0, 2484927.0)	(36.0, 3771931.0)	(37.0, 6496433.0)	(38.0, 8742903.0)	(39.0, 3156098.0)	(40.0, 11435.0)		
SRR7543041_clean_1	(14.0, 1.0)	(15.0, 41.0)	(16.0, 331.0)	(17.0, 1195.0)	(18.0, 5222.0)	(19.0, 14657.0)	(20.0, 25304.0)	(21.0, 35423.0)	(22.0, 46562.0)	(23.0, 61872.0)	(24.0, 83794.0)	(25.0, 113983.0)	(26.0, 159550.0)	(27.0, 220436.0)	(28.0, 299801.0)	(29.0, 400487.0)	(30.0, 523794.0)	(31.0, 674498.0)	(32.0, 861275.0)	(33.0, 1115743.0)	(34.0, 1564976.0)	(35.0, 2388731.0)	(36.0, 3480408.0)	(37.0, 5677037.0)	(38.0, 7964762.0)	(39.0, 5808590.0)	(40.0, 589768.0)	(41.0, 3.0)			
SRR7543041_clean_2	(14.0, 11.0)	(15.0, 308.0)	(16.0, 2848.0)	(17.0, 12681.0)	(18.0, 33637.0)	(19.0, 57882.0)	(20.0, 75859.0)	(21.0, 92058.0)	(22.0, 113616.0)	(23.0, 140697.0)	(24.0, 175464.0)	(25.0, 220624.0)	(26.0, 269651.0)	(27.0, 330190.0)	(28.0, 403689.0)	(29.0, 491395.0)	(30.0, 596761.0)	(31.0, 736673.0)	(32.0, 922222.0)	(33.0, 1185969.0)	(34.0, 1619577.0)	(35.0, 2319871.0)	(36.0, 3401307.0)	(37.0, 5481490.0)	(38.0, 7960338.0)	(39.0, 5013761.0)	(40.0, 459663.0)	(41.0, 2.0)			
SRR7543042_1	(12.0, 34.0)	(13.0, 48.0)	(14.0, 68.0)	(15.0, 93.0)	(16.0, 168.0)	(17.0, 425.0)	(18.0, 943.0)	(19.0, 1837.0)	(20.0, 3416.0)	(21.0, 6078.0)	(22.0, 10053.0)	(23.0, 15857.0)	(24.0, 23940.0)	(25.0, 35225.0)	(26.0, 50562.0)	(27.0, 71813.0)	(28.0, 99478.0)	(29.0, 133798.0)	(30.0, 175442.0)	(31.0, 223974.0)	(32.0, 280041.0)	(33.0, 343479.0)	(34.0, 422723.0)	(35.0, 521988.0)	(36.0, 663412.0)	(37.0, 890199.0)	(38.0, 1333564.0)	(39.0, 2711062.0)	(40.0, 23069146.0)		
SRR7543042_2	(12.0, 207.0)	(13.0, 2734.0)	(14.0, 14183.0)	(15.0, 21871.0)	(16.0, 21524.0)	(17.0, 22379.0)	(18.0, 26221.0)	(19.0, 31657.0)	(20.0, 37097.0)	(21.0, 43926.0)	(22.0, 52753.0)	(23.0, 63290.0)	(24.0, 76302.0)	(25.0, 90587.0)	(26.0, 107938.0)	(27.0, 125790.0)	(28.0, 148871.0)	(29.0, 177235.0)	(30.0, 209609.0)	(31.0, 251891.0)	(32.0, 303587.0)	(33.0, 371024.0)	(34.0, 458980.0)	(35.0, 583057.0)	(36.0, 772316.0)	(37.0, 1111897.0)	(38.0, 1839881.0)	(39.0, 4030360.0)	(40.0, 20091699.0)		
SRR7543042_clean_1	(19.0, 1.0)	(20.0, 9.0)	(21.0, 208.0)	(22.0, 2343.0)	(23.0, 9292.0)	(24.0, 19775.0)	(25.0, 32032.0)	(26.0, 46719.0)	(27.0, 66448.0)	(28.0, 90147.0)	(29.0, 119517.0)	(30.0, 156205.0)	(31.0, 198632.0)	(32.0, 248300.0)	(33.0, 305761.0)	(34.0, 377044.0)	(35.0, 467108.0)	(36.0, 589006.0)	(37.0, 779377.0)	(38.0, 1128090.0)	(39.0, 2016485.0)	(40.0, 13845682.0)	(41.0, 10217756.0)								
SRR7543042_clean_2	(18.0, 1.0)	(19.0, 8.0)	(20.0, 57.0)	(21.0, 1428.0)	(22.0, 12608.0)	(23.0, 41242.0)	(24.0, 67348.0)	(25.0, 86506.0)	(26.0, 104370.0)	(27.0, 123310.0)	(28.0, 145589.0)	(29.0, 171528.0)	(30.0, 201975.0)	(31.0, 241070.0)	(32.0, 289783.0)	(33.0, 350735.0)	(34.0, 431641.0)	(35.0, 542494.0)	(36.0, 709449.0)	(37.0, 997813.0)	(38.0, 1569883.0)	(39.0, 3018361.0)	(40.0, 16648355.0)	(41.0, 4960383.0)							
SRR7543043_1	(12.0, 14.0)	(13.0, 23.0)	(14.0, 53.0)	(15.0, 83.0)	(16.0, 130.0)	(17.0, 341.0)	(18.0, 800.0)	(19.0, 1651.0)	(20.0, 2930.0)	(21.0, 5286.0)	(22.0, 9028.0)	(23.0, 14276.0)	(24.0, 21523.0)	(25.0, 31689.0)	(26.0, 45709.0)	(27.0, 64762.0)	(28.0, 90289.0)	(29.0, 121898.0)	(30.0, 160785.0)	(31.0, 205084.0)	(32.0, 256511.0)	(33.0, 318154.0)	(34.0, 392488.0)	(35.0, 489253.0)	(36.0, 624250.0)	(37.0, 840204.0)	(38.0, 1260480.0)	(39.0, 2566733.0)	(40.0, 21713654.0)		
SRR7543043_2	(12.0, 161.0)	(13.0, 2606.0)	(14.0, 13266.0)	(15.0, 19668.0)	(16.0, 18384.0)	(17.0, 18567.0)	(18.0, 22577.0)	(19.0, 27210.0)	(20.0, 32424.0)	(21.0, 39930.0)	(22.0, 48813.0)	(23.0, 59696.0)	(24.0, 72257.0)	(25.0, 86881.0)	(26.0, 102488.0)	(27.0, 122081.0)	(28.0, 143297.0)	(29.0, 170709.0)	(30.0, 202973.0)	(31.0, 243288.0)	(32.0, 292242.0)	(33.0, 356256.0)	(34.0, 440957.0)	(35.0, 558986.0)	(36.0, 741063.0)	(37.0, 1060852.0)	(38.0, 1756734.0)	(39.0, 3838169.0)	(40.0, 18745546.0)		
SRR7543043_clean_1	(19.0, 1.0)	(20.0, 10.0)	(21.0, 177.0)	(22.0, 1961.0)	(23.0, 7992.0)	(24.0, 17400.0)	(25.0, 28719.0)	(26.0, 42447.0)	(27.0, 59915.0)	(28.0, 81615.0)	(29.0, 109205.0)	(30.0, 142167.0)	(31.0, 181716.0)	(32.0, 227623.0)	(33.0, 283212.0)	(34.0, 350047.0)	(35.0, 436376.0)	(36.0, 554106.0)	(37.0, 735610.0)	(38.0, 1062640.0)	(39.0, 1903035.0)	(40.0, 12962616.0)	(41.0, 9709339.0)								
SRR7543043_clean_2	(19.0, 2.0)	(20.0, 53.0)	(21.0, 1286.0)	(22.0, 11758.0)	(23.0, 38369.0)	(24.0, 63677.0)	(25.0, 82733.0)	(26.0, 99689.0)	(27.0, 119349.0)	(28.0, 140212.0)	(29.0, 164680.0)	(30.0, 195436.0)	(31.0, 231984.0)	(32.0, 278932.0)	(33.0, 336977.0)	(34.0, 413593.0)	(35.0, 519113.0)	(36.0, 679501.0)	(37.0, 949566.0)	(38.0, 1493804.0)	(39.0, 2863701.0)	(40.0, 15659741.0)	(41.0, 4553773.0)								
SRR7543044_1	(12.0, 4.0)	(13.0, 20.0)	(14.0, 23.0)	(15.0, 51.0)	(16.0, 75.0)	(17.0, 228.0)	(18.0, 562.0)	(19.0, 1300.0)	(20.0, 2726.0)	(21.0, 5362.0)	(22.0, 9842.0)	(23.0, 16215.0)	(24.0, 25581.0)	(25.0, 39352.0)	(26.0, 58543.0)	(27.0, 85337.0)	(28.0, 120674.0)	(29.0, 164510.0)	(30.0, 216284.0)	(31.0, 277317.0)	(32.0, 345181.0)	(33.0, 426324.0)	(34.0, 518226.0)	(35.0, 629557.0)	(36.0, 776440.0)	(37.0, 991510.0)	(38.0, 1389244.0)	(39.0, 2548341.0)	(40.0, 14469419.0)		
SRR7543044_2	(12.0, 66.0)	(13.0, 1250.0)	(14.0, 5848.0)	(15.0, 9152.0)	(16.0, 11960.0)	(17.0, 18925.0)	(18.0, 27936.0)	(19.0, 36106.0)	(20.0, 44626.0)	(21.0, 53739.0)	(22.0, 65312.0)	(23.0, 77796.0)	(24.0, 91738.0)	(25.0, 107003.0)	(26.0, 125002.0)	(27.0, 145459.0)	(28.0, 169178.0)	(29.0, 198075.0)	(30.0, 232039.0)	(31.0, 273350.0)	(32.0, 325203.0)	(33.0, 392949.0)	(34.0, 478627.0)	(35.0, 599061.0)	(36.0, 776243.0)	(37.0, 1063041.0)	(38.0, 1618075.0)	(39.0, 3304349.0)	(40.0, 12866140.0)		
SRR7543044_clean_1	(19.0, 1.0)	(20.0, 6.0)	(21.0, 178.0)	(22.0, 1952.0)	(23.0, 8688.0)	(24.0, 20448.0)	(25.0, 34717.0)	(26.0, 53012.0)	(27.0, 77446.0)	(28.0, 107486.0)	(29.0, 145133.0)	(30.0, 189938.0)	(31.0, 243059.0)	(32.0, 303198.0)	(33.0, 375956.0)	(34.0, 459226.0)	(35.0, 560273.0)	(36.0, 692852.0)	(37.0, 880675.0)	(38.0, 1201535.0)	(39.0, 1964807.0)	(40.0, 10088352.0)	(41.0, 5338193.0)								
SRR7543044_clean_2	(19.0, 8.0)	(20.0, 75.0)	(21.0, 1916.0)	(22.0, 16560.0)	(23.0, 51266.0)	(24.0, 81584.0)	(25.0, 101879.0)	(26.0, 119557.0)	(27.0, 140216.0)	(28.0, 162326.0)	(29.0, 189569.0)	(30.0, 221021.0)	(31.0, 259730.0)	(32.0, 307973.0)	(33.0, 371050.0)	(34.0, 448791.0)	(35.0, 558341.0)	(36.0, 713733.0)	(37.0, 960106.0)	(38.0, 1408151.0)	(39.0, 2545777.0)	(40.0, 11722161.0)	(41.0, 2365341.0)								
SRR7543045_1	(12.0, 12.0)	(13.0, 18.0)	(14.0, 25.0)	(15.0, 39.0)	(16.0, 70.0)	(17.0, 189.0)	(18.0, 523.0)	(19.0, 1140.0)	(20.0, 2470.0)	(21.0, 4761.0)	(22.0, 8786.0)	(23.0, 14593.0)	(24.0, 22503.0)	(25.0, 34651.0)	(26.0, 52260.0)	(27.0, 76065.0)	(28.0, 107745.0)	(29.0, 145636.0)	(30.0, 192727.0)	(31.0, 244960.0)	(32.0, 305723.0)	(33.0, 374968.0)	(34.0, 457163.0)	(35.0, 555307.0)	(36.0, 683395.0)	(37.0, 873634.0)	(38.0, 1224945.0)	(39.0, 2269050.0)	(40.0, 12956622.0)		
SRR7543045_2	(12.0, 72.0)	(13.0, 1358.0)	(14.0, 5784.0)	(15.0, 8313.0)	(16.0, 11130.0)	(17.0, 17118.0)	(18.0, 24908.0)	(19.0, 31860.0)	(20.0, 38484.0)	(21.0, 46380.0)	(22.0, 55233.0)	(23.0, 65683.0)	(24.0, 77813.0)	(25.0, 91145.0)	(26.0, 106922.0)	(27.0, 125490.0)	(28.0, 146363.0)	(29.0, 170707.0)	(30.0, 199845.0)	(31.0, 237429.0)	(32.0, 282235.0)	(33.0, 340887.0)	(34.0, 418131.0)	(35.0, 522667.0)	(36.0, 679040.0)	(37.0, 930426.0)	(38.0, 1417276.0)	(39.0, 2907759.0)	(40.0, 11649522.0)		
SRR7543045_clean_1	(19.0, 2.0)	(20.0, 5.0)	(21.0, 167.0)	(22.0, 1879.0)	(23.0, 7946.0)	(24.0, 17911.0)	(25.0, 30775.0)	(26.0, 47176.0)	(27.0, 68745.0)	(28.0, 95752.0)	(29.0, 128732.0)	(30.0, 168387.0)	(31.0, 214960.0)	(32.0, 269857.0)	(33.0, 331791.0)	(34.0, 404575.0)	(35.0, 495178.0)	(36.0, 609408.0)	(37.0, 774831.0)	(38.0, 1057688.0)	(39.0, 1741616.0)	(40.0, 9032175.0)	(41.0, 4789838.0)								
SRR7543045_clean_2	(19.0, 7.0)	(20.0, 68.0)	(21.0, 1656.0)	(22.0, 14378.0)	(23.0, 43528.0)	(24.0, 69473.0)	(25.0, 86836.0)	(26.0, 103031.0)	(27.0, 120595.0)	(28.0, 139944.0)	(29.0, 163675.0)	(30.0, 190888.0)	(31.0, 225649.0)	(32.0, 268044.0)	(33.0, 321866.0)	(34.0, 393025.0)	(35.0, 488398.0)	(36.0, 625826.0)	(37.0, 840675.0)	(38.0, 1236832.0)	(39.0, 2242095.0)	(40.0, 10512956.0)	(41.0, 2199949.0)								
