"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","apoptotic process","29","471","631","16488","1.39e-2","6.48e-1","1.61","1.00e+0","6.44e-1","8.12e-3","ENSG00000107338,ENSG00000049249,ENSG00000116824,ENSG00000170312,ENSG00000163220,ENSG00000197948,ENSG00000030110,ENSG00000122133,ENSG00000087586,ENSG00000165304,ENSG00000142224,ENSG00000165949,ENSG00000100290,ENSG00000142507,ENSG00000169230,ENSG00000169174,ENSG00000137757,ENSG00000165490,ENSG00000112115,ENSG00000112033,ENSG00000157601,ENSG00000174744,ENSG00000172936,ENSG00000005194,ENSG00000143546,ENSG00000143106,ENSG00000126709,ENSG00000088986,ENSG00000163874"
"KEGG_PATHWAY","PD-L1 expression and PD-1 checkpoint pathway in cancer","9","286","88","7870","1.41e-2","2.28e-1","2.81","9.87e-1","2.18e-1","4.50e-3","ENSG00000172936,ENSG00000168610,ENSG00000034152,ENSG00000167286,ENSG00000065675,ENSG00000115415,ENSG00000174775,ENSG00000168062,ENSG00000160654"
"UP_SEQ_FEATURE","DOMAIN:Peptidase S8/S53","3","493","7","17715","1.47e-2","1.00e+0","15.40","1.00e+0","1.00e+0","6.90e-4","ENSG00000140479,ENSG00000169174,ENSG00000140564"
"GOTERM_BP_DIRECT","gluconeogenesis","6","471","51","16488","1.47e-2","6.54e-1","4.12","1.00e+0","6.49e-1","3.19e-3","ENSG00000123836,ENSG00000149925,ENSG00000111669,ENSG00000120053,ENSG00000183048,ENSG00000171314"
"GOTERM_MF_DIRECT","fatty acid binding","5","480","34","16905","1.51e-2","8.23e-1","5.18","1.00e+0","8.20e-1","2.55e-3","ENSG00000171903,ENSG00000143320,ENSG00000084207,ENSG00000112033,ENSG00000164687"
"GOTERM_BP_DIRECT","alpha-beta T cell activation","3","471","7","16488","1.55e-2","6.54e-1","15.00","1.00e+0","6.49e-1","7.44e-4","ENSG00000211772,ENSG00000167286,ENSG00000160654"
"GOTERM_BP_DIRECT","cytolysis in another organism","3","471","7","16488","1.55e-2","6.54e-1","15.00","1.00e+0","6.49e-1","7.44e-4","ENSG00000154451,ENSG00000162645,ENSG00000117228"
"GOTERM_BP_DIRECT","positive regulation of interleukin-23 production","3","471","7","16488","1.55e-2","6.54e-1","15.00","1.00e+0","6.49e-1","7.44e-4","ENSG00000172936,ENSG00000172243,ENSG00000112115"
"GOTERM_BP_DIRECT","non-canonical inflammasome complex assembly","3","471","7","16488","1.55e-2","6.54e-1","15.00","1.00e+0","6.49e-1","7.44e-4","ENSG00000154451,ENSG00000137757,ENSG00000117228"
"GOTERM_BP_DIRECT","cellular response to virus","7","471","71","16488","1.56e-2","6.54e-1","3.45","1.00e+0","6.49e-1","4.08e-3","ENSG00000126709,ENSG00000132507,ENSG00000089127,ENSG00000262406,ENSG00000137965,ENSG00000163874,ENSG00000115267"
"UP_KW_MOLECULAR_FUNCTION","Antibiotic","6","323","49","10600","1.60e-2","3.25e-1","4.02","7.30e-1","3.21e-1","3.54e-3","ENSG00000164047,ENSG00000188373,ENSG00000241794,ENSG00000168703,ENSG00000278588,ENSG00000171711"
"INTERPRO","HISTONE_H2B_site","4","494","20","17928","1.66e-2","1.00e+0","7.26","1.00e+0","9.96e-1","1.94e-3","ENSG00000274641,ENSG00000275713,ENSG00000273703,ENSG00000278588"
"INTERPRO","Histone_H2B","4","494","20","17928","1.66e-2","1.00e+0","7.26","1.00e+0","9.96e-1","1.94e-3","ENSG00000274641,ENSG00000275713,ENSG00000273703,ENSG00000278588"
"INTERPRO","EF_Hand_1_Ca_BS","11","494","166","17928","1.67e-2","1.00e+0","2.40","1.00e+0","9.96e-1","6.38e-3","ENSG00000143556,ENSG00000163220,ENSG00000197915,ENSG00000161714,ENSG00000143546,ENSG00000188643,ENSG00000178363,ENSG00000184330,ENSG00000198399,ENSG00000187091,ENSG00000196754"
"GOTERM_MF_DIRECT","nucleotidyltransferase activity","6","480","53","16905","1.68e-2","8.64e-1","3.99","1.00e+0","8.61e-1","3.77e-3","ENSG00000138496,ENSG00000089127,ENSG00000059378,ENSG00000111335,ENSG00000111331,ENSG00000135114"
"GOTERM_BP_DIRECT","cellular response to interleukin-1","6","471","53","16488","1.72e-2","7.07e-1","3.96","1.00e+0","7.02e-1","3.88e-3","ENSG00000164047,ENSG00000162645,ENSG00000148346,ENSG00000112115,ENSG00000117228,ENSG00000163874"
"SMART","PGAM","3","222","9","9557","1.72e-2","6.23e-1","14.35","9.57e-1","6.23e-1","9.37e-4","ENSG00000123836,ENSG00000247077,ENSG00000171314"
"GOTERM_BP_DIRECT","spindle organization","4","471","20","16488","1.83e-2","7.27e-1","7.00","1.00e+0","7.22e-1","2.21e-3","ENSG00000087586,ENSG00000112742,ENSG00000178999,ENSG00000127423"
"GOTERM_BP_DIRECT","fatty acid oxidation","4","471","20","16488","1.83e-2","7.27e-1","7.00","1.00e+0","7.22e-1","2.21e-3","ENSG00000127948,ENSG00000159346,ENSG00000112033,ENSG00000006831"
"GOTERM_BP_DIRECT","response to hydrogen peroxide","5","471","36","16488","1.87e-2","7.30e-1","4.86","1.00e+0","7.25e-1","3.38e-3","ENSG00000197948,ENSG00000100292,ENSG00000030110,ENSG00000115415,ENSG00000170312"
"KEGG_PATHWAY","IL-17 signaling pathway","9","286","93","7870","1.91e-2","2.94e-1","2.66","9.97e-1","2.82e-1","6.47e-3","ENSG00000143556,ENSG00000163220,ENSG00000143546,ENSG00000177257,ENSG00000184330,ENSG00000148346,ENSG00000112116,ENSG00000112115,ENSG00000171711"
"GOTERM_BP_DIRECT","antiviral innate immune response","7","471","75","16488","2.00e-2","7.69e-1","3.27","1.00e+0","7.64e-1","5.53e-3","ENSG00000089127,ENSG00000197785,ENSG00000111335,ENSG00000111331,ENSG00000157601,ENSG00000115267,ENSG00000135114"
"GOTERM_MF_DIRECT","serine-type endopeptidase activity","11","480","166","16905","2.00e-2","9.73e-1","2.33","1.00e+0","9.69e-1","7.90e-3","ENSG00000005001,ENSG00000129451,ENSG00000166562,ENSG00000172382,ENSG00000262406,ENSG00000153802,ENSG00000167759,ENSG00000140479,ENSG00000169174,ENSG00000129437,ENSG00000140564"
"GOTERM_BP_DIRECT","response to ethanol","9","471","119","16488","2.06e-2","7.78e-1","2.65","1.00e+0","7.73e-1","7.11e-3","ENSG00000172936,ENSG00000143546,ENSG00000169258,ENSG00000168610,ENSG00000030110,ENSG00000196344,ENSG00000125166,ENSG00000084207,ENSG00000170312"
"GOTERM_BP_DIRECT","negative regulation of type I interferon-mediated signaling pathway","4","471","21","16488","2.09e-2","7.78e-1","6.67","1.00e+0","7.73e-1","2.67e-3","ENSG00000187608,ENSG00000089127,ENSG00000262406,ENSG00000111331"
"KEGG_PATHWAY","Viral carcinogenesis","14","286","193","7870","2.28e-2","3.35e-1","2.00","9.99e-1","3.21e-1","1.05e-2","ENSG00000185507,ENSG00000174775,ENSG00000213928,ENSG00000170312,ENSG00000116478,ENSG00000274641,ENSG00000117399,ENSG00000168610,ENSG00000275713,ENSG00000030110,ENSG00000273703,ENSG00000105173,ENSG00000145386,ENSG00000278588"
"GOTERM_BP_DIRECT","positive regulation of interleukin-6 production","8","471","99","16488","2.30e-2","8.14e-1","2.83","1.00e+0","8.09e-1","7.41e-3","ENSG00000172936,ENSG00000168610,ENSG00000172243,ENSG00000112116,ENSG00000112115,ENSG00000136694,ENSG00000007171,ENSG00000115267"
"GOTERM_BP_DIRECT","amino acid import across plasma membrane","4","471","22","16488","2.37e-2","8.14e-1","6.36","1.00e+0","8.09e-1","3.20e-3","ENSG00000151012,ENSG00000139514,ENSG00000103257,ENSG00000268104"
"INTERPRO","Flavoprot_Pyr_Nucl_cyt_Rdtase","3","494","9","17928","2.39e-2","1.00e+0","12.10","1.00e+0","9.96e-1","1.54e-3","ENSG00000127948,ENSG00000166394,ENSG00000007171"
"GOTERM_BP_DIRECT","cholesterol biosynthetic process","5","471","39","16488","2.44e-2","8.14e-1","4.49","1.00e+0","8.09e-1","4.81e-3","ENSG00000147383,ENSG00000112972,ENSG00000104549,ENSG00000147155,ENSG00000172893"
"GOTERM_BP_DIRECT","positive regulation of insulin secretion involved in cellular response to glucose stimulus","5","471","39","16488","2.44e-2","8.14e-1","4.49","1.00e+0","8.09e-1","4.81e-3","ENSG00000149925,ENSG00000164047,ENSG00000088986,ENSG00000119714,ENSG00000112033"
"UP_SEQ_FEATURE","DOMAIN:EF-hand 2","11","493","175","17715","2.45e-2","1.00e+0","2.26","1.00e+0","1.00e+0","1.00e-2","ENSG00000143556,ENSG00000163220,ENSG00000197915,ENSG00000161714,ENSG00000143546,ENSG00000188643,ENSG00000178363,ENSG00000184330,ENSG00000198399,ENSG00000187091,ENSG00000196754"
"GOTERM_BP_DIRECT","positive regulation of cell cycle process","3","471","9","16488","2.56e-2","8.14e-1","11.67","1.00e+0","8.09e-1","1.71e-3","ENSG00000180198,ENSG00000087586,ENSG00000178999"
"GOTERM_BP_DIRECT","mitotic cell cycle phase transition","3","471","9","16488","2.56e-2","8.14e-1","11.67","1.00e+0","8.09e-1","1.71e-3","ENSG00000123975,ENSG00000134057,ENSG00000145386"
"GOTERM_BP_DIRECT","positive regulation of cellular respiration","3","471","9","16488","2.56e-2","8.14e-1","11.67","1.00e+0","8.09e-1","1.71e-3","ENSG00000176087,ENSG00000089127,ENSG00000169230"
"GOTERM_BP_DIRECT","L-tryptophan catabolic process","3","471","9","16488","2.56e-2","8.14e-1","11.67","1.00e+0","8.09e-1","1.71e-3","ENSG00000131203,ENSG00000115919,ENSG00000104951"
"GOTERM_BP_DIRECT","positive regulation of pyroptotic inflammatory response","3","471","9","16488","2.56e-2","8.14e-1","11.67","1.00e+0","8.09e-1","1.71e-3","ENSG00000154451,ENSG00000162645,ENSG00000117228"
"GOTERM_BP_DIRECT","chronic inflammatory response","3","471","9","16488","2.56e-2","8.14e-1","11.67","1.00e+0","8.09e-1","1.71e-3","ENSG00000163220,ENSG00000143546,ENSG00000164047"
"GOTERM_BP_DIRECT","heterochromatin formation","9","471","124","16488","2.56e-2","8.14e-1","2.54","1.00e+0","8.09e-1","9.21e-3","ENSG00000275379,ENSG00000197153,ENSG00000113648,ENSG00000275714,ENSG00000273604,ENSG00000173894,ENSG00000116478,ENSG00000277775,ENSG00000276368"
"INTERPRO","NAD(P)-bd_dom_sf","10","494","153","17928","2.57e-2","1.00e+0","2.37","1.00e+0","9.96e-1","9.96e-3","ENSG00000141098,ENSG00000008311,ENSG00000147383,ENSG00000139547,ENSG00000196344,ENSG00000161267,ENSG00000065833,ENSG00000157379,ENSG00000108786,ENSG00000159228"
"GOTERM_MF_DIRECT","calcium-dependent protein binding","7","480","80","16905","2.59e-2","1.00e+0","3.08","1.00e+0","9.98e-1","7.61e-3","ENSG00000143556,ENSG00000163220,ENSG00000143546,ENSG00000157193,ENSG00000188643,ENSG00000184330,ENSG00000196754"
"GOTERM_MF_DIRECT","NADP binding","5","480","40","16905","2.60e-2","1.00e+0","4.40","1.00e+0","9.98e-1","5.24e-3","ENSG00000127948,ENSG00000172893,ENSG00000007171,ENSG00000065833,ENSG00000108786"
"GOTERM_MF_DIRECT","iron-sulfur cluster binding","5","480","40","16905","2.60e-2","1.00e+0","4.40","1.00e+0","9.98e-1","5.24e-3","ENSG00000005194,ENSG00000132768,ENSG00000134321,ENSG00000158125,ENSG00000108010"
"UP_KW_BIOLOGICAL_PROCESS","Cholesterol biosynthesis","4","309","22","10326","2.66e-2","2.00e-1","6.08","9.52e-1","1.81e-1","3.76e-3","ENSG00000147383,ENSG00000112972,ENSG00000147155,ENSG00000172893"
