"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_KW_PTM","Glycoprotein","51","112","4107","13074","1.71e-3","3.41e-2","1.45","3.19e-2","3.41e-2","1.15e-3","ENSG00000164849,ENSG00000107736,ENSG00000155011,ENSG00000154162,ENSG00000152580,ENSG00000153956,ENSG00000152785,ENSG00000168490,ENSG00000138798,ENSG00000164694,ENSG00000143878,ENSG00000174808,ENSG00000162591,ENSG00000124159,ENSG00000090006,ENSG00000107331,ENSG00000197093,ENSG00000253485,ENSG00000101230,ENSG00000181234,ENSG00000105426,ENSG00000012171,ENSG00000117525,ENSG00000196557,ENSG00000156218,ENSG00000118523,ENSG00000167972,ENSG00000134917,ENSG00000109501,ENSG00000262576,ENSG00000125384,ENSG00000008710,ENSG00000111452,ENSG00000154864,ENSG00000168671,ENSG00000145431,ENSG00000108684,ENSG00000182667,ENSG00000158813,ENSG00000128342,ENSG00000073067,ENSG00000169252,ENSG00000111962,ENSG00000136244,ENSG00000157368,ENSG00000269113,ENSG00000124749,ENSG00000080224,ENSG00000253537,ENSG00000144057,ENSG00000180875"
"INTERPRO","TSP1_rpt","5","149","62","17928","1.72e-3","9.99e-2","9.70","5.93e-1","9.89e-2","1.64e-4","ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000156218,ENSG00000101230"
"SMART","KRAB","12","105","371","9557","2.28e-3","1.11e-1","2.94","1.99e-1","1.09e-1","7.36e-4","ENSG00000245680,ENSG00000189298,ENSG00000197928,ENSG00000269067,ENSG00000196263,ENSG00000142065,ENSG00000198046,ENSG00000160321,ENSG00000176293,ENSG00000237440,ENSG00000188171,ENSG00000182986"
"INTERPRO","AP-1","3","149","9","17928","2.35e-3","1.23e-1","40.11","7.08e-1","1.22e-1","4.56e-5","ENSG00000170345,ENSG00000162772,ENSG00000125740"
"UP_SEQ_FEATURE","REGION:Leucine-zipper","6","149","111","17715","2.40e-3","1.22e-1","6.43","8.74e-1","1.20e-1","3.51e-4","ENSG00000157514,ENSG00000102804,ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 5","13","149","554","17715","2.40e-3","1.22e-1","2.79","8.74e-1","1.20e-1","8.22e-4","ENSG00000196263,ENSG00000198455,ENSG00000188171,ENSG00000245680,ENSG00000189298,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000142065,ENSG00000160321,ENSG00000176293,ENSG00000237440,ENSG00000182986"
"UP_KW_DOMAIN","Zinc-finger","30","126","1734","12734","2.43e-3","3.89e-2","1.75","3.82e-2","3.89e-2","1.34e-3","ENSG00000151693,ENSG00000196263,ENSG00000198046,ENSG00000153814,ENSG00000169083,ENSG00000189298,ENSG00000061455,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000142065,ENSG00000152518,ENSG00000127528,ENSG00000164197,ENSG00000185650,ENSG00000176293,ENSG00000182986,ENSG00000128016,ENSG00000198455,ENSG00000120738,ENSG00000188171,ENSG00000119138,ENSG00000245680,ENSG00000121413,ENSG00000118503,ENSG00000143867,ENSG00000160321,ENSG00000123358,ENSG00000237440,ENSG00000067082"
"GOTERM_BP_DIRECT","response to cAMP","4","140","32","16488","2.43e-3","2.74e-1","14.72","9.35e-1","2.72e-1","1.49e-4","ENSG00000120129,ENSG00000170345,ENSG00000179094,ENSG00000125740"
"GOTERM_BP_DIRECT","cellular response to fibroblast growth factor stimulus","4","140","32","16488","2.43e-3","2.74e-1","14.72","9.35e-1","2.72e-1","1.49e-4","ENSG00000152518,ENSG00000185650,ENSG00000123358,ENSG00000128016"
"UP_KW_MOLECULAR_FUNCTION","DNA-binding","32","105","1926","10600","2.51e-3","5.53e-2","1.68","1.05e-1","5.53e-2","1.45e-3","ENSG00000120093,ENSG00000196263,ENSG00000198046,ENSG00000177606,ENSG00000169083,ENSG00000134532,ENSG00000143995,ENSG00000189298,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000168874,ENSG00000142065,ENSG00000127528,ENSG00000185650,ENSG00000176293,ENSG00000162772,ENSG00000182986,ENSG00000125740,ENSG00000128016,ENSG00000198353,ENSG00000120738,ENSG00000170345,ENSG00000188171,ENSG00000119138,ENSG00000121413,ENSG00000118503,ENSG00000160321,ENSG00000123358,ENSG00000237440,ENSG00000067082,ENSG00000145687"
"GOTERM_MF_DIRECT","DNA-binding transcription activator activity, RNA polymerase II-specific","11","143","420","16905","2.91e-3","1.02e-1","3.10","6.00e-1","9.96e-2","8.96e-4","ENSG00000143995,ENSG00000120093,ENSG00000198353,ENSG00000120738,ENSG00000177606,ENSG00000123358,ENSG00000170345,ENSG00000162772,ENSG00000067082,ENSG00000169083,ENSG00000125740"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 14","7","149","171","17715","3.16e-3","1.52e-1","4.87","9.35e-1","1.49e-1","6.15e-4","ENSG00000245680,ENSG00000269067,ENSG00000196263,ENSG00000198046,ENSG00000160321,ENSG00000176293,ENSG00000188171"
"GOTERM_BP_DIRECT","cartilage development","5","140","72","16488","3.19e-3","3.24e-1","8.18","9.73e-1","3.22e-1","3.64e-4","ENSG00000120093,ENSG00000198353,ENSG00000152785,ENSG00000008710,ENSG00000134532"
