"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 8","2","122","14","18235","8.90e-2","1.00e+0","21.35","1.00e+0","9.99e-1","3.83e-3","ENSG00000101825,ENSG00000152580"
"GOTERM_BP_DIRECT","lens morphogenesis in camera-type eye","2","114","14","16968","8.93e-2","1.00e+0","21.26","1.00e+0","9.88e-1","3.86e-3","ENSG00000143995,ENSG00000137936"
"GOTERM_BP_DIRECT","negative regulation of vascular endothelial growth factor signaling pathway","2","114","14","16968","8.93e-2","1.00e+0","21.26","1.00e+0","9.88e-1","3.86e-3","ENSG00000136158,ENSG00000020181"
"GOTERM_BP_DIRECT","response to corticosterone","2","114","14","16968","8.93e-2","1.00e+0","21.26","1.00e+0","9.88e-1","3.86e-3","ENSG00000170345,ENSG00000125740"
"GOTERM_BP_DIRECT","positive regulation of macrophage differentiation","2","114","14","16968","8.93e-2","1.00e+0","21.26","1.00e+0","9.88e-1","3.86e-3","ENSG00000128342,ENSG00000157368"
"KEGG_PATHWAY","Amphetamine addiction","3","61","68","8128","8.96e-2","1.00e+0","5.88","1.00e+0","1.00e+0","1.43e-2","ENSG00000177606,ENSG00000170345,ENSG00000125740"
"GOTERM_CC_DIRECT","Wnt signalosome","2","121","14","17924","8.98e-2","1.00e+0","21.16","1.00e+0","1.00e+0","3.90e-3","ENSG00000020181,ENSG00000122707"
"GOTERM_CC_DIRECT","nuclear speck","7","121","462","17924","9.02e-2","1.00e+0","2.24","1.00e+0","1.00e+0","3.72e-2","ENSG00000108854,ENSG00000184384,ENSG00000121671,ENSG00000109906,ENSG00000123358,ENSG00000169083,ENSG00000111452"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 18","3","122","77","18235","9.27e-2","1.00e+0","5.82","1.00e+0","9.99e-1","1.49e-2","ENSG00000245680,ENSG00000160321,ENSG00000105708"
"GOTERM_BP_DIRECT","regulation of keratinocyte differentiation","2","114","15","16968","9.54e-2","1.00e+0","19.85","1.00e+0","9.88e-1","4.44e-3","ENSG00000185650,ENSG00000128016"
"GOTERM_BP_DIRECT","cellular response to calcium ion","3","114","79","16968","9.74e-2","1.00e+0","5.65","1.00e+0","9.88e-1","1.61e-2","ENSG00000177606,ENSG00000170345,ENSG00000125740"
"UP_SEQ_FEATURE","COMPBIAS:Low complexity","40","122","4849","18235","9.75e-2","1.00e+0","1.23","1.00e+0","9.99e-1","7.55e-2","ENSG00000179820,ENSG00000120093,ENSG00000196440,ENSG00000136158,ENSG00000169083,ENSG00000092096,ENSG00000154864,ENSG00000164056,ENSG00000061455,ENSG00000102804,ENSG00000184384,ENSG00000152518,ENSG00000169047,ENSG00000127528,ENSG00000185650,ENSG00000129946,ENSG00000186862,ENSG00000020181,ENSG00000142149,ENSG00000102760,ENSG00000125740,ENSG00000128016,ENSG00000158813,ENSG00000178104,ENSG00000172164,ENSG00000157927,ENSG00000120738,ENSG00000196557,ENSG00000170345,ENSG00000170558,ENSG00000124749,ENSG00000121413,ENSG00000101825,ENSG00000080224,ENSG00000103528,ENSG00000107282,ENSG00000121671,ENSG00000134917,ENSG00000123358,ENSG00000067082"
"KEGG_PATHWAY","Non-alcoholic fatty liver disease","4","61","150","8128","9.87e-2","1.00e+0","3.55","1.00e+0","1.00e+0","2.58e-2","ENSG00000169047,ENSG00000136244,ENSG00000177606,ENSG00000170345"
"GOTERM_BP_DIRECT","regulation of membrane potential","3","114","80","16968","9.95e-2","1.00e+0","5.58","1.00e+0","9.88e-1","1.67e-2","ENSG00000196557,ENSG00000108684,ENSG00000154864"
"INTERPRO","EMI_domain","2","122","16","18453","9.99e-2","1.00e+0","18.91","1.00e+0","9.95e-1","4.90e-3","ENSG00000162591,ENSG00000120708"

