"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"INTERPRO","Guanylate-bd_C_sf","3","373","10","18453","1.64e-2","8.95e-1","14.84","1.00e+0","8.91e-1","8.85e-4","ENSG00000154451,ENSG00000162645,ENSG00000183347"
"GOTERM_BP_DIRECT","protein complex oligomerization","4","355","26","16968","1.64e-2","7.49e-1","7.35","1.00e+0","7.42e-1","1.96e-3","ENSG00000136868,ENSG00000089127,ENSG00000163874,ENSG00000115267"
"UP_SEQ_FEATURE","PROPEP:Activation peptide","6","374","73","18235","1.68e-2","1.00e+0","4.01","1.00e+0","1.00e+0","3.83e-3","ENSG00000165078,ENSG00000172382,ENSG00000262406,ENSG00000143839,ENSG00000196611,ENSG00000129437"
"GOTERM_MF_DIRECT","fucosyltransferase activity","3","360","10","17376","1.72e-2","9.06e-1","14.48","1.00e+0","9.03e-1","9.50e-4","ENSG00000174951,ENSG00000171124,ENSG00000176920"
"KEGG_PATHWAY","Arginine biosynthesis","4","217","21","8128","1.73e-2","3.82e-1","7.13","9.90e-1","3.75e-1","2.07e-3","ENSG00000120053,ENSG00000007171,ENSG00000125166,ENSG00000118520"
"GOTERM_BP_DIRECT","L-fucose catabolic process","3","355","10","16968","1.75e-2","7.49e-1","14.34","1.00e+0","7.42e-1","9.77e-4","ENSG00000174951,ENSG00000171124,ENSG00000176920"
"UP_SEQ_FEATURE","ACT_SITE:Charge relay system","10","374","192","18235","1.76e-2","1.00e+0","2.54","1.00e+0","1.00e+0","6.38e-3","ENSG00000137648,ENSG00000005001,ENSG00000129451,ENSG00000166562,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000140479,ENSG00000129437,ENSG00000136379"
"GOTERM_BP_DIRECT","sphingolipid metabolic process","5","355","48","16968","1.76e-2","7.49e-1","4.98","1.00e+0","7.42e-1","3.19e-3","ENSG00000165389,ENSG00000070610,ENSG00000177628,ENSG00000100596,ENSG00000171124"
"GOTERM_CC_DIRECT","secretory granule","7","365","102","17924","1.78e-2","5.64e-1","3.37","9.99e-1","5.60e-1","4.84e-3","ENSG00000137648,ENSG00000088986,ENSG00000129451,ENSG00000167759,ENSG00000241794,ENSG00000109572,ENSG00000129437"
"GOTERM_BP_DIRECT","natural killer cell activation","4","355","27","16968","1.82e-2","7.49e-1","7.08","1.00e+0","7.42e-1","2.26e-3","ENSG00000131015,ENSG00000183918,ENSG00000116824,ENSG00000026751"
"GOTERM_BP_DIRECT","positive regulation of interferon-alpha production","4","355","27","16968","1.82e-2","7.49e-1","7.08","1.00e+0","7.42e-1","2.26e-3","ENSG00000185507,ENSG00000262406,ENSG00000115415,ENSG00000115267"
"GOTERM_BP_DIRECT","positive regulation of p38MAPK cascade","4","355","27","16968","1.82e-2","7.49e-1","7.08","1.00e+0","7.42e-1","2.26e-3","ENSG00000134755,ENSG00000164620,ENSG00000163874,ENSG00000147324"
"GOTERM_BP_DIRECT","cellular response to virus","6","355","74","16968","1.92e-2","7.66e-1","3.88","1.00e+0","7.59e-1","4.51e-3","ENSG00000126709,ENSG00000089127,ENSG00000262406,ENSG00000137965,ENSG00000163874,ENSG00000115267"
"UP_SEQ_FEATURE","DOMAIN:Peptidase S1","7","374","103","18235","1.92e-2","1.00e+0","3.31","1.00e+0","1.00e+0","5.31e-3","ENSG00000137648,ENSG00000005001,ENSG00000129451,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000129437"
"UP_KW_MOLECULAR_FUNCTION","Oxidoreductase","22","238","596","10932","1.92e-2","2.54e-1","1.70","7.53e-1","2.40e-1","1.07e-2","ENSG00000131203,ENSG00000198074,ENSG00000100292,ENSG00000181333,ENSG00000139547,ENSG00000196344,ENSG00000227471,ENSG00000104549,ENSG00000137767,ENSG00000158125,ENSG00000172893,ENSG00000065833,ENSG00000151498,ENSG00000167325,ENSG00000088826,ENSG00000141098,ENSG00000008311,ENSG00000166411,ENSG00000171848,ENSG00000116260,ENSG00000161267,ENSG00000007171"
"GOTERM_CC_DIRECT","plasma membrane","128","365","5341","17924","1.94e-2","5.70e-1","1.18","9.99e-1","5.65e-1","1.61e-2","ENSG00000131126,ENSG00000134755,ENSG00000151012,ENSG00000095585,ENSG00000140519,ENSG00000149573,ENSG00000174013,ENSG00000172350,ENSG00000136379,ENSG00000006831,ENSG00000134070,ENSG00000184060,ENSG00000157193,ENSG00000167286,ENSG00000142549,ENSG00000178690,ENSG00000049283,ENSG00000101276,ENSG00000160654,ENSG00000165304,ENSG00000144566,ENSG00000131015,ENSG00000100170,ENSG00000100292,ENSG00000070610,ENSG00000197641,ENSG00000172243,ENSG00000158158,ENSG00000062038,ENSG00000070729,ENSG00000125775,ENSG00000140479,ENSG00000164620,ENSG00000205639,ENSG00000160703,ENSG00000092295,ENSG00000196344,ENSG00000116824,ENSG00000174951,ENSG00000283992,ENSG00000125508,ENSG00000203722,ENSG00000084710,ENSG00000147416,ENSG00000183034,ENSG00000182585,ENSG00000109572,ENSG00000198074,ENSG00000110955,ENSG00000148291,ENSG00000175893,ENSG00000172382,ENSG00000112972,ENSG00000153802,ENSG00000143839,ENSG00000159346,ENSG00000026751,ENSG00000176749,ENSG00000157601,ENSG00000172936,ENSG00000085117,ENSG00000169258,ENSG00000088986,ENSG00000167914,ENSG00000007171,ENSG00000141424,ENSG00000107338,ENSG00000049249,ENSG00000173083,ENSG00000076864,ENSG00000227471,ENSG00000119686,ENSG00000170379,ENSG00000060558,ENSG00000168610,ENSG00000078081,ENSG00000005022,ENSG00000100664,ENSG00000103534,ENSG00000103257,ENSG00000125166,ENSG00000163600,ENSG00000136868,ENSG00000174343,ENSG00000112115,ENSG00000263155,ENSG00000179913,ENSG00000170545,ENSG00000174502,ENSG00000174469,ENSG00000165474,ENSG00000143546,ENSG00000114251,ENSG00000126709,ENSG00000147509,ENSG00000206073,ENSG00000180871,ENSG00000105854,ENSG00000137648,ENSG00000182938,ENSG00000144063,ENSG00000183908,ENSG00000065675,ENSG00000065833,ENSG00000111331,ENSG00000163220,ENSG00000163221,ENSG00000121742,ENSG00000166736,ENSG00000153292,ENSG00000124215,ENSG00000156282,ENSG00000136449,ENSG00000173391,ENSG00000181333,ENSG00000151025,ENSG00000136688,ENSG00000268104,ENSG00000057149,ENSG00000119714,ENSG00000121594,ENSG00000100433,ENSG00000078589,ENSG00000181847,ENSG00000164687,ENSG00000163235,ENSG00000272398,ENSG00000163599"
"UP_KW_BIOLOGICAL_PROCESS","Cell division","17","236","409","10631","1.95e-2","2.30e-1","1.87","8.76e-1","2.17e-1","9.72e-3","ENSG00000146670,ENSG00000113712,ENSG00000134057,ENSG00000170312,ENSG00000178999,ENSG00000169679,ENSG00000117399,ENSG00000122952,ENSG00000184661,ENSG00000142945,ENSG00000105173,ENSG00000121152,ENSG00000087586,ENSG00000145386,ENSG00000164611,ENSG00000165304,ENSG00000165799"
"INTERPRO","Trypsin_dom","7","373","105","18453","1.96e-2","9.45e-1","3.30","1.00e+0","9.41e-1","5.46e-3","ENSG00000137648,ENSG00000005001,ENSG00000129451,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000129437"
"INTERPRO","G_GB1_RHD3_dom","3","373","11","18453","1.98e-2","9.45e-1","13.49","1.00e+0","9.41e-1","1.20e-3","ENSG00000154451,ENSG00000162645,ENSG00000183347"
"INTERPRO","Guanylate-bd_N","3","373","11","18453","1.98e-2","9.45e-1","13.49","1.00e+0","9.41e-1","1.20e-3","ENSG00000154451,ENSG00000162645,ENSG00000183347"
"GOTERM_BP_DIRECT","antiviral innate immune response","6","355","75","16968","2.02e-2","7.66e-1","3.82","1.00e+0","7.59e-1","4.82e-3","ENSG00000089127,ENSG00000111335,ENSG00000111331,ENSG00000157601,ENSG00000115267,ENSG00000135114"
"UP_SEQ_FEATURE","DOMAIN:GB1/RHD3-type G","3","374","11","18235","2.03e-2","1.00e+0","13.30","1.00e+0","1.00e+0","1.25e-3","ENSG00000154451,ENSG00000162645,ENSG00000183347"
"GOTERM_MF_DIRECT","double-stranded RNA binding","6","360","76","17376","2.05e-2","9.47e-1","3.81","1.00e+0","9.44e-1","4.91e-3","ENSG00000089127,ENSG00000181381,ENSG00000111335,ENSG00000111331,ENSG00000115267,ENSG00000135114"
