Geneid,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue
ENSG00000187608,ISG15,727.07320832789,4.073732725160109,0.6031638160948535,6.753940830760104,1.4388244712792511e-11,1.8342514049658926e-09
ENSG00000237330,RNF223,110.30279547927111,3.049304370510496,0.44061074442939707,6.9206309856547605,4.4963634648251365e-12,6.577051179723302e-10
ENSG00000162572,SCNN1D,141.89755131141132,2.1024745534897025,0.3293548344792773,6.3836152786820195,1.729552848284496e-10,1.6933475419937405e-08
ENSG00000169972,PUSL1,211.31053143785888,1.2016688191389326,0.17749717189018674,6.770073045909579,1.2871739161990969e-11,1.664034870889079e-09
ENSG00000197785,ATAD3A,387.81716614332083,1.2271878246776986,0.22388232509102238,5.481396640752095,4.219812279172718e-08,2.2196333499975122e-06
ENSG00000228594,FNDC10,162.1023995326368,1.5376647393159693,0.317431770454304,4.844079523342243,1.2719998277376329e-06,4.1884729753710484e-05
ENSG00000049249,TNFRSF9,35.059491387444936,2.272570934832253,0.4352029008162877,5.221865319761675,1.7712977856331692e-07,7.735496314156685e-06
ENSG00000074800,ENO1,12862.577125735603,1.3051746085796276,0.2595297148990321,5.028998737533369,4.930476372585378e-07,1.8856504168695016e-05
ENSG00000142657,PGD,1529.5904593630944,1.6407114031610361,0.3505825180171117,4.679957838288314,2.8693391734607596e-06,8.288574960945066e-05
ENSG00000116663,FBXO6,86.82694333151979,1.4470974571422237,0.23197288272923733,6.238218192215598,4.4258305281919627e-10,3.8505774370276755e-08
ENSG00000158786,PLA2G2F,739.54222230363,3.2180937512307057,0.5491538671958722,5.860094854040017,4.626028530850946e-09,3.192568374251739e-07
ENSG00000076864,RAP1GAP,118.04779949763211,1.6007665960701882,0.3051197727776377,5.246354837963189,1.5513797662474799e-07,6.904110074881967e-06
ENSG00000232298,GRHL3-AS1,7.2753900568740075,2.9808746639180232,0.6270925730974158,4.753484241081832,1.999406954963409e-06,6.182896144075506e-05
ENSG00000204178,MACO1,1178.6979697571055,1.2545131745539915,0.22840470503614885,5.492501454186086,3.962802875641502e-08,2.0994849578524924e-06
ENSG00000127423,AUNIP,40.63919519480672,2.6954641042086656,0.3377140390523075,7.981498523936617,1.445673085455493e-15,4.246230986599874e-13
ENSG00000174950,CD164L2,88.21619732048006,1.6544407832704684,0.3084458775897939,5.363796061073412,8.149090807838622e-08,3.931588291850132e-06
ENSG00000126709,IFI6,1518.427609405883,3.9583219100696456,0.570944933579417,6.932931141456662,4.122088816797186e-12,6.102519794705995e-10
ENSG00000225886,ENSG00000225886,15.263988603425936,4.393940660288015,0.9027383813530927,4.86734667656652,1.1310651926975956e-06,3.792425438346322e-05
ENSG00000169403,PTAFR,614.7423322800604,1.917553029038209,0.3711160298272154,5.166990576858093,2.3789325184822976e-07,1.0050921451792583e-05
ENSG00000180198,RCC1,424.4933042627035,1.3590137568260563,0.21682454997844106,6.267803885497208,3.661755431620887e-10,3.2870745885565004e-08
ENSG00000242125,SNHG3,539.9319841183282,1.8826203893730054,0.21604340731572705,8.71408395546055,2.9311909937099232e-18,1.2369962911960899e-15
ENSG00000168528,SERINC2,375.0061786010419,1.4737355269723544,0.2450463790989228,6.014108563413712,1.8087926590890562e-09,1.3749445647713187e-07
ENSG00000182866,LCK,128.40693152881138,2.0691517844173064,0.4036817511630128,5.125700575901812,2.9643339367751957e-07,1.2239859745947382e-05
ENSG00000116478,HDAC1,1150.7649110141483,1.157139893626816,0.21871412162438852,5.290650119126944,1.2188233340605303e-07,5.600638136424577e-06
ENSG00000121900,TMEM54,621.169855532846,1.6857238921556768,0.3219251073589792,5.236385276019877,1.637519477979202e-07,7.217470304202449e-06
ENSG00000126067,PSMB2,1347.8019408330956,1.0329724449782927,0.20856463793588373,4.952768864374054,7.316486161828128e-07,2.6207296529904362e-05
ENSG00000233621,LITATS1,217.54074277447646,2.0969868688316944,0.23871982096902622,8.784301447276041,1.5733923061170483e-18,6.877035537986599e-16
ENSG00000163874,ZC3H12A,2224.5245953006024,3.008878672163153,0.40590089092670834,7.412840768330446,1.2362228391934282e-13,2.535638074915459e-11
ENSG00000134690,CDCA8,117.68997983003905,1.5696618258914938,0.3347754168728155,4.688700982150741,2.7494479653374335e-06,8.00523251763393e-05
ENSG00000117016,RIMS3,522.3504595806602,1.6398190693851915,0.3454501161861118,4.746905537301184,2.0655235702720586e-06,6.34077741492798e-05
ENSG00000179862,CITED4,433.2563570899882,1.3409077844067587,0.286255469976166,4.684304493878857,2.8091214771785022e-06,8.146674173349819e-05
ENSG00000117395,EBNA1BP2,893.3616322826906,1.2253067086467053,0.2378921893175496,5.150680701883443,2.595427279603949e-07,1.0902873291837412e-05
ENSG00000117399,CDC20,213.57588866575753,2.1360086396061564,0.3273855388028006,6.52444407721006,6.825420954574942e-11,7.41406302802423e-09
ENSG00000159479,MED8,615.7179775461655,1.1823468337200522,0.19489952382033168,6.066442906294629,1.3077418433020763e-09,1.0370138612707501e-07
ENSG00000132768,DPH2,347.41185485219364,1.0720191116087208,0.16956505334493957,6.322170107940544,2.57915222998163e-10,2.421830540250014e-08
ENSG00000142945,KIF2C,176.49668644167056,1.946980702219541,0.24089877228560533,8.08215286340785,6.363327005988799e-16,2.0140478536627475e-13
ENSG00000232022,FAAHP1,12.132012727846906,4.404614014468306,0.6586984027351024,6.686844838516536,2.2803342504196693e-11,2.800082675724353e-09
ENSG00000291138,ENSG00000291138,7.369760996920178,3.350832639446127,0.679006534327251,4.934904850018976,8.018984372196909e-07,2.8418630427143775e-05
ENSG00000224863,LINC01398,2.6010289640304367,5.426227956438898,1.0859300865439858,4.99684834565002,5.827486068623217e-07,2.1721436650710802e-05
ENSG00000162366,PDZK1IP1,1318.9590289039656,3.0428556976845944,0.5200546163354534,5.851031030405942,4.88535060184218e-09,3.352628922367021e-07
ENSG00000123473,STIL,219.12358597417258,1.476286672805829,0.2596343241107698,5.686022747038598,1.3003208279225123e-08,7.878098877421623e-07
ENSG00000085831,TTC39A,614.0350245368503,2.4616000352854495,0.3974672685598455,6.193214460663982,5.894943257584398e-10,5.021643658984017e-08
ENSG00000085840,ORC1,126.00793588660183,1.7550285827710463,0.22969600906086074,7.640657710800845,2.1611489577033958e-14,5.2201699988210644e-12
ENSG00000157193,LRP8,302.8071410906077,2.0316478980407844,0.23412383246898688,8.677663767142995,4.039812663358514e-18,1.6854741129000892e-15
ENSG00000169174,PCSK9,120.91618913154717,2.6519137493200904,0.48132118636100346,5.509655141860067,3.595373885330671e-08,1.921457819503866e-06
ENSG00000050628,PTGER3,2091.4943637236447,1.3089299158901389,0.27866217809407234,4.697192582225001,2.6376173830859904e-06,7.741016964028948e-05
ENSG00000137965,IFI44,1036.601438646924,2.819192832205413,0.49386644128476986,5.708411417612053,1.1403550151311232e-08,7.013087835936212e-07
ENSG00000117228,GBP1,1355.909971680989,2.014045687388418,0.3855354121318582,5.224022551525274,1.7507744302367515e-07,7.679770992370648e-06
ENSG00000162645,GBP2,2930.978629304944,1.049720456801149,0.13954816121230684,7.522280821773905,5.382880907959743e-14,1.190557063468325e-11
ENSG00000154451,GBP5,303.60623878863476,2.8197422980839555,0.31824984629417247,8.860152898479463,7.990477208508141e-19,3.8601364567154794e-16
ENSG00000183347,GBP6,308.96130908182596,4.117475236664491,0.7349269334056182,5.602564077471344,2.112039191113256e-08,1.205564744441489e-06
ENSG00000197147,LRRC8B,1246.7191812817266,1.5347161159407445,0.296542415836685,5.1753679540601025,2.2746225478298778e-07,9.654655126424735e-06
ENSG00000143106,PSMA5,938.1582762916419,1.3098454471744352,0.23701365884799017,5.526455536533069,3.2676502383838475e-08,1.7642908603273963e-06
ENSG00000064886,CHI3L2,1998.840834342529,5.779969160097438,0.5451660920368189,10.60221691063478,2.909990091277297e-26,3.3387589437889364e-23
ENSG00000116824,CD2,149.07512825735688,2.2535357526444533,0.3027153786572824,7.444404584399334,9.738262717454461e-14,2.0430875181219457e-11
ENSG00000150337,FCGR1A,12.101996933298075,2.5598414884031135,0.5280753459331616,4.847492896832022,1.250315078403147e-06,4.1356142435650034e-05
ENSG00000183598,H3C13,158.61740191242876,1.5808140712204537,0.31149188510929005,5.074976738690349,3.875434079502773e-07,1.5516528051138963e-05
ENSG00000197915,HRNR,494.47963730185427,3.7418506273476644,0.48173340589878166,7.767471762450028,8.006818112073304e-15,2.1615465219468483e-12
ENSG00000185966,LCE3E,1811.8317466431038,7.053382338195486,0.547289414530724,12.88784718089869,5.269430848098314e-38,1.6122262798994133e-34
ENSG00000163202,LCE3D,3951.494003544033,6.941614545866805,0.5900288892550286,11.764872317745828,5.921586485386078e-32,1.0870552390547493e-28
ENSG00000244057,LCE3C,417.12266580639607,10.667692268355,0.7500555387199863,14.222536489177909,6.64018004720128e-46,3.4827744347570715e-42
ENSG00000187238,LCE3B,32.10816035663676,8.402647497627598,0.9189305565958324,9.143941767215912,6.021651226500067e-20,3.158356068299285e-17
ENSG00000185962,LCE3A,481.34020856186186,8.855412010765455,0.5067705027291228,17.474205706678273,2.2526065986441447e-68,8.270445126921977e-64
ENSG00000285946,LCE7A,30.99163929355933,5.159659873250528,0.5313820870792494,9.709886725031861,2.7364105062396823e-22,2.1376023773742539e-19
ENSG00000283227,SPRR5,99.79637870684854,3.3832293611545867,0.6161760172116969,5.490686535422597,4.0037438671911616e-08,2.1150713105600503e-06
ENSG00000169474,SPRR1A,2011.4791127310034,4.80761653080655,0.7072525127736546,6.797595546111767,1.0637959778080064e-11,1.4049377455115451e-09
ENSG00000163209,SPRR3,33.471034497629404,8.463001968245193,1.6645567271397503,5.084237641325316,3.6910557387275933e-07,1.487564340805528e-05
ENSG00000169469,SPRR1B,4730.731061399258,4.98786829211723,0.6600224304272764,7.557119367728535,4.120937587584091e-14,9.452893276893807e-12
ENSG00000163216,SPRR2D,7479.75925658622,7.18427675549259,0.6525930761577614,11.008815474707585,3.465296646491109e-28,5.089134655036843e-25
ENSG00000241794,SPRR2A,11640.095537023337,10.60643954529344,0.7519765811554585,14.104747157146823,3.550595514644127e-45,1.6295014290019892e-41
ENSG00000196805,SPRR2B,3319.0658835012323,9.969719083279307,0.9321048690065519,10.695919970791643,1.0635888529354251e-26,1.3465401632939356e-23
ENSG00000203785,SPRR2E,5314.348155562835,4.868133792080724,0.6804371645152675,7.154420784097977,8.402695181961631e-13,1.4975968621636956e-10
ENSG00000301592,ENSG00000301592,276.42702784381294,10.565403192564077,0.7934370331567184,13.31599452892844,1.8686739091602176e-40,6.8608362574817396e-37
ENSG00000163220,S100A9,83679.1448549477,8.667242589207751,0.6965705298733699,12.442735110805472,1.5316774862447208e-35,4.325810685190379e-32
ENSG00000143546,S100A8,46540.06564663082,8.586592124305296,0.8348771052089995,10.284857580512723,8.246389736522742e-25,8.182870248011689e-22
ENSG00000224784,S100A15A,15.09699567408589,7.3047417354537245,0.8267335421438788,8.835666346028646,9.950334967891042e-19,4.683673696745124e-16
ENSG00000184330,S100A7A,9699.768754386809,10.023450870698156,1.0694324400709894,9.372682644667853,7.071198363389956e-21,4.256049965768233e-18
ENSG00000143556,S100A7,31857.773353308694,8.05318068744447,0.6790712787695299,11.85910955037997,1.9301686694719475e-32,4.168596629391915e-29
ENSG00000196754,S100A2,3729.2221051318747,3.016912854339112,0.5309707180731247,5.681881790557848,1.332207300343084e-08,8.044735367121107e-07
ENSG00000188643,S100A16,4533.563286595412,1.7908594032365412,0.2532533766369548,7.07141372414467,1.533631432779601e-12,2.5025456913112465e-10
ENSG00000291137,GBA1LP,106.950840116738,2.6453428196576594,0.36118325449590705,7.324101510048375,2.405045910537426e-13,4.647434768704295e-11
ENSG00000302966,ENSG00000302966,56.76708634412129,1.9578414457288438,0.3319090901257458,5.898728007078997,3.6631450853239355e-09,2.5863917655320825e-07
ENSG00000177628,GBA1,1367.8412840124704,2.014058611002641,0.25558783488870707,7.880103573316158,3.271098207678483e-15,9.309951216660118e-13
