Geneid,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue
ENSG00000187608,ISG15,527.9595770120965,4.045982325760454,0.6973088943215592,5.802281253987099,6.541870876326628e-09,5.178154333695222e-07
ENSG00000237330,RNF223,94.84842762830488,3.0202302233965495,0.44827331051484465,6.737475001417765,1.6116265719144754e-11,2.31043615371928e-09
ENSG00000162572,SCNN1D,103.65898809829449,2.0698594470264804,0.42657477911057956,4.852278072656325,1.2205132766275412e-06,4.824710648424823e-05
ENSG00000228594,FNDC10,159.70476465120532,1.5103357185778008,0.30913739550142777,4.885645478535531,1.0309055237791072e-06,4.204558877996767e-05
ENSG00000049249,TNFRSF9,31.353285502637465,2.249623210690387,0.4257905349188501,5.283403519336415,1.2680565906469962e-07,7.191323310251547e-06
ENSG00000158786,PLA2G2F,609.9275269181401,3.1852762714469334,0.6368081639442118,5.001940068918436,5.675623595346908e-07,2.5244055253711424e-05
ENSG00000076864,RAP1GAP,99.89168384578078,1.5787269914222344,0.297235241587643,5.311372174408632,1.0880287360839131e-07,6.298686979447305e-06
ENSG00000204178,MACO1,1117.77782136269,1.2301577522265024,0.21003945597555038,5.856793651044777,4.718888442469926e-09,3.8165866983976496e-07
ENSG00000127423,AUNIP,40.50808361200057,2.6698288415257156,0.3554609983771542,7.510891078668921,5.87262400675286e-14,1.4011661406968985e-11
ENSG00000126709,IFI6,1194.1005634448316,3.934903039729622,0.6446691076605517,6.103756164164658,1.036043054658336e-09,1.0002007559176995e-07
ENSG00000169403,PTAFR,624.5607560631811,1.8934887531137645,0.3831085305011339,4.942434329606138,7.71530974602838e-07,3.31252559699982e-05
ENSG00000180198,RCC1,339.02664689471703,1.332647627367717,0.2808797627337195,4.7445483946491995,2.0897201699658643e-06,7.61209627452233e-05
ENSG00000242125,SNHG3,804.663018862912,1.8566859954099213,0.25812414694898295,7.192996150712265,6.338473026608705e-13,1.1828157235073219e-10
ENSG00000126067,PSMB2,1378.0152333737815,1.0093099014895226,0.21079426752923774,4.788127842943018,1.6834439901881497e-06,6.38275591421734e-05
ENSG00000233621,LITATS1,214.54770416047515,2.0718460598374406,0.223577180293573,9.266804676206029,1.9180583981079315e-20,1.067815077866654e-17
ENSG00000163874,ZC3H12A,1893.6434580970217,2.9835491646324197,0.43021352199484103,6.935042745281719,4.060983504291027e-12,6.553093333035418e-10
ENSG00000117395,EBNA1BP2,904.2828241656649,1.2003240462555116,0.22812247805432398,5.261752618563403,1.426886677721354e-07,7.93049845190123e-06
ENSG00000117399,CDC20,183.35736060177763,2.1066162053891535,0.3490185673017341,6.035828470890313,1.5814917643491482e-09,1.4289454979404994e-07
ENSG00000159479,MED8,531.7335309923574,1.1580943632177298,0.23493118063827947,4.929504717387144,8.243834513556995e-07,3.507882856768717e-05
ENSG00000132768,DPH2,286.8439241772393,1.0458877282460846,0.18870281489791607,5.542512594800909,2.981619504053259e-08,2.028412144478432e-06
ENSG00000142945,KIF2C,135.2450837500659,1.9235433290405812,0.35613132303392736,5.401219170090613,6.61894966129105e-08,4.064205432648988e-06
ENSG00000232022,FAAHP1,10.52759225314792,4.3809037379335285,0.7410508992042191,5.91174471637236,3.3850288283431872e-09,2.77813557624441e-07
ENSG00000291138,ENSG00000291138,10.058016098085655,3.326624921913207,0.7022815424811667,4.736882177139687,2.170312575398327e-06,7.888460386945628e-05
ENSG00000162366,PDZK1IP1,1290.9727103956948,3.0141933719617398,0.6186525347778686,4.872191096806879,1.1036733710561689e-06,4.420383886497507e-05
ENSG00000123473,STIL,234.67787754057258,1.449666755334576,0.24663034457659755,5.877892916312833,4.1552155950553086e-09,3.377047847241666e-07
ENSG00000085831,TTC39A,600.8908581341531,2.4317670168245105,0.3843233944389898,6.32739784257538,2.493299287685064e-10,2.7040154580046814e-08
ENSG00000085840,ORC1,102.45495635271806,1.731670813847312,0.25758027357472896,6.7228394077503815,1.782169740677625e-11,2.5012527667165847e-09
ENSG00000157193,LRP8,318.5233071570051,2.0021416642490673,0.23267247653611223,8.604978526277568,7.633104923197369e-18,3.3548500493363385e-15
ENSG00000169174,PCSK9,107.56661036136438,2.6126726063419055,0.519578386916746,5.0284474337854705,4.944670201897234e-07,2.259464004842316e-05
ENSG00000050628,PTGER3,2149.250124242629,1.2856346474856806,0.26718069410022405,4.811854583338334,1.4953614342030825e-06,5.761194692812637e-05
ENSG00000137965,IFI44,1096.3940421413008,2.791446368028078,0.469674797605265,5.943359921079117,2.7923838239199406e-09,2.3318499217599442e-07
ENSG00000137975,CLCA2,8592.892316497646,2.3802394102417095,0.4787801699958986,4.971466153792667,6.644846596509584e-07,2.904283292552911e-05
ENSG00000117228,GBP1,1273.3775981313395,1.99069536228805,0.39077705853552935,5.09419711010762,3.502222518406218e-07,1.6856590602640188e-05
ENSG00000162645,GBP2,2836.3095327850083,1.0268116978986015,0.15977405381085946,6.426648591605126,1.3044790520622926e-10,1.5506588532397423e-08
ENSG00000154451,GBP5,295.2358923644406,2.7925260254092876,0.32885880241367466,8.491565391935419,2.038721616736214e-17,8.30480709315119e-15
ENSG00000183347,GBP6,268.980175344092,4.2171239605584345,0.6416433022573846,6.572380551191049,4.9517108459840176e-11,6.38617750534379e-09
ENSG00000197147,LRRC8B,1476.6450024312558,1.5064723634630963,0.31341345364084233,4.806661443415399,1.534715577422774e-06,5.878911058790473e-05
ENSG00000143106,PSMA5,873.3630332057495,1.2844645667431211,0.24365153933830747,5.271727690419621,1.351454918958688e-07,7.574269909056553e-06
ENSG00000064886,CHI3L2,1784.3528607092057,5.75856389598632,0.5176579212568148,11.124265001113438,9.559045849023077e-29,1.5965040424745892e-25
ENSG00000116824,CD2,158.22668569637807,2.2266339111869535,0.28895595497762405,7.705790009966667,1.3003630551259364e-14,3.5603300926534145e-12
ENSG00000183598,H3C13,106.48037056607389,1.559147291668553,0.3136313181132512,4.971274237050364,6.651428670487612e-07,2.904283292552911e-05
ENSG00000197915,HRNR,363.9869370501736,3.7065192126258895,0.4440401819359252,8.347260818753423,6.986432245523763e-17,2.6519067761048892e-14
ENSG00000185966,LCE3E,1624.5004043406823,7.026349904901336,0.6191095626069867,11.349121915213724,7.491120134167547e-30,1.3901438102311033e-26
ENSG00000163202,LCE3D,4164.750929502344,6.913905943388394,0.6938597338517156,9.964414428559362,2.181556067494509e-23,1.6946631935469556e-20
ENSG00000244057,LCE3C,283.97416216755414,10.635379357475534,0.7664693469816883,13.875805209115066,8.879035519321987e-44,7.414660586297808e-40
ENSG00000187238,LCE3B,22.398051446688566,8.36931622472558,0.9343434013208016,8.957430654398149,3.3233160397254903e-19,1.6324812599257436e-16
ENSG00000185962,LCE3A,485.54496762788017,8.829878354084483,0.6452963891403164,13.683446091877126,1.2750379694120626e-42,8.518018658454226e-39
ENSG00000285946,LCE7A,49.30184830429305,5.134085597878171,0.566844608201709,9.057306929611352,1.3371094172960352e-19,6.978666541553042e-17
ENSG00000169474,SPRR1A,1981.9986550628776,4.779415962601543,0.6527755778135198,7.321683171129438,2.44879769813598e-13,5.1123243444272585e-11
ENSG00000163209,SPRR3,26.9288703967821,8.42568656248773,1.1015639754026445,7.648839968108041,2.0280043465335405e-14,5.300510721398208e-12
ENSG00000169469,SPRR1B,7386.17193250514,4.959940074366527,0.6083616922046099,8.152946081125624,3.551639897959832e-16,1.2620790160803434e-13
ENSG00000163216,SPRR2D,11314.597487402687,7.15444118419157,0.5974786095070571,11.974388823884858,4.839910299985851e-33,1.3472293645868948e-29
ENSG00000241794,SPRR2A,12774.490338745867,10.580003503766218,0.6809501268851018,15.537119512941077,1.9453266436607845e-54,3.2489872939100593e-50
ENSG00000196805,SPRR2B,3718.5517595067154,9.94374264395062,0.8666631828271437,11.4735953262871,1.7906185027335558e-30,3.73825186542556e-27
ENSG00000203785,SPRR2E,5184.5999068627525,4.843110085234328,0.6192854388415535,7.820481124655437,5.262182259419017e-15,1.5152816725118398e-12
ENSG00000244094,SPRR2F,4.868451611074792,4.851125954441643,1.0136483495771078,4.785807579586671,1.7030115851906733e-06,6.442321175551989e-05
ENSG00000301592,ENSG00000301592,342.7417268733074,10.526499855143294,0.8832917927598406,11.917352726954816,9.611419274514543e-33,2.4696172155893023e-29
ENSG00000159516,SPRR2G,20679.084427747264,5.336781602005085,1.051971416805684,5.073124152184902,3.9133699323119654e-07,1.8515339355384784e-05
ENSG00000163220,S100A9,57711.246048197434,8.648574093469405,0.7305280328001363,11.838798383025981,2.4595147187989263e-32,5.868226439431467e-29
ENSG00000163221,S100A12,320.8045896242716,6.462858957548628,1.2287081939828852,5.2598810597975465,1.44148611422306e-07,7.971847793608091e-06
ENSG00000143546,S100A8,41564.912819074605,8.566660643971147,0.8535415722934959,10.036606208824992,1.0523255934375516e-23,9.250218894103826e-21
ENSG00000224784,S100A15A,19.390422213783317,7.277027265827041,0.8604226241191723,8.457503396399698,2.7316258900645428e-17,1.0862440429264991e-14
ENSG00000184330,S100A7A,20190.84216540042,9.998669010406816,0.9521892617527583,10.500715994214847,8.57273945945444e-26,9.237265037553441e-23
ENSG00000143556,S100A7,45119.783010865474,8.031171860939192,0.8171179393629188,9.828656885444035,8.474137260757476e-23,5.897116810855874e-20
ENSG00000196754,S100A2,3440.640740260965,2.990075339838005,0.5511128242026362,5.425523066287054,5.778506657034407e-08,3.641876563489062e-06
ENSG00000188643,S100A16,3757.0633111103893,1.7648578622803401,0.3549054051095485,4.972755660724813,6.600783508428841e-07,2.8897243975366786e-05
ENSG00000291137,GBA1LP,89.76797331544348,2.619621953944879,0.40783648519224003,6.423216286571516,1.3342470220419383e-10,1.5748358048504192e-08
ENSG00000302966,ENSG00000302966,75.0459877588901,1.9336768677543248,0.30081049686679573,6.428222711292523,1.2910449634912208e-10,1.5401705326963304e-08
ENSG00000177628,GBA1,1281.2956875102168,1.9889950042803135,0.28273751485129317,7.034775718837427,1.9958177232493443e-12,3.472203094255096e-10
ENSG00000143320,CRABP2,3095.2174671228713,2.388806054927233,0.4651017332943302,5.136093641292723,2.8050792850636245e-07,1.411115412032835e-05
ENSG00000143321,HDGF,4102.656812168367,1.1458013619043697,0.22417399170121083,5.111214522296347,3.200942498506928e-07,1.5654624052361185e-05
ENSG00000117091,CD48,68.93310311400845,1.8974197133747743,0.39503350998691256,4.803186730760223,1.5616012724502952e-06,5.9613905489893955e-05
ENSG00000026751,SLAMF7,141.32186865570074,2.549014337711457,0.37756622559782926,6.751171489651674,1.466561297532426e-11,2.120673031232711e-09
ENSG00000248485,PCP4L1,196.03901234755168,2.897164430600889,0.45052103519685827,6.430697357638257,1.2701983982557465e-10,1.520732512435007e-08
ENSG00000143153,ATP1B1,2816.1977884345533,1.9175759741729679,0.395129230926025,4.853034967013036,1.2158624242801245e-06,4.812020445287796e-05
ENSG00000094975,SUCO,2069.645216409125,1.1856113816924538,0.2282685177209589,5.193932976520987,2.058972918319929e-07,1.0746230061037592e-05
ENSG00000116260,QSOX1,2622.300606278117,1.2096622338043612,0.21732649755332972,5.566105594222455,2.6049542522536383e-08,1.794088389443882e-06
ENSG00000163435,ELF3,241.57417953360078,2.6252807990279705,0.4883845249108525,5.375438133522305,7.639668092162501e-08,4.631358135798621e-06
ENSG00000183155,RABIF,372.5276725831611,1.2038264509102135,0.2267983682950577,5.307914955296646,1.1088635428139135e-07,6.397127620140441e-06
ENSG00000159346,ADIPOR1,3717.533792852261,1.1732077147215065,0.21248777077099773,5.521295227789348,3.365098241058542e-08,2.270795485779363e-06
