FDR,num_genes,analysis
0.0009900001,1537,"Todas las muestras
~ Instrument + condition"
0.0010000001,1540,"Todas las muestras
~ Instrument + condition"
0.0010100001,1544,"Todas las muestras
~ Instrument + condition"
0.0010200001,1546,"Todas las muestras
~ Instrument + condition"
0.0010300001000000001,1548,"Todas las muestras
~ Instrument + condition"
0.0010400001000000002,1550,"Todas las muestras
~ Instrument + condition"
0.0010500001000000002,1553,"Todas las muestras
~ Instrument + condition"
0.0010600001000000002,1557,"Todas las muestras
~ Instrument + condition"
0.0010700001,1562,"Todas las muestras
~ Instrument + condition"
0.0010800001,1566,"Todas las muestras
~ Instrument + condition"
0.0010900001,1566,"Todas las muestras
~ Instrument + condition"
0.0011000001,1568,"Todas las muestras
~ Instrument + condition"
0.0011100001000000001,1573,"Todas las muestras
~ Instrument + condition"
0.0011200001000000002,1574,"Todas las muestras
~ Instrument + condition"
0.0011300001000000002,1580,"Todas las muestras
~ Instrument + condition"
0.0011400001000000002,1584,"Todas las muestras
~ Instrument + condition"
0.0011500001000000002,1587,"Todas las muestras
~ Instrument + condition"
0.0011600001,1589,"Todas las muestras
~ Instrument + condition"
0.0011700001,1591,"Todas las muestras
~ Instrument + condition"
0.0011800001,1594,"Todas las muestras
~ Instrument + condition"
0.0011900001000000001,1598,"Todas las muestras
~ Instrument + condition"
0.0012000001000000001,1604,"Todas las muestras
~ Instrument + condition"
0.0012100001000000002,1609,"Todas las muestras
~ Instrument + condition"
0.0012200001000000002,1613,"Todas las muestras
~ Instrument + condition"
0.0012300001000000002,1618,"Todas las muestras
~ Instrument + condition"
0.0012400001,1623,"Todas las muestras
~ Instrument + condition"
0.0012500001,1626,"Todas las muestras
~ Instrument + condition"
0.0012600001,1631,"Todas las muestras
~ Instrument + condition"
0.0012700001000000001,1632,"Todas las muestras
~ Instrument + condition"
0.0012800001000000001,1632,"Todas las muestras
~ Instrument + condition"
0.0012900001000000002,1634,"Todas las muestras
~ Instrument + condition"
0.0013000001000000002,1634,"Todas las muestras
~ Instrument + condition"
0.0013100001000000002,1635,"Todas las muestras
~ Instrument + condition"
0.0013200001000000002,1637,"Todas las muestras
~ Instrument + condition"
0.0013300001,1644,"Todas las muestras
~ Instrument + condition"
0.0013400001,1645,"Todas las muestras
~ Instrument + condition"
0.0013500001,1648,"Todas las muestras
~ Instrument + condition"
0.0013600001000000001,1655,"Todas las muestras
~ Instrument + condition"
0.0013700001000000002,1658,"Todas las muestras
~ Instrument + condition"
0.0013800001000000002,1661,"Todas las muestras
~ Instrument + condition"
0.0013900001000000002,1665,"Todas las muestras
~ Instrument + condition"
0.0014000001000000002,1673,"Todas las muestras
~ Instrument + condition"
0.0014100001,1674,"Todas las muestras
~ Instrument + condition"
0.0014200001,1679,"Todas las muestras
~ Instrument + condition"
0.0014300001,1682,"Todas las muestras
~ Instrument + condition"
0.0014400001000000001,1685,"Todas las muestras
~ Instrument + condition"
0.0014500001000000002,1688,"Todas las muestras
~ Instrument + condition"
0.0014600001000000002,1691,"Todas las muestras
~ Instrument + condition"
0.0014700001000000002,1696,"Todas las muestras
~ Instrument + condition"
0.0014800001000000002,1698,"Todas las muestras
~ Instrument + condition"
0.0014900001000000003,1702,"Todas las muestras
~ Instrument + condition"
0.0015000001,1706,"Todas las muestras
~ Instrument + condition"
0.0015100001,1707,"Todas las muestras
~ Instrument + condition"
0.0015200001000000001,1708,"Todas las muestras
~ Instrument + condition"
0.0015300001000000001,1708,"Todas las muestras
~ Instrument + condition"
0.0015400001000000002,1709,"Todas las muestras
~ Instrument + condition"
0.0015500001000000002,1714,"Todas las muestras
~ Instrument + condition"
0.0015600001000000002,1718,"Todas las muestras
~ Instrument + condition"
0.0015700001000000002,1724,"Todas las muestras
~ Instrument + condition"
